last_first,description,born,died,birthplace,birth_city,birth_state,deathplace,artist_type,wikidata_description,name,creator_string
"Lent, Lillian",,,,,,,,printmaker,printmaker,Lillian Lent,"['Lent, Lillian']"
"Lentrein, Charlotte",,,,,,,,painter,painter,Charlotte Lentrein,"['Lentrein, Charlotte']"
"LeQuire, Louise",,,,,,,,painter,painter,Louise LeQuire,"['LeQuire, Louise', 'Lequire, Louise']"
Lihacault,,,,,,,,printmaker,printmaker,Lihacault,['Lihacault']
"Lurnson, Mon",,,,,,,,printmaker,printmaker,Mon Lurnson,"['Lurnson, Mon']"
"Lustyk, Danka",,,,,,,,printmaker,printmaker,Danka Lustyk,"['Lustyk, Danka']"
"Lyons, T. Harrington",,,,,,,,ceramic artist,ceramic artist,T. Harrington Lyons,"['Lyons, T. Harrington']"
Mackert,,,,,,,,printmaker,printmaker,Mackert,['Mackert']
"Malik, H.J.",,,,,,,,printmaker,printmaker,H.J. Malik,"['Malik, H.J.']"
"Marsh, Cynthia",,,,,,,,printmaker,printmaker,Cynthia Marsh,"['Marsh, Cynthia']"
"Matsutaka, Saishuntei",,,,,,,,book artist,book artist,Saishuntei Matsutaka,"['Matsutaka, Saishuntei']"
"McBurnie, Ronald",,,,,,,,printmaker,printmaker,Ronald McBurnie,"['McBurnie, Ronald']"
"McDevitt, Mark",,,,,,,,artist,artist,Mark McDevitt,"['McDevitt, Mark']"
"McKay, Donald",,,,,,,,drawer,drawer,Donald McKay,"['McKay, Donald']"
Meitō,,,,,,,,painter,painter,Meitō,['Meitō']
"Michaels, Edward",,,,,,,,sculptor,sculptor,Edward Michaels,"['Michaels, Edward']"
"Miguel, Adro",,,,,,,,painter,painter,Adro Miguel,"['Miguel, Adro']"
"Miller, Mark",,,,,,,,painter,painter,Mark Miller,"['Miller, Mark']"
"Morishima, Chura Nakayoshi",,,,,,,,book artist,book artist,Chura Nakayoshi Morishima,"['Morishima, Chura Nakayoshi']"
"Mozzolini, S.",,,,,,,,painter,painter,S. Mozzolini,"['Mozzolini, S.']"
"Mulder, John",,,,,,,,printmaker,printmaker,John Mulder,"['Mulder, John']"
"Nabb, Paul",,,,,,,,painter,painter,Paul Nabb,"['Nabb, Paul']"
Nishikawa,,,,,,,,book artist,book artist,Nishikawa,['Nishikawa']
"Nishikawa, Harunobu",,,,,,,,book artist,book artist,Harunobu Nishikawa,"['Nishikawa, Harunobu']"
"Nolla, Joaquim",,,,,,,,printmaker,printmaker,Joaquim Nolla,"['Nolla, Joaquim and Mir, Josep M.']"
"Oson, Toshi",,,,,,,,painter,painter,Toshi Oson,"['Oson, Toshi']"
Otte,,,,,,,,printmaker,printmaker,Otte,['Otte']
Ou Shiang,,,,,,,,painter,painter,Ou Shiang,['Ou Shiang']
"Pallot, S.",,,,,,,,printmaker,printmaker,S. Pallot,"['Pallot, S.']"
"Paris, Dorothy",,,,,,,,painter,painter,Dorothy Paris,"['Paris, Dorothy']"
"Parkhurst, Anita",,,,,,,,printmaker,printmaker,Anita Parkhurst,"['Parkhurst, Anita']"
"Parrish, Janice",,,,,,,,painter,painter,Janice Parrish,"['Parrish, Janice']"
"Parrish, Rachel",,,,,,,,printmaker,printmaker,Rachel Parrish,"['Parrish, Rachel']"
"Pasek, Margaret",,,,,,,,printmaker,printmaker,Margaret Pasek,"['Pasek, Margaret']"
"Peiser, Jane",,,,,,,,ceramic artist,ceramic artist,Jane Peiser,"['Peiser, Jane']"
"Phillips, W.T.",,,,,,,,printmaker,printmaker,W.T. Phillips,"['Phillips, W.T.']"
"Picaut, Bernard",,,,,,,,printmaker,printmaker,Bernard Picaut,"['Picaut, Bernard']"
"Pildas, M.",,,,,,,,printmaker,printmaker,M. Pildas,"['Pildas, M. ']"
"Pollack, S.",,,,,,,,printmaker,printmaker,S. Pollack,"['Pollack, S.']"
"Popovic, Dimitrije",,,,,,,,printmaker,printmaker,Dimitrije Popovic,"['Popovic, Dimitrije']"
"Prahaska, Ray",,,,,,,,printmaker,printmaker,Ray Prahaska,"['Prahaska, Ray']"
"Prats, Llorenç",,,,,,,,book artist,book artist,Llorenç Prats,"['Prats, Llorenç']"
"Prou, Jacques",,,,,,,,printmaker,printmaker,Jacques Prou,"['Prou, Jacques']"
"Putnam, H.",,,,,,,,printmaker,printmaker,H. Putnam,"['Putnam, H.']"
Qin Yi,,,,,,,,painter,painter,Qin Yi,['Qin Yi']
"Querida, Zita",,,,,,,,painter,painter,Zita Querida,"['Querida, Zita']"
"Quest, Dan",,,,,,,,printmaker,printmaker,Dan Quest,"['Quest, Dan']"
Ravagnant,,,,,,,,painter,painter,Ravagnant,['Ravagnant']
Ren Pei,,,,,,,,painter,painter,Ren Pei,['Ren Pei']
"Richardson, Deborah",,,,,,,,photographer,photographer,Deborah Richardson,"['Richardson, Deborah']"
"Richardson, Russell",,,,,,,,artist,artist,Russell Richardson,"['Richardson, Russell']"
"Richman, Pablo",,,,,,,,painter,painter,Pablo Richman,"['Richman, Pablo']"
Ripolles,,,,,,,,painter,painter,Ripolles,['Ripolles']
"Risseeuw, Katie",,,,,,,,printmaker,printmaker,Katie Risseeuw,"['Risseeuw, Katie']"
"Ritteng, George",,,,,,,,printmaker,printmaker,George Ritteng,"['Ritteng, George']"
"Roberti, H.",,,,,,,,printmaker,printmaker,H. Roberti,"['Roberti, H.']"
"Roberts, William Vernon",,,,,,,,sculptor,sculptor,William Vernon Roberts,"['Roberts, William Vernon']"
"Robertson, Jack",,,,,,,,photographer,photographer,Jack Robertson,"['Robertson, Jack']"
"Robison, Sheryl",,,,,,,,photographer,photographer,Sheryl Robison,"['Robison, Sheryl']"
Roko,,,,,,,,painter,painter,Roko,['Roko']
Rosendahl,,,,,,,,painter,painter,Rosendahl,['Rosendahl']
"Rosenthal, Louise",,,,,,,,painter,painter,Louise Rosenthal,"['Rosenthal, Louise']"
"Rothy, Carl",,,,,,,,printmaker,printmaker,Carl Rothy,"['Rothy, Carl']"
Ryosen,,,,,,,,painter,painter,Ryosen,['Ryosen']
Sanji,,,,,,,,drawer,drawer,Sanji,['Sanji']
"Sato, T.",,,,,,,,printmaker,printmaker,T. Sato,"['Sato, T.']"
"Saunders, Dutch",,,,,,,,printmaker,printmaker,Dutch Saunders,"['Saunders, Dutch']"
"Schaever, C. W.",,,,,,,,painter,painter,C. W. Schaever,"['Schaever, C. W.']"
"Schwerin von Krosigk, Wifred Graf",,,,,,,,printmaker,printmaker,Wifred Graf Schwerin von Krosigk,"['Schwerin von Krosigk, Wifred Graf']"
Seizan,,,,,,,,painter,painter,Seizan,['Seizan']
Sesshu,,,,,,,,printmaker,printmaker,Sesshu,['Sesshu']
"Seweil, Amos",,,,,,,,printmaker,printmaker,Amos Seweil,"['Seweil, Amos']"
"Shaw, J.",,,,,,,,printmaker,printmaker,J. Shaw,"['Shaw, J. and Hughes, S.G.']"
"Shuki, Ichiin",,,,,,,,painter,painter,Ichiin Shuki,"['Shuki, Ichiin']"
"Shwab, Paul",,,,,,,,painter,painter,Paul Shwab,"['Shwab, Paul']"
"Singer, Charles",,,,,,,,painter,painter,Charles Singer,"['Singer, Charles']"
"Slowicki, M.",,,,,,,,printmaker,printmaker,M. Slowicki,"['Slowicki, M.']"
"Soyen, Kabocha",,,,,,,,book artist,book artist,Kabocha Soyen,"['Soyen, Kabocha']"
"Speakman, Harold",,,,,,,,printmaker,printmaker,Harold Speakman,"['Speakman, Harold']"
"Spinola, Lily",,,,,,,,painter,painter,Lily Spinola,"['Spinola, Lily']"
"Stackelhaus, Heiner",,,,,,,,book artist,book artist,Heiner Stackelhaus,"['Stackelhaus, Heiner']"
"Stang, George",,,,,,,,ceramic artist,ceramic artist,George Stang,"['Stang, George']"
Suishu,,,,,,,,painter,painter,Suishu,['Suishu']
Suison,,,,,,,,painter,painter,Suison,['Suison']
"Suzuki, Rinsho",,,,,,,,painter,painter,Rinsho Suzuki,"['Suzuki, Rinsho ']"
"Tabata, Kiyoe",,,,,,,,printmaker,printmaker,Kiyoe Tabata,"['Tabata, Kiyoe']"
"Taguchi, Hidekichi",,,,,,,,drawer,drawer,Hidekichi Taguchi,"['Taguchi, Hidekichi']"
"Thompson, Kenneth K.",,,,,,,,painter,painter,Kenneth K. Thompson,"['Thompson, Kenneth K.']"
"Thompson, Ron",,,,,,,,painter,painter,Ron Thompson,"['Thompson, Ron']"
"Toshiaki, Yu-u sai",,,,,,,,printmaker,printmaker,Yu-u sai Toshiaki,"['Toshiaki, Yu-u sai']"
"Treballs Gràfics, Barcelona",,,,,,,,printmaker,printmaker,Barcelona Treballs Gràfics,"['Treballs Gràfics, Barcelona']"
Tung Tsou-ping,,,,,,,,painter,painter,Tung Tsou-ping,['Tung Tsou-ping']
"Turmohlen, Karl",,,,,,,,painter,painter,Karl Turmohlen,"['Turmohlen, Karl']"
Turnbull,,,,,,,,sculptor,sculptor,Turnbull,['Turnbull']
"Turner, Arthur",,,,,,,,painter,painter,Arthur Turner,"['Turner, Arthur']"
"Ulman, Elenor",,,,,,,,painter,painter,Elenor Ulman,"['Ulman, Elenor']"
"Vanderbilt, Jacob",,,,,,,,painter,painter,Jacob Vanderbilt,"['Vanderbilt, Jacob']"
"Varin, R.",,,,,,,,printmaker,printmaker,R. Varin,"['Varin, R.']"
"Volkman, C.",,,,,,,,painter,painter,C. Volkman,"['Volkman, C.']"
"Wachsmity, F.S.",,,,,,,,printmaker,printmaker,F.S. Wachsmity,"['Wachsmity, F.S.']"
"Walter, L.",,,,,,,,painter,painter,L. Walter,"['Walter, L.']"
Wang Han,,,,,,,,painter,painter,Wang Han,['Wang Han']
"Wang, Han",,,,,,,,painter,painter,Han Wang,"['Wang, Han']"
"White, Joy Rice",,,,,,,,drawer,drawer,Joy Rice White,"['White, Joy Rice']"
"Whitney, William",,,,,,,,painter,painter,William Whitney,"['Whitney, William']"
"Winkles, K.",,,,,,,,printmaker,printmaker,K. Winkles,"['Winkles, K.']"
Wu Yang-t'ien,,,,,,,,painter,painter,Wu Yang-t'ien,"[""Wu Yang-t'ien""]"
"Yasu, Koitsu",,,,,,,,painter,painter,Koitsu Yasu,"['Yasu, Koitsu']"
Yoji,,,,,,,,artist,artist,Yoji,['Yoji']
Yosho,,,,,,,,painter,painter,Yosho,['Yosho']
"Zartarian, Miriam",,,,,,,,printmaker,printmaker,Miriam Zartarian,"['Zartarian, Miriam']"
"Zhou, Runan",,,,,,,,painter,painter,Runan Zhou,"['Zhou, Runan']"
"Zimmermann, Karen",,,,,,,,printmaker,printmaker,Karen Zimmermann,"['Zimmermann, Karen']"
