name,cs_name,cs_alias,wikidata_description,born,cs_born,died,cs_died,birthplace,deathplace,gender,ulan,cs_nationality,artist_type,birth_city,birth_state,description,last_first,creator_string,qc
Ahmad ibn al-Fadil ibn Ahmad al-Sharif al-'Ayyashi,,,artist,,,,,,,,,,artist,,,al-Husayni,Ahmad ibn al-Fadil ibn Ahmad al-Sharif al-'Ayyashi,"[""Ahmad ibn al-Fadil ibn Ahmad al-Sharif al-'Ayyashi (al-Husayni)""]",
David MacKenzie,,,"British architect, 20th century",,,,,,,,,,printmaker,,,"British architect, 20th century","MacKenzie, David","['MacKenzie, David (British architect, 20th century)']",
Eric Rutherford,Eric Rutherford,Eric Rutherford,"printmaker, active from 1963",,1933,,,,,m,http://vocab.getty.edu/page/ulan/500003217,British (modern),printmaker,,,"British artist, active from 1963","Rutherford, Eric","['Rutherford, Eric (British artist, active from 1963)']",100 Eric Rutherford / Eric Rutherford / Eric Rutherford / 1933- / -
Hasegawa Mitsunobu,,,book artist,,,,,,,,,,book artist,,,Eishun,"Mitsunobu, Hasegawa","['Mitsunobu, Hasegawa (Eishun) (1790-1848)']",
Konobu Hasegawa,,,printmaker,,,,,,,,,,printmaker,,,fl. late 19th c.,"Hasegawa, Konobu","['Hasegawa, Konobu (fl. late 19th c.)']",
Nicolas Larmessin III,Nicolas de I Larmessin,Nicolas de Larmessin I,French engraver,,1583,,1683,,,m,http://vocab.getty.edu/page/ulan/500124876,French (culture or style),printmaker,,,"French engraver, ca.1640-1725","Larmessin, Nicolas, III","['Larmessin, Nicolas, III (French engraver, ca.1640-1725)']",88 Nicolas de I Larmessin / Nicolas de Larmessin I / Nicolas Larmessin III / 1583-1683 / -
Heinz Handschick,,,contemporary German painter,,,,,,,,,,printmaker,,,"German painter, contemporary","Handschick, Heinz","['Handschick, Heinz (German painter, contemporary)']",
Eisho Chokosai,,,"Japanese printmaker, active 1793-1799",,,,,,,,,,printmaker,,,"Japanese printmaker, active 1793-1799","Chokosai, Eisho","['Chokosai, Eisho (Japanese printmaker, active 1793-1799)']",
Jichosai,,,book artist,,,,,,,,,,book artist,,,Nichosai,Jichosai,['Jichosai (Nichosai) (1781-1788)'],
Arturo Heras,,,printmaker,,,,,,,,,,printmaker,,,or Heras Sanz,"Heras, Arturo","['Heras, Arturo (or Heras Sanz)  (1945-, born Valencia, Spain)']",
Matsuyama,,,painter,,,,,,,,,,painter,,,or Shozan,Matsuyama,['Matsuyama (or Shozan)'],
Peggy Smith,Peggy Smith,Peggy Smith,"painter, active 20th century",,1861,,,,,f,http://vocab.getty.edu/page/ulan/500055676,American (North American),painter,,,"painter, active 20th century","Smith, Peggy","['Smith, Peggy (painter, active 20th century)']",100 Peggy Smith / Peggy Smith / Peggy Smith / 1861- / -
Sepesky,,,printmaker,,,,,,,,,,printmaker,,,Shephard,Sepesky,['Sepesky (Shephard)'],
G. Adam,,,printmaker,,,,,,,,,,printmaker,,,,"Adam, G.","['Adam, G.']",
Adary,,,artist,,,,,,,,,,artist,,,,Adary,['Adary'],
F. Andrus,,,painter,,,,,,,,,,painter,,,,"Andrus, F.","['Andrus, F.']",
H. Axelrod,,,painter,,,,,,,,,,painter,,,,"Axelrod, H.","['Axelrod, H.']",
R. Bach,,,printmaker,,,,,,,,,,printmaker,,,,"Bach, R.","['Bach, R.']",
Alfred Barrós,Alfred Barrós,,printmaker,,,,,,,m,,,printmaker,,,,"Barrós, Alfred","['Barrós, Alfred']",100 Alfred Barrós /  / Alfred Barrós
Ann Bauer,Ann Bauer,,printmaker,,,,,,,f,,,printmaker,,,,"Bauer, Ann","['Bauer, Ann']",100 Ann Bauer /  / Ann Bauer
Baviera,,,printmaker,,,,,,,,,,printmaker,,,,Baviera,['Baviera '],
Emily Berger,Emily Berger,,printmaker,,,,,,,f,,American,printmaker,,,,"Berger, Emily","['Berger, Emily']",100 Emily Berger /  / Emily Berger
B. Bernards,,,printmaker,,,,,,,,,,printmaker,,,,"Bernards, B.","['Bernards, B.']",
Virginia F. Bill,,,drawer,,,,,,,,,,drawer,,,,"Bill, Virginia F.","['Bill, Virginia F.']",
L. M. Birchall,,,artist,,,,,,,,,,artist,,,,"Birchall, L. M.","['Birchall, L. M.']",
Fannie B. Blakeley,,,printmaker,,,,,,,,,,printmaker,,,,"Blakeley, Fannie B.","['Blakeley, Fannie B.']",
Mare Blocker,Mare Blocker,,printmaker,,,,,,,f,,American,printmaker,,,,"Blocker, Mare","['Blocker, Mare']",100 Mare Blocker /  / Mare Blocker
Dorothea Blum,,,painter,,,,,,,,,,painter,,,,"Blum, Dorothea","['Blum, Dorothea']",
S. Boichard,,,printmaker,,,,,,,,,,printmaker,,,,"Boichard, S.","['Boichard, S.']",
Susan Bonfils,Susan Bonfils,,printmaker,,,,,,,f,,American,printmaker,,,,"Bonfils, Susan","['Bonfils, Susan']",100 Susan Bonfils /  / Susan Bonfils
Bouslough,,,painter,,,,,,,,,,painter,,,,Bouslough,['Bouslough'],
William H. Boysen,William H. Boysen,Bill,artist,,1936,,,,,m,,American,artist,,,,"Boysen, William H.","[""Boyse, William H."",""Boysen, William H.""]",100 William H. Boysen / Bill / William H. Boysen / 1936- / -
Gernot Branolt,,,printmaker,,,,,,,,,,printmaker,,,,"Branolt, Gernot","['Branolt, Gernot']",
Clinton Brown,Clinton Brown,,printmaker,,,,,,,m,,,printmaker,,,,"Brown, Clinton","['Brown, Clinton ']",100 Clinton Brown /  / Clinton Brown
G. Burke,,,printmaker,,,,,,,,,,printmaker,,,,"Burke, G.","['Burke, G.']",
Pierre Franz Cabanes,Pierre Franz-Cabanes,,drawer,,,,,,,m,,,drawer,,,,"Cabanes, Pierre Franz","['Cabanes, Pierre Franz']",95 Pierre Franz-Cabanes /  / Pierre Franz Cabanes
Leon Cantrell,Leon Cantrell,,photographer,,,,,,,m,,,photographer,,,,"Cantrell, Leon","['Cantrell, Leon']",100 Leon Cantrell /  / Leon Cantrell
Henry Carey,Henry Carey,,painter,,,,,,,m,,,painter,,,,"Carey, Henry","['Carey, Henry']",100 Henry Carey /  / Henry Carey
Carle,,,artist,,,,,,,,,,artist,,,,Carle,['Carle'],
Mitchell Chamberlain,Mitchell Chamberlain,,printmaker,,,,,,,m,,American,printmaker,,,,"Chamberlain, Mitchell","['Chamberlain, Mitchell']",100 Mitchell Chamberlain /  / Mitchell Chamberlain
Chang Tse-tuan,,,painter,,,,,,,,,,painter,,,,Chang Tse-tuan,['Chang Tse-tuan'],
Chao Fen,,,painter,,,,,,,,,,painter,,,,Chao Fen,['Chao Fen'],
Chen Yuzhang,,,artist,,,,,,,,,,artist,,,,Chen Yuzhang,['Chen Yuzhang'],
M Chwedczuk,,,printmaker,,,,,,,,,,printmaker,,,,"Chwedczuk, M","['Chwedczuk, M']",
Irene Clairey,,,artist,,,,,,,,,,artist,,,,"Clairey, Irene","['Clairey, Irene']",
J. Clark,,,printmaker,,,,,,,,,,printmaker,,,,"Clark, J.","['Clark, J.']",
Charles Clayton,Charles Clayton,,printmaker,,1771,,1930,,,m,http://vocab.getty.edu/page/ulan/500080867,British (modern),printmaker,,,,"Clayton, Charles","['Clayton, Charles']",100 Charles Clayton /  / Charles Clayton / 1771-1930 / -
George Etta Brinkley Cohen,George Etta Brinkley Cohen,,ceramic artist,,1854,,1930,,,f,,American,ceramic artist,,,,"Cohen, George Etta Brinkley","['Cohen, George Etta Brinkley']",100 George Etta Brinkley Cohen /  / George Etta Brinkley Cohen / 1854-1930 / -
Aaron Cohick,,,printmaker,,,,,,,,,,printmaker,,,,"Cohick, Aaron","['Cohick, Aaron']",
Lisa Collado,Lisa Collado,,printmaker,,1944,,,,,f,http://vocab.getty.edu/page/ulan/500387117,American (North American),printmaker,,,,"Collado, Lisa","['Collado, Lisa']",100 Lisa Collado /  / Lisa Collado / 1944- / -
Colin Connor,,,printmaker,,,,,,,,,,printmaker,,,,"Connor, Colin","['Connor, Colin']",
C. Conse,,,printmaker,,,,,,,,,,printmaker,,,,"Conse, C.","['Conse, C.']",
A. Conti,,,painter,,,,,,,,,,painter,,,,"Conti, A.","['Conti, A.']",
Cordnin,,,printmaker,,,,,,,,,,printmaker,,,,Cordnin,['Cordnin'],
R.H. Craig,,,painter,,,,,,,,,,painter,,,,"Craig, R.H.","['Craig, R.H.']",
Pat Cucaro,,,painter,,,,,,,,,,painter,,,,"Cucaro, Pat","['Cucaro, Pat']",
Childe de Rohan d'Harcourt,Childe de Rohan d'Harcourt,,drawer,,1886,,,,,m,,,drawer,,,,"d'Harcourt, Childe de Rohan","[""d'Harcourt, Childe de Rohan""]",100 Childe de Rohan d'Harcourt /  / Childe de Rohan d'Harcourt / 1886- / -
W. Dennis,,,printmaker,,,,,,,,,,printmaker,,,,"Dennis, W.","['Dennis, W.']",
Docenud,,,artist,,,,,,,,,,artist,,,,Docenud,['Docenud'],
Donovan,,,drawer,,,,,,,,,,drawer,,,,Donovan,['Donovan'],
F. Drosd,,,painter,,,,,,,,,,painter,,,,"Drosd, F.","['Drosd, F.']",
A. Duret,,,painter,,,,,,,,,,painter,,,,"Duret, A.","['Duret, A.']",
Frank E. Ellis,,,artist,,,,,,,,,,artist,,,,"Ellis, Frank E.","['Ellis, Frank E.']",
Ernst,,,printmaker,,,,,,,,,,printmaker,,,,Ernst,['Ernst'],
Comp Estellido,,,printmaker,,,,,,,,,,printmaker,,,,"Estellido, Comp","['Estellido, Comp']",
Manuel Fandos,,,painter,,,,,,,,,,painter,,,,"Fandos, Manuel","['Fandos, Manuel']",
R. Fatiquant,,,painter,,,,,,,,,,painter,,,,"Fatiquant, R.","['Fatiquant, R.']",
E. Fisher,,,painter,,,,,,,,,,painter,,,,"Fisher, E.","['Fisher, E.']",
Flasho,,,printmaker,,,,,,,,,,printmaker,,,,Flasho,['Flasho'],
Garzon Florez,,,printmaker,,,,,,,,,,printmaker,,,,"Florez, Garzon","['Florez, Garzon']",
Tom Foster,,,painter,,,,,,,,,,painter,,,,"Foster, Tom","['Foster, Tom']",
Frankenstein,,,painter,,,,,,,,,,painter,,,,Frankenstein,['Frankenstein'],
Carol Lawton Freeman,,,printmaker,,,,,,,,,,printmaker,,,,"Freeman, Carol Lawton","['Freeman, Carol Lawton']",
K. Garicola,,,drawer,,,,,,,,,,drawer,,,,"Garicola, K.","['Garicola, K.']",
Knud Gastlund,,,book artist,,,,,,,,,,book artist,,,,"Gastlund, Knud","['Gastlund, Knud & Sert, Jose Luis']",
Karen Genter,,,book artist,,,,,,,,,,book artist,,,,"Genter, Karen","['Genter, Karen']",
Georgii-Hemming,,,artist,,,,,,,,,,artist,,,,Georgii-Hemming,['Georgii-Hemming'],
Gerasch,,,printmaker,,,,,,,,,,printmaker,,,,Gerasch,['Gerasch'],
James Gibson,James Gibson,,sculptor,,,,,,,m,,American,sculptor,,,,"Gibson, James","['Gibson, James']",100 James Gibson /  / James Gibson
Hel Gold,,,printmaker,,,,,,,,,,printmaker,,,,"Gold, Hel","['Gold, Hel']",
J. Goodyear,,,printmaker,,,,,,,,,,printmaker,,,,"Goodyear, J.","['Goodyear, J.']",81 John L. Goodyear /  / J. Goodyear / 1930- / -
Gremillier,,,printmaker,,,,,,,,,,printmaker,,,,Gremillier,['Gremillier'],
E.N. Griffith,,,painter,,,,,,,,,,painter,,,,"Griffith, E.N.","['Griffith, E.N.']",
John Gwinn,John Gwinn,,drawer,,1936,,,,,m,,American,drawer,,,,"Gwinn, John","['Gwinn, John']",100 John Gwinn /  / John Gwinn / 1936- / -
Gwen Haberman,Gwen Haberman,,printmaker,,,,,,,f,,American and British,printmaker,,,,"Haberman, Gwen","['Haberman, Gwen']",100 Gwen Haberman /  / Gwen Haberman
Haendil,,,painter,,,,,,,,,,painter,,,,Haendil,['Haendil'],
C. Hallmandel,,,artist,,,,,,,,,,artist,,,,"Hallmandel, C.","['Hallmandel, C.']",
W.C. Hart,,,printmaker,,,,,,,,,,printmaker,,,,"Hart, W.C.","['Hart, W.C. ']",
Masanobu Hasegawa,,,book artist,,,,,,,,,,book artist,,,,"Hasegawa, Masanobu","['Hasegawa, Masanobu']",
Goyo Hashimoto,,,printmaker,,,,,,,,,,printmaker,,,,"Hashimoto, Goyo","['Hashimoto, Goyo & Kaburagi, Kiyokata']",
Christie Hawkins,,,artist,,,,,,,,,,artist,,,,"Hawkins, Christie","['Hawkins, Christie']",
Heidenreich,,,printmaker,,,,,,,,,,printmaker,,,,Heidenreich,['Heidenreich'],
D. Heidenreich,,,printmaker,,,,,,,,,,printmaker,,,,"Heidenreich, D.","['Heidenreich, D.']",
A. Hendee,,,printmaker,,,,,,,,,,printmaker,,,,"Hendee, A.","['Hendee, A.']",
E.P. Hoffmann,,,printmaker,,,,,,,,,,printmaker,,,,"Hoffmann, E.P.","['Hoffmann, E.P.']",
Ichimosai Hōko,,,book artist,,,,,,,,,,book artist,,,,"Hōko, Ichimosai","['Hōko, Ichimosai', 'Hoko, Ichimosai']",
Bob Hollingsworth,,,painter,,,,,,,,,,painter,,,,"Hollingsworth, Bob","['Hollingsworth, Bob']",
Sanji Hoseki,,,printmaker,,,,,,,,,,printmaker,,,,"Hoseki, Sanji","['Hoseki, Sanji']",
Renzan Hotta,,,book artist,,,,,,,,,,book artist,,,,"Hotta, Renzan","['Hotta, Renzan']",
John Howard,,,painter,,,,,,,,,,painter,,,,"Howard, John","['Howard, John']",
Jiang Hu,,,painter,,,,,,,,,,painter,,,,"Hu, Jiang","['Hu, Jiang']",
Jirobei Ichida,,,book artist,,,,,,,,,,book artist,,,,"Ichida, Jirobei","['Ichida, Jirobei']",
Ikkoku-sai,,,artist,,,,,,,,,,artist,,,,Ikkoku-sai,['Ikkoku-sai'],
Kenroku Sensei Inoue,,,book artist,,,,,,,,,,book artist,,,,"Inoue, Kenroku Sensei","['Inoue, Kenroku Sensei']",
Shukuei Itakura,,,book artist,,,,,,,,,,book artist,,,,"Itakura, Shukuei","['Itakura, Shukuei']",
A. Itiani,,,painter,,,,,,,,,,painter,,,,"Itiani, A.","['Itiani, A.']",
Jan Janus,,,artist,,,,,,,,,,artist,,,,"Janus, Jan","['Janus, Jan']",
Jiang Hu,,,painter,,,,,,,,,,painter,,,,Jiang Hu,['Jiang Hu'],
Luis Jimenez,,,printmaker,,,,,,,,,,printmaker,,,,"Jimenez, Luis","['Jimenez, Luis']",
Laura Josephson,Laura Josephson,,photographer,,,,,,,f,,American,photographer,,,,"Josephson, Laura","['Josephson, Laura']",100 Laura Josephson /  / Laura Josephson
Kado,,,painter,,,,,,,,,,painter,,,,Kado,['Kado'],
Hirosuke Katsugawa,,,book artist,,,,,,,,,,book artist,,,,"Katsugawa, Hirosuke","['Katsugawa, Hirosuke and Haruaki Fiji']",
Isai Katsushika,,,printmaker,,,,,,,,,,printmaker,,,,"Katsushika, Isai","['Katsushika, Isai']",
Keisui,,,printmaker,,,,,,,,,,printmaker,,,,Keisui,['Keisui '],
Kim Sal Rui,,,painter,,,,,,,,,,painter,,,,Kim Sal Rui,['Kim Sal Rui'],
John Kings,,,painter,,,,,,,,,,painter,,,,"Kings, John","['Kings, John']",
Dojin Kinsai,,,book artist,,,,,,,,,,book artist,,,,"Kinsai, Dojin","['Kinsai, Dojin']",
Kitabat,,,printmaker,,,,,,,,,,printmaker,,,,Kitabat,['Kitabat'],
Koshin,,,painter,,,,,,,,,,painter,,,,Koshin,['Koshin'],
A Krauze,,,printmaker,,,,,,,,,,printmaker,,,,"Krauze, A","['Krauze, A']",
Christophe Kutner,Christophe Kutner,,printmaker,,,,,,,m,,,printmaker,,,,"Kutner, Christophe","['Kutner, Christophe']",100 Christophe Kutner /  / Christophe Kutner
Kwannon,,,printmaker,,,,,,,,,,printmaker,,,,Kwannon,['Kwannon'],
Kwasniewska,,,printmaker,,,,,,,,,,printmaker,,,,Kwasniewska,['Kwasniewska'],
Hector La Rouke,,,painter,,,,,,,,,,painter,,,,"La Rouke, Hector","['La Rouke, Hector']",
Andrew Lafitte,,,printmaker,,,,,,,,,,printmaker,,,,"Lafitte, Andrew","['Lafitte, Andrew']",
Paul Lancaster,Paul Lancaster,,painter,,1930,,,,,m,,American,painter,,,,"Lancaster, Paul","['Lancaster, Paul']",100 Paul Lancaster /  / Paul Lancaster / 1930- / -
G. Landry,,,printmaker,,,,,,,,,,printmaker,,,,"Landry, G.","['Landry, G.']",
Sara Langworthy,Sara Langworthy,,printmaker,,,,,,,f,,American,printmaker,,,,"Langworthy, Sara","['Langworthy, Sara']",100 Sara Langworthy /  / Sara Langworthy
John Leach,,,ceramic artist,,,,,,,,,,ceramic artist,,,,"Leach, John","['Leach, John']",
Lemercier,Lemercier,,printmaker,,1770,,1930,,,m,http://vocab.getty.edu/page/ulan/500050139,French (culture or style),printmaker,,,,Lemercier,['Lemercier'],100 Lemercier /  / Lemercier / 1770-1930 / -
Lemoir,,,printmaker,,,,,,,,,,printmaker,,,,Lemoir,['Lemoir'],
Lillian Lent,,,printmaker,,,,,,,,,,printmaker,,,,"Lent, Lillian","['Lent, Lillian']",
Charlotte Lentrein,,,painter,,,,,,,,,,painter,,,,"Lentrein, Charlotte","['Lentrein, Charlotte']",
Louise LeQuire,Louise LeQuire,,painter,,1924,,2006,,,f,,American,painter,,,,"LeQuire, Louise","['LeQuire, Louise', 'Lequire, Louise']",100 Louise LeQuire /  / Louise LeQuire / 1924-2006 / -
Lihacault,,,printmaker,,,,,,,,,,printmaker,,,,Lihacault,['Lihacault'],
Mon Lurnson,,,printmaker,,,,,,,,,,printmaker,,,,"Lurnson, Mon","['Lurnson, Mon']",
Danka Lustyk,,,printmaker,,,,,,,,,,printmaker,,,,"Lustyk, Danka","['Lustyk, Danka']",
T. Harrington Lyons,,,ceramic artist,,,,,,,,,,ceramic artist,,,,"Lyons, T. Harrington","['Lyons, T. Harrington']",
Mackert,,,printmaker,,,,,,,,,,printmaker,,,,Mackert,['Mackert'],
H.J. Malik,,,printmaker,,,,,,,,,,printmaker,,,,"Malik, H.J.","['Malik, H.J.']",
Cynthia Marsh,Cynthia Marsh,,printmaker,,,,,,,f,,,printmaker,,,,"Marsh, Cynthia","['Marsh, Cynthia']",100 Cynthia Marsh /  / Cynthia Marsh
Saishuntei Matsutaka,,,book artist,,,,,,,,,,book artist,,,,"Matsutaka, Saishuntei","['Matsutaka, Saishuntei']",
Ronald McBurnie,Ronald McBurnie,,printmaker,,,,,,,m,,,printmaker,,,,"McBurnie, Ronald","['McBurnie, Ronald']",100 Ronald McBurnie /  / Ronald McBurnie
Mark McDevitt,Mark McDevitt,,artist,,,,,,,m,,,artist,,,,"McDevitt, Mark","['McDevitt, Mark']",100 Mark McDevitt /  / Mark McDevitt
Donald McKay,,,drawer,,,,,,,,,,drawer,,,,"McKay, Donald","['McKay, Donald']",
Meitō,,,painter,,,,,,,,,,painter,,,,Meitō,['Meitō'],
Edward Michaels,Edward Michaels,,sculptor,,,,,,,m,,,sculptor,,,,"Michaels, Edward","['Michaels, Edward']",100 Edward Michaels /  / Edward Michaels
Adro Miguel,Adro Miguel,,painter,,,,,,,m,,Spanish,painter,,,,"Miguel, Adro","['Miguel, Adro']",100 Adro Miguel /  / Adro Miguel
Mark Miller,,,painter,,,,,,,,,,painter,,,,"Miller, Mark","['Miller, Mark']",
Chura Nakayoshi Morishima,,,book artist,,,,,,,,,,book artist,,,,"Morishima, Chura Nakayoshi","['Morishima, Chura Nakayoshi']",
S. Mozzolini,,,painter,,,,,,,,,,painter,,,,"Mozzolini, S.","['Mozzolini, S.']",
John Mulder,,,printmaker,,,,,,,,,,printmaker,,,,"Mulder, John","['Mulder, John']",
Paul Nabb,Paul Nabb,,painter,,,,,,,m,,American,painter,,,,"Nabb, Paul","['Nabb, Paul']",100 Paul Nabb /  / Paul Nabb
Nishikawa,,,book artist,,,,,,,,,,book artist,,,,Nishikawa,['Nishikawa'],
Harunobu Nishikawa,,,book artist,,,,,,,,,,book artist,,,,"Nishikawa, Harunobu","['Nishikawa, Harunobu']",
Joaquim Nolla,,,printmaker,,,,,,,,,,printmaker,,,,"Nolla, Joaquim","['Nolla, Joaquim and Mir, Josep M.']",
Toshi Oson,,,painter,,,,,,,,,,painter,,,,"Oson, Toshi","['Oson, Toshi']",
Otte,,,printmaker,,,,,,,,,,printmaker,,,,Otte,['Otte'],
Ou Shiang,,,painter,,,,,,,,,,painter,,,,Ou Shiang,['Ou Shiang'],
S. Pallot,,,printmaker,,,,,,,,,,printmaker,,,,"Pallot, S.","['Pallot, S.']",
Dorothy Paris,Dorothy Paris,,painter,,1899,,1986,,,f,http://vocab.getty.edu/page/ulan/500487272,American (North American),painter,,,,"Paris, Dorothy","['Paris, Dorothy']",100 Dorothy Paris /  / Dorothy Paris / 1899-1986 / -
Anita Parkhurst,,,printmaker,,,,,,,,,,printmaker,,,,"Parkhurst, Anita","['Parkhurst, Anita']",
Janice Parrish,Janice Parrish,,painter,,,,,,,f,,,painter,,,,"Parrish, Janice","['Parrish, Janice']",100 Janice Parrish /  / Janice Parrish
Rachel Parrish,Rachel Parrish,,printmaker,,,,,,,f,,,printmaker,,,,"Parrish, Rachel","['Parrish, Rachel']",100 Rachel Parrish /  / Rachel Parrish
Margaret Pasek,Margaret Pasek,,printmaker,,,,,,,f,,,printmaker,,,,"Pasek, Margaret","['Pasek, Margaret']",100 Margaret Pasek /  / Margaret Pasek
Jane Peiser,Jane Peiser,,ceramic artist,,,,,,,m,,American,ceramic artist,,,,"Peiser, Jane","['Peiser, Jane']",100 Jane Peiser /  / Jane Peiser
W.T. Phillips,,,printmaker,,,,,,,,,,printmaker,,,,"Phillips, W.T.","['Phillips, W.T.']",
Bernard Picaut,Bernard Picart,,printmaker,,1673,,1733,,,m,http://vocab.getty.edu/page/ulan/500001805,French (culture or style),printmaker,,,,"Picaut, Bernard","['Picaut, Bernard']",93 Bernard Picart /  / Bernard Picaut / 1673-1733 / -
M. Pildas,,,printmaker,,,,,,,,,,printmaker,,,,"Pildas, M.","['Pildas, M. ']",
S. Pollack,,,printmaker,,,,,,,,,,printmaker,,,,"Pollack, S.","['Pollack, S.']",
Dimitrije Popovic,Dimitrije Popovic,,printmaker,,1951,,,,,m,,Montenegrin,printmaker,,,,"Popovic, Dimitrije","['Popovic, Dimitrije']",100 Dimitrije Popovic /  / Dimitrije Popovic / 1951- / -
Llorenç Prats,,,book artist,,,,,,,,,,book artist,,,,"Prats, Llorenç","['Prats, Llorenç']",
Jacques Prou,Jacques the elder Prou,Jacques Prou,printmaker,,1620,,1683,,,m,http://vocab.getty.edu/page/ulan/500124831,French (culture or style),printmaker,,,,"Prou, Jacques","['Prou, Jacques']",100 Jacques the elder Prou / Jacques Prou / Jacques Prou / 1620-1683 / -
H. Putnam,,,printmaker,,,,,,,,,,printmaker,,,,"Putnam, H.","['Putnam, H.']",
Qin Yi,,,painter,,,,,,,,,,painter,,,,Qin Yi,['Qin Yi'],
Zita Querida,,,painter,,,,,,,,,,painter,,,,"Querida, Zita","['Querida, Zita']",
Dan Quest,Dan Quest,,printmaker,,,,,,,m,,,printmaker,,,,"Quest, Dan","['Quest, Dan']",100 Dan Quest /  / Dan Quest
Ravagnant,,,painter,,,,,,,,,,painter,,,,Ravagnant,['Ravagnant'],
Ren Pei,,,painter,,,,,,,,,,painter,,,,Ren Pei,['Ren Pei'],
Deborah Richardson,Deborah Richardson,,photographer,,,,,,,f,,,photographer,,,,"Richardson, Deborah","['Richardson, Deborah']",100 Deborah Richardson /  / Deborah Richardson
Russell Richardson,Russell Richardson,,artist,,,,,,,m,,,artist,,,,"Richardson, Russell","['Richardson, Russell']",100 Russell Richardson /  / Russell Richardson
Pablo Richman,,,painter,,,,,,,,,,painter,,,,"Richman, Pablo","['Richman, Pablo']",
Ripolles,,,painter,,,,,,,,,,painter,,,,Ripolles,['Ripolles'],
Katie Risseeuw,Katie Risseeuw,,printmaker,,,,,,,f,,,printmaker,,,,"Risseeuw, Katie","['Risseeuw, Katie']",100 Katie Risseeuw /  / Katie Risseeuw
George Ritteng,,,printmaker,,,,,,,,,,printmaker,,,,"Ritteng, George","['Ritteng, George']",
H. Roberti,,,printmaker,,,,,,,,,,printmaker,,,,"Roberti, H.","['Roberti, H.']",
William Vernon Roberts,William Vernon Roberts,,sculptor,,,,,,,m,,,sculptor,,,,"Roberts, William Vernon","['Roberts, William Vernon']",100 William Vernon Roberts /  / William Vernon Roberts
Jack Robertson,Jack Robertson,,photographer,,,,,,,m,,,photographer,,,,"Robertson, Jack","['Robertson, Jack']",100 Jack Robertson /  / Jack Robertson
Sheryl Robison,,,photographer,,,,,,,,,,photographer,,,,"Robison, Sheryl","['Robison, Sheryl']",
Roko,,,painter,,,,,,,,,,painter,,,,Roko,['Roko'],
Rosendahl,,,painter,,,,,,,,,,painter,,,,Rosendahl,['Rosendahl'],
Louise Rosenthal,,,painter,,,,,,,,,,painter,,,,"Rosenthal, Louise","['Rosenthal, Louise']",
Carl Rothy,Carl Rothy,,printmaker,,,,,,,m,,,printmaker,,,,"Rothy, Carl","['Rothy, Carl']",100 Carl Rothy /  / Carl Rothy
Ryosen,,,painter,,,,,,,,,,painter,,,,Ryosen,['Ryosen'],
Sanji,,,drawer,,,,,,,,,,drawer,,,,Sanji,['Sanji'],
T. Sato,,,printmaker,,,,,,,,,,printmaker,,,,"Sato, T.","['Sato, T.']",
Dutch Saunders,,,printmaker,,,,,,,,,,printmaker,,,,"Saunders, Dutch","['Saunders, Dutch']",
C. W. Schaever,,,painter,,,,,,,,,,painter,,,,"Schaever, C. W.","['Schaever, C. W.']",
Wifred Graf Schwerin von Krosigk,Wifred Graf Schwerin von Krosigk,,printmaker,,,,,,,m,,American,printmaker,,,,"Schwerin von Krosigk, Wifred Graf","['Schwerin von Krosigk, Wifred Graf']",100 Wifred Graf Schwerin von Krosigk /  / Wifred Graf Schwerin von Krosigk
Seizan,,,painter,,,,,,,,,,painter,,,,Seizan,['Seizan'],
Sesshu,,,printmaker,,,,,,,,,,printmaker,,,,Sesshu,['Sesshu'],
Amos Seweil,Amos Sewell,,printmaker,,1901,,1983,,,m,,American,printmaker,,,,"Seweil, Amos","['Seweil, Amos']",91 Amos Sewell /  / Amos Seweil / 1901-1983 / -
J. Shaw,,,printmaker,,,,,,,,,,printmaker,,,,"Shaw, J.","['Shaw, J. and Hughes, S.G.']",
Ichiin Shuki,,,painter,,,,,,,,,,painter,,,,"Shuki, Ichiin","['Shuki, Ichiin']",
Paul Shwab,,,painter,,,,,,,,,,painter,,,,"Shwab, Paul","['Shwab, Paul']",
Charles Singer,,,painter,,,,,,,,,,painter,,,,"Singer, Charles","['Singer, Charles']",
M. Slowicki,,,printmaker,,,,,,,,,,printmaker,,,,"Slowicki, M.","['Slowicki, M.']",
Kabocha Soyen,,,book artist,,,,,,,,,,book artist,,,,"Soyen, Kabocha","['Soyen, Kabocha']",
Harold Speakman,Harold Speakman,,printmaker,,1888,,1928,,,m,,American,printmaker,,,,"Speakman, Harold","['Speakman, Harold']",100 Harold Speakman /  / Harold Speakman / 1888-1928 / -
Lily Spinola,,,painter,,,,,,,,,,painter,,,,"Spinola, Lily","['Spinola, Lily']",
Heiner Stackelhaus,Heiner Stachelhaus,,book artist,,1930,,2002,,,m,,German,book artist,,,,"Stackelhaus, Heiner","['Stackelhaus, Heiner']",94 Heiner Stachelhaus /  / Heiner Stackelhaus / 1930-2002 / -
George Stang,Georges Sanh,,ceramic artist,,1909,,,,,m,,French,ceramic artist,,,,"Stang, George","['Stang, George']",83 Georges Sanh /  / George Stang / 1909- / -
Suishu,,,painter,,,,,,,,,,painter,,,,Suishu,['Suishu'],
Suison,,,painter,,,,,,,,,,painter,,,,Suison,['Suison'],
Rinsho Suzuki,,,painter,,,,,,,,,,painter,,,,"Suzuki, Rinsho","['Suzuki, Rinsho ']",
