name,cs_name,alias,cs_alias,wikidata_description,born,born_jstor,cs_born,died,died_jstor,cs_died,birthplace,deathplace,gender,ulan_url,ulan,cs_nationality,artist_type,birth_city,birth_state,description,last_first,creator_string,qc
Casey D. Gill,,"[""Casey Gill""]",,printmaker,1981,1981,,,,,Q487315,,,,,,printmaker,Monterey, CA,"1981, born Monterey, CA",Casey D.Gill,"['Gill, Casey (1981-, born Monterey, CA)', 'Gill, Casey (1981, born Monterey, CA)', 'Casey D.Gill (1981, born Monterey, CA)']",
Annie Herlocker,Annie Herlocker,,,printmaker,1982,1982,,,,,Q6346,,f,,,,printmaker,Indianapolis, IN,"1982-, born Indianapolis, IN","Herlocker, Annie","['Herlocker, Annie  (1982-, born Indianapolis, IN)']",100 Annie Herlocker /  / Annie Herlocker / - / 1982-
Alexandra Janezic,,,,printmaker,1988,1988,,,,,Q982388,,m,,,,printmaker,Orange, TX,"1988-, born Orange, TX","Janezic, Alexandra","['Janezic, Alexandra and Runkle, Matt (1988-, 1977-, born Orange, TX; Spokane, WA)']",
Patrick Gosnell,Patrick Gosnell,,,American printmaker,1989,1989,,,,,Q23556,,m,,,American,printmaker,Atlanta, GA,"1989-, born Atlanta, GA","Gosnell, Patrick","['Gosnell, Patrick (1989-, born Atlanta, GA)']",100 Patrick Gosnell /  / Patrick Gosnell / - / 1989-
Levi Sherman,,,,printmaker,1990,1990,,,,,Q5083,,m,,,,printmaker,Seattle, WA,"1990-, born Seattle, WA","Sherman, Levi","['Sherman, Levi and Gomez, Carly (1990-, born Seattle, WA)']",
Zhongbao Yao,,,,painter,1870,,,1924,1924,,Q956,,,,,,painter,Beijing, China,"-1924, born Beijing, China",Yao Zhongbao,"['Yao Zhongbao (-1924, born Beijing, China)']",
Ray Wakeland,,,,ceramic artist,,,,1964,1964,,Q646230,,,,,,ceramic artist,Monteagle, TN,"-1964, born Monteagle, TN","Wakeland, Ray","['Wakeland, Ray (-1964, born Monteagle, TN)']",
Giuseppe Raffetto,,,,drawer,,,,,,,Q1449,,m,,,,drawer,"Genoa, Italy",,"ca. 1750, born Genoa, Italy","Raffetto, Giuseppe","['Raffetto, Giuseppe (ca. 1750, born Genoa, Italy)', 'Raffetto, Giuseppe']",
Sara Langworthy,Sara Langworthy,,,American printmaker,,,,,,,Q1546,,f,,,American,printmaker,,IA,,"Langworthy, Sara","['Langworthy, Sara']",100 Sara Langworthy /  / Sara Langworthy
Gigi Aramescu,,"[""Georgeta Aramescu""]",,Romanian-American painter,1910,,,1994,,,Q170996,,f,,,,painter,Galatz,Romania,"born Galatz, Romania","Aramesco, Gigi","['Aramesco, Gigi (born Galatz, Romania)']",
Anita Gibson,,,,printmaker,,,,,,,Q211795,,f,,,,printmaker,Lima,Peru,", born Lima, Peru","Gibson, Anita","['Gibson, Anita (, born Lima, Peru)', 'Gibson, Anita', 'Gibson, Anita  (born Lima, Peru)']",
Louise De Gignilliet Rogers,Louise De Gignilliat Rogers,,,American printmaker,,,,,,,Q219656,,f,,,American,printmaker,Macon,GA,"born Macon, GA","Rogers, Louise De Gignilliet","['Rogers, Louise De Gignilliet (born Macon, GA)', 'Rogers, Louise De Gignilliet']",96 Louise De Gignilliat Rogers /  / Louise De Gignilliet Rogers
Tim Hooper,Tim Hooper,,,printmaker,,,,,,,Q23197,,m,,,,printmaker,Nashville,TN,"ca. 1970, born Nashville, TN","Hooper, Tim","['Hooper, Tim (ca. 1970, born Nashville, TN)']",100 Tim Hooper /  / Tim Hooper
Katherine J. Fries,,,,printmaker,,,,,,,Q28260,,f,,,,printmaker,Lincoln,NE,", born Lincoln, NE","Fries, Katherine J.","['Fries, Katherine J. (, born Lincoln, NE)']",
Genzaburo Hayashi,,,,painter,,,,,,,Q34600,,,,,,painter,Kyoto,Japan,"born Kyoto, Japan","Hayashi, Genzaburo","['Hayashi, Genzaburo (born Kyoto, Japan)']",
Sarah Hulsey,Sarah Hulsey,,,American printmaker,,,,,,,Q34863,,f,,,American,printmaker,Oklahoma City,OK,", born Oklahoma City, OK","Hulsey, Sarah","['Hulsey, Sarah (, born Oklahoma City, OK)']",100 Sarah Hulsey /  / Sarah Hulsey
Scott Russell,,,,"printmaker, for Hatch Show Print",,,,,,,Q490385,,m,,,,printmaker,Bloomington,IN,"born Bloomington, IN","Russell, Scott","['Russell, Scott, for Hatch Show Print (born Bloomington, IN)']",
Ch'en Ku,,,,painter,,,,,,,Q57719,,,,,,painter, P'eng-Ch'eng,China,", born P'eng-Ch'eng, China",Ch'en Ku,"[""Ch'en Ku (, born P'eng-Ch'eng, China)""]",
Jacob Vanderbilt,Jacob Vanderbilt,,,"American painter, active early 20th century around New York",,,,,,,,,m,,,American,painter,,,,"Vanderbilt, Jacob","['Vanderbilt, Jacob']",100 Jacob Vanderbilt /  / Jacob Vanderbilt
Herman Weyen,Herman Weyen,,,"Flemish printmaker, active in Paris 1638-1669",,1643,1638,,1672,1669,,,m,,,French,printmaker,,,1643-1672,"Weyen, Herman","['Weyen, Herman (1643-1672)']",100 Herman Weyen /  / Herman Weyen / 1638-1669 / 1643-1672
Zhou Tao,,,,painter,,,,,,,Q29520,,,,,,painter,,China,born China,Zhou Tao,['Zhou Tao (born China)'],
Gwen Haberman,Gwen Haberman,,,American and British printmaker,,,,,,,,,f,,,American and British,printmaker,,,,"Haberman, Gwen","['Haberman, Gwen']",100 Gwen Haberman /  / Gwen Haberman
Mitchell Chamberlain,Mitchell Chamberlain,,,"American artist from Nashville, Tennessee",,,,,,,,,m,,,American,printmaker,,,,"Chamberlain, Mitchell","['Chamberlain, Mitchell']",100 Mitchell Chamberlain /  / Mitchell Chamberlain
Jane Peiser,Jane Peiser,,,American ceramic artist,,,,,,,,,m,,,American,ceramic artist,,,,"Peiser, Jane","['Peiser, Jane']",100 Jane Peiser /  / Jane Peiser
Paul Nabb,Paul Nabb,,,American painter,,,,,,,,,m,,,American,painter,,,,"Nabb, Paul","['Nabb, Paul']",100 Paul Nabb /  / Paul Nabb
Laura Josephson,Laura Josephson,,,American photographer,,,,,,,,,f,,,American,photographer,,,,"Josephson, Laura","['Josephson, Laura']",100 Laura Josephson /  / Laura Josephson
Emily Berger,Emily Berger,,,American printmaker,,,,,,,,,f,,,American,printmaker,,,,"Berger, Emily","['Berger, Emily']",100 Emily Berger /  / Emily Berger
Mare Blocker,Mare Blocker,,,American printmaker,,,,,,,,,f,,,American,printmaker,,,,"Blocker, Mare","['Blocker, Mare']",100 Mare Blocker /  / Mare Blocker
Susan Bonfils,Susan Bonfils,,,American printmaker,,,,,,,,,f,,,American,printmaker,,,,"Bonfils, Susan","['Bonfils, Susan']",100 Susan Bonfils /  / Susan Bonfils
Wifred Graf Schwerin von Krosigk,Wifred Graf Schwerin von Krosigk,,,American printmaker,,,,,,,,,m,,,American,printmaker,,,,"Schwerin von Krosigk, Wifred Graf","['Schwerin von Krosigk, Wifred Graf']",100 Wifred Graf Schwerin von Krosigk /  / Wifred Graf Schwerin von Krosigk
Miriam Zartarian,Miriam Zartarian,,,American printmaker,,,,,,,,,f,,,American,printmaker,,,,"Zartarian, Miriam","['Zartarian, Miriam']",100 Miriam Zartarian /  / Miriam Zartarian
Karen Zimmermann,Karen Zimmermann,,,American printmaker,,,,,,,,,f,,,American,printmaker,,,,"Zimmermann, Karen","['Zimmermann, Karen']",100 Karen Zimmermann /  / Karen Zimmermann
James Gibson,James Gibson,,,American sculptor,,,,,,,,,m,,,American,sculptor,,,,"Gibson, James","['Gibson, James']",100 James Gibson /  / James Gibson
Adary,,,,artist,,,,,,,,,,,,,artist,,,,Adary,['Adary'],
Ahmad ibn al-Fadil ibn Ahmad al-Sharif al-'Ayyashi,,,,artist,,,,,,,,,,,,,artist,,,al-Husayni,Ahmad ibn al-Fadil ibn Ahmad al-Sharif al-'Ayyashi,"[""Ahmad ibn al-Fadil ibn Ahmad al-Sharif al-'Ayyashi (al-Husayni)""]",
L. M. Birchall,,,,artist,,,,,,,,,,,,,artist,,,,"Birchall, L. M.","['Birchall, L. M.']",
Carle,,,,artist,,,,,,,,,,,,,artist,,,,Carle,['Carle'],
Chen Yuzhang,,,,artist,,,,,,,,,,,,,artist,,,,Chen Yuzhang,['Chen Yuzhang'],
Irene Clairey,,,,artist,,,,,,,,,,,,,artist,,,,"Clairey, Irene","['Clairey, Irene']",
Docenud,,,,artist,,,,,,,,,,,,,artist,,,,Docenud,['Docenud'],
Frank E. Ellis,,,,artist,,,,,,,,,,,,,artist,,,,"Ellis, Frank E.","['Ellis, Frank E.']",
Georgii-Hemming,,,,artist,,,,,,,,,,,,,artist,,,,Georgii-Hemming,['Georgii-Hemming'],
C. Hallmandel,,,,artist,,,,,,,,,,,,,artist,,,,"Hallmandel, C.","['Hallmandel, C.']",
Christie Hawkins,,,,artist,,,,,,,,,,,,,artist,,,,"Hawkins, Christie","['Hawkins, Christie']",
Ikkoku-sai,,,,artist,,,,,,,,,,,,,artist,,,,Ikkoku-sai,['Ikkoku-sai'],
Jan Janus,,,,artist,,,,,,,,,,,,,artist,,,,"Janus, Jan","['Janus, Jan']",
Mark McDevitt,Mark McDevitt,,,artist,,,,,,,,,m,,,,artist,,,,"McDevitt, Mark","['McDevitt, Mark']",100 Mark McDevitt /  / Mark McDevitt
Russell Richardson,Russell Richardson,,,artist,,,,,,,,,m,,,,artist,,,,"Richardson, Russell","['Richardson, Russell']",100 Russell Richardson /  / Russell Richardson
Yoji,,,,artist,,,,,,,,,,,,,artist,,,,Yoji,['Yoji'],
Knud Gastlund,,,,book artist,,,,,,,,,,,,,book artist,,,,"Gastlund, Knud","['Gastlund, Knud & Sert, Jose Luis']",
Karen Genter,,,,book artist,,,,,,,,,,,,,book artist,,,,"Genter, Karen","['Genter, Karen']",
Masanobu Hasegawa,,,,book artist,,,,,,,,,,,,,book artist,,,,"Hasegawa, Masanobu","['Hasegawa, Masanobu']",
Ichimosai Hōko,,,,book artist,,,,,,,,,,,,,book artist,,,,"Hōko, Ichimosai","['Hōko, Ichimosai', 'Hoko, Ichimosai']",
Renzan Hotta,,,,book artist,,,,,,,,,,,,,book artist,,,,"Hotta, Renzan","['Hotta, Renzan']",
Jirobei Ichida,,,,book artist,,,,,,,,,,,,,book artist,,,,"Ichida, Jirobei","['Ichida, Jirobei']",
Kenroku Sensei Inoue,,,,book artist,,,,,,,,,,,,,book artist,,,,"Inoue, Kenroku Sensei","['Inoue, Kenroku Sensei']",
Shukuei Itakura,,,,book artist,,,,,,,,,,,,,book artist,,,,"Itakura, Shukuei","['Itakura, Shukuei']",
Jichosai,,,,book artist,,,,,,,,,,,,,book artist,,,Nichosai,Jichosai,['Jichosai (Nichosai) (1781-1788)'],
Hirosuke Katsugawa,,,,book artist,,,,,,,,,,,,,book artist,,,,"Katsugawa, Hirosuke","['Katsugawa, Hirosuke and Haruaki Fiji']",
Dojin Kinsai,,,,book artist,,,,,,,,,,,,,book artist,,,,"Kinsai, Dojin","['Kinsai, Dojin']",
Saishuntei Matsutaka,,,,book artist,,,,,,,,,,,,,book artist,,,,"Matsutaka, Saishuntei","['Matsutaka, Saishuntei']",
Hasegawa Mitsunobu,,,,book artist,,,,,,,,,,,,,book artist,,,Eishun,"Mitsunobu, Hasegawa","['Mitsunobu, Hasegawa (Eishun) (1790-1848)']",
Chura Nakayoshi Morishima,,,,book artist,,,,,,,,,,,,,book artist,,,,"Morishima, Chura Nakayoshi","['Morishima, Chura Nakayoshi']",
Nishikawa,,,,book artist,,,,,,,,,,,,,book artist,,,,Nishikawa,['Nishikawa'],
Harunobu Nishikawa,,,,book artist,,,,,,,,,,,,,book artist,,,,"Nishikawa, Harunobu","['Nishikawa, Harunobu']",
Llorenç Prats,,,,book artist,,,,,,,,,,,,,book artist,,,,"Prats, Llorenç","['Prats, Llorenç']",
Kabocha Soyen,,,,book artist,,,,,,,,,,,,,book artist,,,,"Soyen, Kabocha","['Soyen, Kabocha']",
David MacKenzie,,,,"British architect, 20th century",,,,,,,,,,,,,printmaker,,,"British architect, 20th century","MacKenzie, David","['MacKenzie, David (British architect, 20th century)']",
John Leach,,,,ceramic artist,,,,,,,,,,,,,ceramic artist,,,,"Leach, John","['Leach, John']",
T. Harrington Lyons,,,,ceramic artist,,,,,,,,,,,,,ceramic artist,,,,"Lyons, T. Harrington","['Lyons, T. Harrington']",
Heinz Handschick,,,,contemporary German painter,,,,,,,,,,,,,printmaker,,,"German painter, contemporary","Handschick, Heinz","['Handschick, Heinz (German painter, contemporary)']",
Virginia F. Bill,,,,drawer,,,,,,,,,,,,,drawer,,,,"Bill, Virginia F.","['Bill, Virginia F.']",
Pierre Franz Cabanes,Pierre Franz-Cabanes,,,drawer,,,,,,,,,m,,,,drawer,,,,"Cabanes, Pierre Franz","['Cabanes, Pierre Franz']",95 Pierre Franz-Cabanes /  / Pierre Franz Cabanes
Donovan,,,,drawer,,,,,,,,,,,,,drawer,,,,Donovan,['Donovan'],
K. Garicola,,,,drawer,,,,,,,,,,,,,drawer,,,,"Garicola, K.","['Garicola, K.']",
Judy Kniseley,Judy Kniseley,,,drawer,,,,,,,,,f,,,,drawer,,,"-1964, ca.","Kniseley, Judy","['Kniseley, Judy (-1964, ca.)']",100 Judy Kniseley /  / Judy Kniseley
Donald McKay,,,,drawer,,,,,,,,,,,,,drawer,,,,"McKay, Donald","['McKay, Donald']",
Sanji,,,,drawer,,,,,,,,,,,,,drawer,,,,Sanji,['Sanji'],
Hidekichi Taguchi,,,,drawer,,,,,,,,,,,,,drawer,,,,"Taguchi, Hidekichi","['Taguchi, Hidekichi']",
Joy Rice White,,,,drawer,,,,,,,,,,,,,drawer,,,,"White, Joy Rice","['White, Joy Rice']",
F. Andrus,,,,painter,,,,,,,,,,,,,painter,,,,"Andrus, F.","['Andrus, F.']",
H. Axelrod,,,,painter,,,,,,,,,,,,,painter,,,,"Axelrod, H.","['Axelrod, H.']",
Dorothea Blum,,,,painter,,,,,,,,,,,,,painter,,,,"Blum, Dorothea","['Blum, Dorothea']",
Woo Bong,,,,painter,,,,,,,,,,,,,painter,,,ca. 1948,"Bong, Woo","['Bong, Woo (ca. 1948)']",
Bouslough,,,,painter,,,,,,,,,,,,,painter,,,,Bouslough,['Bouslough'],
Henry Carey,Henry Carey,,,painter,,,,,,,,,m,,,,painter,,,,"Carey, Henry","['Carey, Henry']",100 Henry Carey /  / Henry Carey
Chang Tse-tuan,,,,painter,,,,,,,,,,,,,painter,,,,Chang Tse-tuan,['Chang Tse-tuan'],
Chao Fen,,,,painter,,,,,,,,,,,,,painter,,,,Chao Fen,['Chao Fen'],
A. Conti,,,,painter,,,,,,,,,,,,,painter,,,,"Conti, A.","['Conti, A.']",
R.H. Craig,,,,painter,,,,,,,,,,,,,painter,,,,"Craig, R.H.","['Craig, R.H.']",
Pat Cucaro,,,,painter,,,,,,,,,,,,,painter,,,,"Cucaro, Pat","['Cucaro, Pat']",
F. Drosd,,,,painter,,,,,,,,,,,,,painter,,,,"Drosd, F.","['Drosd, F.']",
A. Duret,,,,painter,,,,,,,,,,,,,painter,,,,"Duret, A.","['Duret, A.']",
Manuel Fandos,,,,painter,,,,,,,,,,,,,painter,,,,"Fandos, Manuel","['Fandos, Manuel']",
R. Fatiquant,,,,painter,,,,,,,,,,,,,painter,,,,"Fatiquant, R.","['Fatiquant, R.']",
E. Fisher,,,,painter,,,,,,,,,,,,,painter,,,,"Fisher, E.","['Fisher, E.']",
Tom Foster,,,,painter,,,,,,,,,,,,,painter,,,,"Foster, Tom","['Foster, Tom']",
Frankenstein,,,,painter,,,,,,,,,,,,,painter,,,,Frankenstein,['Frankenstein'],
E.N. Griffith,,,,painter,,,,,,,,,,,,,painter,,,,"Griffith, E.N.","['Griffith, E.N.']",
Haendil,,,,painter,,,,,,,,,,,,,painter,,,,Haendil,['Haendil'],
Bob Hollingsworth,,,,painter,,,,,,,,,,,,,painter,,,,"Hollingsworth, Bob","['Hollingsworth, Bob']",
John Howard,,,,painter,,,,,,,,,,,,,painter,,,,"Howard, John","['Howard, John']",
Jiang Hu,,,,painter,,,,,,,,,,,,,painter,,,,"Hu, Jiang","['Hu, Jiang']",
A. Itiani,,,,painter,,,,,,,,,,,,,painter,,,,"Itiani, A.","['Itiani, A.']",
Jiang Hu,,,,painter,,,,,,,,,,,,,painter,,,,Jiang Hu,['Jiang Hu'],
Kado,,,,painter,,,,,,,,,,,,,painter,,,,Kado,['Kado'],
Kim Sal Rui,,,,painter,,,,,,,,,,,,,painter,,,,Kim Sal Rui,['Kim Sal Rui'],
John Kings,,,,painter,,,,,,,,,,,,,painter,,,,"Kings, John","['Kings, John']",
Koshin,,,,painter,,,,,,,,,,,,,painter,,,,Koshin,['Koshin'],
Hector La Rouke,,,,painter,,,,,,,,,,,,,painter,,,,"La Rouke, Hector","['La Rouke, Hector']",
Charlotte Lentrein,,,,painter,,,,,,,,,,,,,painter,,,,"Lentrein, Charlotte","['Lentrein, Charlotte']",
Matsuyama,,,,painter,,,,,,,,,,,,,painter,,,or Shozan,Matsuyama,['Matsuyama (or Shozan)'],
Meitō,,,,painter,,,,,,,,,,,,,painter,,,,Meitō,['Meitō'],
Mark Miller,,,,painter,,,,,,,,,,,,,painter,,,,"Miller, Mark","['Miller, Mark']",
S. Mozzolini,,,,painter,,,,,,,,,,,,,painter,,,,"Mozzolini, S.","['Mozzolini, S.']",
Toshi Oson,,,,painter,,,,,,,,,,,,,painter,,,,"Oson, Toshi","['Oson, Toshi']",
Ou Shiang,,,,painter,,,,,,,,,,,,,painter,,,,Ou Shiang,['Ou Shiang'],
Janice Parrish,Janice Parrish,,,painter,,,,,,,,,f,,,,painter,,,,"Parrish, Janice","['Parrish, Janice']",100 Janice Parrish /  / Janice Parrish
Qin Yi,,,,painter,,,,,,,,,,,,,painter,,,,Qin Yi,['Qin Yi'],
Zita Querida,,,,painter,,,,,,,,,,,,,painter,,,,"Querida, Zita","['Querida, Zita']",
Ravagnant,,,,painter,,,,,,,,,,,,,painter,,,,Ravagnant,['Ravagnant'],
Ren Pei,,,,painter,,,,,,,,,,,,,painter,,,,Ren Pei,['Ren Pei'],
Pablo Richman,,,,painter,,,,,,,,,,,,,painter,,,,"Richman, Pablo","['Richman, Pablo']",
Ripolles,,,,painter,,,,,,,,,,,,,painter,,,,Ripolles,['Ripolles'],
Roko,,,,painter,,,,,,,,,,,,,painter,,,,Roko,['Roko'],
Rosendahl,,,,painter,,,,,,,,,,,,,painter,,,,Rosendahl,['Rosendahl'],
Louise Rosenthal,,,,painter,,,,,,,,,,,,,painter,,,,"Rosenthal, Louise","['Rosenthal, Louise']",
Ryosen,,,,painter,,,,,,,,,,,,,painter,,,,Ryosen,['Ryosen'],
C. W. Schaever,,,,painter,,,,,,,,,,,,,painter,,,,"Schaever, C. W.","['Schaever, C. W.']",
Seizan,,,,painter,,,,,,,,,,,,,painter,,,,Seizan,['Seizan'],
Ichiin Shuki,,,,painter,,,,,,,,,,,,,painter,,,,"Shuki, Ichiin","['Shuki, Ichiin']",
Paul Shwab,,,,painter,,,,,,,,,,,,,painter,,,,"Shwab, Paul","['Shwab, Paul']",
Charles Singer,,,,painter,,,,,,,,,,,,,painter,,,,"Singer, Charles","['Singer, Charles']",
Lily Spinola,,,,painter,,,,,,,,,,,,,painter,,,,"Spinola, Lily","['Spinola, Lily']",
Suishu,,,,painter,,,,,,,,,,,,,painter,,,,Suishu,['Suishu'],
Suison,,,,painter,,,,,,,,,,,,,painter,,,,Suison,['Suison'],
Rinsho Suzuki,,,,painter,,,,,,,,,,,,,painter,,,,"Suzuki, Rinsho","['Suzuki, Rinsho ']",
Kenneth K. Thompson,,,,painter,,,,,,,,,,,,,painter,,,,"Thompson, Kenneth K.","['Thompson, Kenneth K.']",
Ron Thompson,,,,painter,,,,,,,,,,,,,painter,,,,"Thompson, Ron","['Thompson, Ron']",
Tung Tsou-ping,,,,painter,,,,,,,,,,,,,painter,,,,Tung Tsou-ping,['Tung Tsou-ping'],
Karl Turmohlen,,,,painter,,,,,,,,,,,,,painter,,,,"Turmohlen, Karl","['Turmohlen, Karl']",
Arthur Turner,,,,painter,,,,,,,,,,,,,painter,,,,"Turner, Arthur","['Turner, Arthur']",
C. Volkman,,,,painter,,,,,,,,,,,,,painter,,,,"Volkman, C.","['Volkman, C.']",
L. Walter,,,,painter,,,,,,,,,,,,,painter,,,,"Walter, L.","['Walter, L.']",
Wang Han,,,,painter,,,,,,,,,,,,,painter,,,,Wang Han,['Wang Han'],
Han Wang,,,,painter,,,,,,,,,,,,,painter,,,,"Wang, Han","['Wang, Han']",
William Whitney,,,,painter,,,,,,,,,m,,,,painter,,,,"Whitney, William","['Whitney, William']",81 William Wise / William Wise / William Whitney / 1793-1893 / -
Wu Yang-t'ien,,,,painter,,,,,,,,,,,,,painter,,,,Wu Yang-t'ien,"[""Wu Yang-t'ien""]",
Koitsu Yasu,,,,painter,,,,,,,,,,,,,painter,,,,"Yasu, Koitsu","['Yasu, Koitsu']",
Yosho,,,,painter,,,,,,,,,,,,,painter,,,,Yosho,['Yosho'],
Runan Zhou,,,,painter,,,,,,,,,,,,,painter,,,,"Zhou, Runan","['Zhou, Runan']",
Leon Cantrell,Leon Cantrell,,,photographer,,,,,,,,,m,,,,photographer,,,,"Cantrell, Leon","['Cantrell, Leon']",100 Leon Cantrell /  / Leon Cantrell
Deborah Richardson,Deborah Richardson,,,photographer,,,,,,,,,f,,,,photographer,,,,"Richardson, Deborah","['Richardson, Deborah']",100 Deborah Richardson /  / Deborah Richardson
Jack Robertson,Jack Robertson,,,photographer,,,,,,,,,m,,,,photographer,,,,"Robertson, Jack","['Robertson, Jack']",100 Jack Robertson /  / Jack Robertson
Sheryl Robison,,,,photographer,,,,,,,,,,,,,photographer,,,,"Robison, Sheryl","['Robison, Sheryl']",
G. Adam,,,,printmaker,,,,,,,,,,,,,printmaker,,,,"Adam, G.","['Adam, G.']",
R. Bach,,,,printmaker,,,,,,,,,,,,,printmaker,,,,"Bach, R.","['Bach, R.']",
Alfred Barrós,Alfred Barrós,,,printmaker,,,,,,,,,m,,,,printmaker,,,,"Barrós, Alfred","['Barrós, Alfred']",100 Alfred Barrós /  / Alfred Barrós
Ann Bauer,Ann Bauer,,,printmaker,,,,,,,,,f,,,,printmaker,,,,"Bauer, Ann","['Bauer, Ann']",100 Ann Bauer /  / Ann Bauer
Baviera,,,,printmaker,,,,,,,,,,,,,printmaker,,,,Baviera,['Baviera '],
B. Bernards,,,,printmaker,,,,,,,,,,,,,printmaker,,,,"Bernards, B.","['Bernards, B.']",
Fannie B. Blakeley,,,,printmaker,,,,,,,,,,,,,printmaker,,,,"Blakeley, Fannie B.","['Blakeley, Fannie B.']",
S. Boichard,,,,printmaker,,,,,,,,,,,,,printmaker,,,,"Boichard, S.","['Boichard, S.']",
Gernot Branolt,,,,printmaker,,,,,,,,,,,,,printmaker,,,,"Branolt, Gernot","['Branolt, Gernot']",
Clinton Brown,Clinton Brown,,,printmaker,,,,,,,,,m,,,,printmaker,,,,"Brown, Clinton","['Brown, Clinton ']",100 Clinton Brown /  / Clinton Brown
G. Burke,,,,printmaker,,,,,,,,,,,,,printmaker,,,,"Burke, G.","['Burke, G.']",
M Chwedczuk,,,,printmaker,,,,,,,,,,,,,printmaker,,,,"Chwedczuk, M","['Chwedczuk, M']",
J. Clark,,,,printmaker,,,,,,,,,,,,,printmaker,,,,"Clark, J.","['Clark, J.']",
Aaron Cohick,,,,printmaker,,,,,,,,,,,,,printmaker,,,,"Cohick, Aaron","['Cohick, Aaron']",
Colin Connor,,,,printmaker,,,,,,,,,,,,,printmaker,,,,"Connor, Colin","['Connor, Colin']",
C. Conse,,,,printmaker,,,,,,,,,,,,,printmaker,,,,"Conse, C.","['Conse, C.']",
Cordnin,,,,printmaker,,,,,,,,,,,,,printmaker,,,,Cordnin,['Cordnin'],
W. Dennis,,,,printmaker,,,,,,,,,,,,,printmaker,,,,"Dennis, W.","['Dennis, W.']",
Ernst,,,,printmaker,,,,,,,,,,,,,printmaker,,,,Ernst,['Ernst'],
Comp Estellido,,,,printmaker,,,,,,,,,,,,,printmaker,,,,"Estellido, Comp","['Estellido, Comp']",
Flasho,,,,printmaker,,,,,,,,,,,,,printmaker,,,,Flasho,['Flasho'],
Garzon Florez,,,,printmaker,,,,,,,,,,,,,printmaker,,,,"Florez, Garzon","['Florez, Garzon']",
Carol Lawton Freeman,,,,printmaker,,,,,,,,,,,,,printmaker,,,,"Freeman, Carol Lawton","['Freeman, Carol Lawton']",
Gerasch,,,,printmaker,,,,,,,,,,,,,printmaker,,,,Gerasch,['Gerasch'],
Hel Gold,,,,printmaker,,,,,,,,,,,,,printmaker,,,,"Gold, Hel","['Gold, Hel']",
J. Goodyear,,,,printmaker,,,,,,,,,,,,,printmaker,,,,"Goodyear, J.","['Goodyear, J.']",81 John L. Goodyear /  / J. Goodyear / 1930- / -
Gremillier,,,,printmaker,,,,,,,,,,,,,printmaker,,,,Gremillier,['Gremillier'],
W.C. Hart,,,,printmaker,,,,,,,,,,,,,printmaker,,,,"Hart, W.C.","['Hart, W.C. ']",
Konobu Hasegawa,,,,printmaker,,,,,,,,,,,,,printmaker,,,fl. late 19th c.,"Hasegawa, Konobu","['Hasegawa, Konobu (fl. late 19th c.)']",
Goyo Hashimoto,,,,printmaker,,,,,,,,,,,,,printmaker,,,,"Hashimoto, Goyo","['Hashimoto, Goyo & Kaburagi, Kiyokata']",
Heidenreich,,,,printmaker,,,,,,,,,,,,,printmaker,,,,Heidenreich,['Heidenreich'],
D. Heidenreich,,,,printmaker,,,,,,,,,,,,,printmaker,,,,"Heidenreich, D.","['Heidenreich, D.']",
A. Hendee,,,,printmaker,,,,,,,,,,,,,printmaker,,,,"Hendee, A.","['Hendee, A.']",
Arturo Heras,,,,printmaker,,,,,,,,,,,,,printmaker,,,or Heras Sanz,"Heras, Arturo","['Heras, Arturo (or Heras Sanz)  (1945-, born Valencia, Spain)']",
E.P. Hoffmann,,,,printmaker,,,,,,,,,,,,,printmaker,,,,"Hoffmann, E.P.","['Hoffmann, E.P.']",
Sanji Hoseki,,,,printmaker,,,,,,,,,,,,,printmaker,,,,"Hoseki, Sanji","['Hoseki, Sanji']",
Luis Jimenez,,,,printmaker,,,,,,,,,,,,,printmaker,,,,"Jimenez, Luis","['Jimenez, Luis']",
Isai Katsushika,,,,printmaker,,,,,,,,,,,,,printmaker,,,,"Katsushika, Isai","['Katsushika, Isai']",
Keisui,,,,printmaker,,,,,,,,,,,,,printmaker,,,,Keisui,['Keisui '],
Kitabat,,,,printmaker,,,,,,,,,,,,,printmaker,,,,Kitabat,['Kitabat'],
A Krauze,,,,printmaker,,,,,,,,,,,,,printmaker,,,,"Krauze, A","['Krauze, A']",
Christophe Kutner,Christophe Kutner,,,printmaker,,,,,,,,,m,,,,printmaker,,,,"Kutner, Christophe","['Kutner, Christophe']",100 Christophe Kutner /  / Christophe Kutner
Kwannon,,,,printmaker,,,,,,,,,,,,,printmaker,,,,Kwannon,['Kwannon'],
Andrew Lafitte,,,,printmaker,,,,,,,,,,,,,printmaker,,,,"Lafitte, Andrew","['Lafitte, Andrew']",
G. Landry,,,,printmaker,,,,,,,,,,,,,printmaker,,,,"Landry, G.","['Landry, G.']",
Lemoir,,,,printmaker,,,,,,,,,,,,,printmaker,,,,Lemoir,['Lemoir'],
Lillian Lent,,,,printmaker,,,,,,,,,,,,,printmaker,,,,"Lent, Lillian","['Lent, Lillian']",
Lihacault,,,,printmaker,,,,,,,,,,,,,printmaker,,,,Lihacault,['Lihacault'],
Mon Lurnson,,,,printmaker,,,,,,,,,,,,,printmaker,,,,"Lurnson, Mon","['Lurnson, Mon']",
