key,reason,item_type,isbn,issn,publication_title,publication_year,author,title
QRBVG2XE,Article or chapter without published_in.,journalArticle,,,"Scriptura: International Journal of Bible, Religion and Theology in Southern Africa 3 [Festschrift Yehoshua Gitay]",2004,"Sasson, Jack M.",Doeg's Job
VTXT8WC4,Article or chapter without published_in.,bookSection,,,"Orientalism, Assyriology and the Bible",2006,"Sasson, Jack M.",Mari and the Holy Grail
H4QMCKRG,Article or chapter without published_in.,bookSection,,,Krieg und Frieden im Alten Vorderasien,2006,"Sasson, Jack M.",Casus Belli in the Mari archives
STFFAFRI,Article or chapter without published_in.,bookSection,978-88-901286-8-4,,Food and Identity in the Ancient World,2004,"Sasson, Jack M.",The King’s Table: Food and Fealty in Old Babylonian Mari
KNT4Q34D,Article or chapter without published_in.,bookSection,,,Utopia and Dystopia in Prophetic Literature,2006,"Sasson, Jack M.",Utopian and Dystopian Images in Mari Prophetic Texts
QK8R67UT,Article or chapter without published_in.,bookSection,0-931464-08-0 978-0-931464-08-9 0-931464-67-6 978-0-931464-67-6,,Studies on the civilization and culture of Nuzi and the Hurrians,1981,"Sasson, Jack M.","Idrimi and Šarruwa, the Scribe"
B8XRQRE5,Article or chapter without published_in.,journalArticle,,,Journal of the American Oriental Society,1966,"Sasson, Jack M.",Canaanite Maritime Involvement in the Second Millennium B. C.
CBFNAJDC,Article or chapter without published_in.,journalArticle,,,Aššur,1979,"Sasson, Jack M.",Hurrian Personal Names in the Rimaḥ Archives
47U34WV2,Article or chapter without published_in.,journalArticle,,,NABU: Nouvelles assyriologiques Brèves et Utilitaires,1989,"Sasson, Jack M.",Zimri-Lim's Letter to Tish-ulme
UF7UK9R6,Article or chapter without published_in.,journalArticle,,,NABU: Nouvelles assyriologiques Brèves et Utilitaires,1992,"Sasson, Jack M.",Time is Pressing
D8RCQAGR,Article or chapter without published_in.,bookSection,,,"Drinking in ancient societies : history and culture of drinks in the ancient Near East : papers of a symposium held in Rome, May 17-19, 1990",1994,"Sasson, Jack M.",The Blood of Grapes: Viticulture and Intoxication in the Hebrew Bible
9HB7CSXQ,Article or chapter without published_in.,bookSection,0-87068-758-1,,Bible World: Essays in Honor of Cyrus H. Gordon,1980,"Sasson, Jack M.","The ""Tower of Babel"" as a clue to the redactional structuring of the primeval history (Gen 1-11:9)"
S3K74EHC,Article or chapter without published_in.,bookSection,0-934718-90-3,,A scientific humanist : studies in memory of Abraham Sachs,1988,"Sasson, Jack M.",Shunukhra-Khalu
DTAK7H4V,Article or chapter without published_in.,bookSection,,,"Festschrift für Hermann Hunger, zum 65. Geburtstag gewidmet von seinen Freunden, Kollegen, und Schülern",2007,"Sasson, Jack M.",Scruples: Extradition in the Mari Archives
9UHFQNZC,Article or chapter without published_in.,bookSection,3525530439 (Vandenhoeck & Ruprecht : hd.bd.),,"Kein Land für sich allein: Studien zum Kulturkontakt in Kanaan, Israel/Palästina und Ebirnari für Manfred Weippert zum 65. Geburtstag",2002,"Sasson, Jack M.; Weippert, Manfred",Ritual Wisdom? On ‘Seething a Kid in its Mother’s Milk
WQ93BXUX,Article or chapter without published_in.,bookSection,978-90-04-14666-2,,Religion in Geschichte und Gegenwart,2007,"Sasson, Jack M.",Mari
FQEIV2Z4,Article or chapter without published_in.,bookSection,,,Ras Shamra parallels. The texts from Ugarit and the Hebrew Bible,1972,"Sasson, Jack M.","Flora, Fauna, and Minerals"
F9ARPZJC,Article or chapter without published_in.,bookSection,978-1-907534-72-0,,Making a Difference: Essays on the Bible and Judaism in Honor of Tamara Cohn Eskenazi,2012,"Sasson, Jack M.",Farewell to Mr. So-and So (Ruth 4:1)
C44BZ7EE,Article or chapter without published_in.,bookSection,90-6258-126-9 978-90-6258-126-9,,Zikir šumim: Assyriological studies presented to F.R. Kraus on the occasion of his seventieth birthday,1982,"Sasson, Jack M.",Accounting Discrepancies in the Mari NÌ.GUB [NÍG.DU]
MNHAWSM3,Article or chapter without published_in.,journalArticle,,,Revue d'assyriologie et d'archéologie orientale,1998,"Sasson, Jack M.",About Mari and the Bible
M5QVXRM3,Article or chapter without published_in.,journalArticle,,,Learn more Zeitschrift fuer die Alttestamentliche Wissenschaft,1973,"Sasson, Jack M.",A Further Cuneiform Parallel to the Song of Songs
DCMMJGVW,Article or chapter without published_in.,journalArticle,,,Biblische Zeitschrift,1972,"Sasson, Jack M.","Numbers 5 and the ‘Waters of Judgment"""
7CMNLWBB,Article or chapter without published_in.,bookSection,,,Ve-'Ed Ya'aleh (Gen 2:6): Essays in Biblical and Ancient Near Eastern Studies Presented to Edward L. Greenstein,2021,"Sasson, Jack M",Samson as Riddle: Ve-'Ed Ya'aleh (Gen 2:6): Essays in Biblical and Ancient Near Eastern Studies Presented to Edward L. Greenstein
RRDLU37A,Article or chapter without published_in.,bookSection,978-0-567-68657-2 978-0-567-68656-5,,"Biblical Narratives, Archaeology and Historicity: Essays In Honour of Thomas L. Thompson",2020,"Sasson, Jack M.",A Gate in Gaza: An Essay on the Reception of Tall Tales
P5I2DKWJ,Article or chapter without published_in.,bookSection,978-0-8146-8415-3,,"Beyond dogmatism and innocence: hermeneutics, critique, and Catholic theology",2017,"Segovia, Fernando F",A Theological Reading of Scripture? Critical Problematic and Prophetic Vision in the Aftermath and Crossroads of Disciplinary Transformation
BQ7YF8XC,Article or chapter without published_in.,bookSection,978-1-4985-7277-4,,Colonialism and the Bible: contemporary reflections from the global south.,2020,"Segovia, Fernando F","Colonialism and the Bible: Trajectories, Evaluations, Proposals"
RNWYRMQU,Article or chapter without published_in.,bookSection,978-1-4985-7277-4,,Colonialism and the Bible: contemporary reflections from the global south.,2020,"Segovia, Fernando F",Colonialism and the Bible: A Critical Stock-Taking from the Global South
2SN73SZT,Article or chapter without published_in.,bookSection,,,"Crucifixion, State Terror, and Sexual Abuse: Text and Context",2018,"Segovia, Fernando F",Jesus as Victim of State Terror: A Critical Reflection Twenty Years Later
6DWUQI4U,Article or chapter without published_in.,bookSection,978-0-88414-401-4 978-1-62837-253-3,,Interfigural readings of the Gospel of John,2019,"Segovia, Fernando F","A Call to Personal, Transformative, Autobiographical Criticism: Reflections on the Work of Ingrid Rosa Kitzberger"
5TC7SHCB,Article or chapter without published_in.,bookSection,978-1-978705-50-0,,Latino/a theology and the Bible: ethnic-racial reflections on interpretation,2021,"Segovia, Fernando F",Approaching Latino/a Theology and the Bible: Doing Cultural Analysis on an Ethnic-Racial Key
IS2NQHY4,Article or chapter without published_in.,bookSection,978-1-978705-50-0,,Latino/a theology and the Bible: ethnic-racial reflections on interpretation,2021,"Segovia, Fernando F",Approaching Latino/a Theology and the Bible: Doing Theological Construction and Biblical Criticism in an Ethnic-Racial Key.
TZAMEHBQ,Article or chapter without published_in.,bookSection,978-1-58983-654-9,,"Latino/a biblical hermeneutics : problematics, objectives, strategies / edited by Francisco Lozada Jr. and Fernando F. Segovia.",2014,"Lozada, Francisco; Segovia, Fernando F.",Approaching Latino/a Biblical Criticism: A Trajectory of Visions and Missions
ZVSZDCIN,Article or chapter without published_in.,bookSection,978-1-58983-654-9,,"Latino/a biblical hermeneutics : problematics, objectives, strategies / edited by Francisco Lozada Jr. and Fernando F. Segovia.",2014,"Lozada, Francisco; Segovia, Fernando F.",Advancing Latino/a Biblical Criticism: Visions and Missions for the Future
MQ337E47,Article or chapter without published_in.,bookSection,1-57075-202-8,,Teaching the Bible,1998,"Segovia, Fernando F.",Introduction : Pedagogical discourse and practices in contemporary biblical criticism
MNCRCDNR,Article or chapter without published_in.,bookSection,0-415-18099-6,,Personal voice in biblical interpretation,1999,"Segovia, Fernando F.",My personal voice : the making of a postcolonial critic
XNXI2N8J,Article or chapter without published_in.,bookSection,0-664-25824-7,,New Testament today,1999,"Segovia, Fernando F.",Methods for studying the New Testament
TFKACNVH,Article or chapter without published_in.,bookSection,987-00-0057-6,,Caminos inexhauribles de la Palabra (las relecturas creativas en la Biblia y de la Biblia),2000,"Segovia, Fernando F.",In the wake of liberation: postcolonial and diasporic criticisms
MFQ6E9WA,Article or chapter without published_in.,bookSection,1-57075-504-3,,Toward a new heaven and a new Earth,2003,"Schüssler Fiorenza, Elisabeth; Segovia, Fernando F.","Looking back, looking around, looking ahead: an interview with Elisabeth Schüssler Fiorenza"
B3XNV4PC,Article or chapter without published_in.,bookSection,0-687-09813-0,,Hispanic Christian thought at the dawn of the 21st century,2005,"Segovia, Fernando F.",Toward a hermeneutics of the diaspora: a hermeneutics of otherness and engagement
J7PPRZE4,Article or chapter without published_in.,bookSection,1-4051-3350-3,,Postcolonial biblical reader,2006,"Segovia, Fernando F.",Biblical criticism and postcolonial studies: toward a postcolonial optic
P8EIKX9K,Article or chapter without published_in.,bookSection,1-58983-245-0,,They were all together in one place?,2009,"Segovia, Fernando F.",Toward Latino/a American biblical criticism: Latin(o/a)ness as problematic
QIHAV943,Article or chapter without published_in.,bookSection,978-1-906055-70-7,,Postcolonial interventions,2009,"Segovia, Fernando F.",Tracing Sugirtharajah's voice from the margin: from liberation to postcolonialism
KPIFKVVK,Article or chapter without published_in.,bookSection,0-8006-2577-3,,We are a people! : initiatives in Hispanic American theology,1992,"Segovia, Fernando F.",Hispanic American Theology and the Bible: Effective Weapon and Faithful Ally
4KJTHW3S,Article or chapter without published_in.,bookSection,1-85075-898-0,,The postcolonial Bible,1998,"Segovia, Fernando F.",Biblical Criticism and Postcolonial Studies: Toward a Postcolonial Optic
25K7F9MS,Article or chapter without published_in.,bookSection,0-687-05531-8,,Dictionary of biblical interpretation,1999,"Segovia, Fernando F.",Hispanic American Biblical Interpretation
WQZWTW9V,Article or chapter without published_in.,bookSection,,,To each its own meaning : an introduction to biblical criticisms and their applications,1999,"Segovia, Fernando F.",Reading the Bible Ideologically: Socioeconomic Criticism
