qid,label_en,language_of_work_uuid,language_of_work,language_of_work_ref1_hash,language_of_work_ref1_statedIn,language_of_work_ref1_referenceUrl,language_of_work_ref1_retrieved_nodeId,language_of_work_ref1_retrieved_val,language_of_work_ref1_retrieved_prec
Q98496683,Prism: a theological forum for the United Church of Christ,0c922f91-41db-98bf-bbae-878f7bb1e505,Q1860,,,,,,
Q98497359,Journal of Religious Thought,b6497e74-48c8-bccf-dd66-49be9ef6ea33,Q1860,,,,,,
Q98526055,Living Pulpit,68680331-4596-9ed3-49a7-1ac46515c047,Q1860,,,,,,
Q98526165,Lutheran World,2777cda4-49a5-80e7-8170-cb4be991b24b,Q1860,,,,,,
Q98526338,Una Sancta : Zeitschrift für ökumenische Begegnung,d6262de9-446f-7c8b-e4f7-dbaab897858d,Q188,,,,,,
Q98606254,Disciples Divinity House Bulletin,3abe8ca4-486c-0ad0-2ebf-9d412249cbed,Q1860,,,,,,
Q98608133,Journal of Pastoral Care,76ad681b-43a8-780f-6e7a-a8911b7d1af9,Q1860,,,,,,
Q98608602,Chicago Theological Seminary Register,b435dc5e-4a0c-f560-7b35-5771102ae51b,Q1860,,,,,,
Q98608890,Journal of Supervision and Training in Ministry,64437d72-4c14-2fc8-8d02-e92baca39ff2,Q1860,,,,,,
Q98637260,Women's VU,91451673-40b9-3884-c008-a9af41d605bc,Q1860,,,,,,
Q98637310,Lexington Theological Quarterly,2ef94c74-4196-75a3-87f0-329b28d3503d,Q1860,,,,,,
Q98637434,Journal of Childhood and Religion,a474eb1c-49d8-76ec-a327-be096267c590,Q1860,,,,,,
Q98640359,Bearings,f1a13697-445d-4e28-5944-4b69e54e92ec,Q1860,,,,,,
Q98653905,The Cresset,6733d98a-41ac-68dc-54b6-a9e32c9b72e3,Q1860,,,,,,
Q98688147,Lifelong Faith,28bc34d7-4cf3-deb9-a3a9-6856d2a2f656,Q1860,,,,,,
Q98821386,Net Results,22040971-4a53-f033-a05e-cb16695f5de0,Q1860,,,,,,
Q98821824,Your Church,ee54ca40-4c52-385f-5750-5c897545e1f4,Q1860,,,,,,
Q98821922,The Disciple,e96291c1-492a-11e9-ce63-cfcd772c7cb1,Q1860,,,,,,
Q98821988,The Five Stones,287e85ce-462e-f000-49c5-9cf053ec4ed1,Q1860,,,,,,
Q98822345,Journal of Religious Leadership,36ee4cd2-40d1-0eab-98e0-4ac910345e40,Q1860,,,,,,
Q98833935,C21 Resources,57c6e90c-4324-c7b2-d8b0-409af7cfd84a,Q1860,,,,,,
Q98833987,Liturgical Ministry,e35233c4-4ffc-6e0b-d405-1478d0e75416,Q1860,,,,,,
Q98834513,American Theological Inquiry,c87a7c56-471b-96ca-d3fe-b9645e03c455,Q1860,,,,,,
Q98835708,The Alaskan Shepherd,580a324e-46ff-028c-8f0f-c4adc30d25b9,Q1860,,,,,,
Q98844814,Studia Aloisiana,bffc7170-445d-8a55-aa7f-124f47914ab7,Q9058,,,,,,
Q98846459,Spotlight on Theological Education,ba958ac1-4d5a-5b7b-ef00-1c4472127678,Q1860,,,,,,
Q98850260,Proceedings of the Catholic Theological Society of America,d69510f0-463b-3b85-5bfb-481223fa7b67,Q1860,,,,,,
Q99034646,The Conversation,b8d8adfe-4bc4-64ca-4d18-26de2ca614c6,Q1860,,,,,,
Q99056396,SJU Magazine,73379761-4ac8-0d31-9f3a-6502c840031e,Q1860,,,,,,
Q99436853,Wort und Weg,eac9f917-41bd-affa-8c2c-bdb845479cdd,Q188,,,,,,
Q99437117,Unterwegs (Stuttgart): Zeitschrift der Evangelisch-methodistischen Kirche,18bf6835-4164-bfce-3bdd-ce1fbbade3c6,Q188,,,,,,
Q99529105,Evangelische Kommentare,4a35f93b-433b-10e9-d26a-960573117c8b,Q188,,,,,,
Q99529437,Perkins Perspective,63c18e3f-4bdb-888f-635b-22b952dc8f77,Q1860,,,,,,
Q99542272,Theologie für die Praxis,cd05908c-45a6-89d9-da94-98387e35f27a,Q188,,,,,,
Q99544102,Ecothology,,,,,,,,
Q99578960,Zion's Herald,76970d7e-48ae-2eb0-f257-e22e5b0e59a7,Q1860,,,,,,
Q99579301,Apuntes,d93bae4c-4105-dcb0-eeac-ddc048674aa0,Q1321,,,,,,
Q99583037,The Clergy Journal,4db9f197-4717-c293-78b0-61ad8d96490a,Q1860,,,,,,
Q99735501,"The Ecumenist: A Journal of Theology, Culture, and Society",4681660b-47f3-a2d0-34a4-dbb2266b2808,Q1860,,,,,,
Q99735829,Syndicate,,,,,,,,
Q99736473,INSiGHT,2e894af8-4ac6-2c2b-0a52-89d84908607a,Q1860,,,,,,
Q99736600,Interreligious Studies and Intercultural Theology,52b843dd-4351-a239-cf12-b8984345daa9,Q1860,,,,,,
Q99737338,Religion and Society,529a9ca8-4ac9-bbdf-4289-3456bea0369c,Q1860,,,,,,
Q99737535,Response: the magazine of women in mission,6b0bd136-4125-94c6-63db-883324878648,Q1860,,,,,,
Q99760349,Practical Matters,c6d29322-497d-c66c-4170-44f168549e26,Q1860,,,,,,
