inventory_number,label,title
#2009.011i,"The Relapse (Reynard the Pilgrim), from Reynard the Fox, Chapter 6 by J.W. von Goethe.","The Relapse (Reynard the Pilgrim), from Reynard the Fox, Chapter 6 by J.W. von Goethe. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.011j,"The Outlawry (The Crow's Complaint), from Reynard the Fox, Chapter 7 by J.W. von Goethe.","The Outlawry (The Crow's Complaint), from Reynard the Fox, Chapter 7 by J.W. von Goethe. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.011k,"The Journey (The Horse's Kick), from Reynard the Fox, Chapter 8 by J.W. von Goethe.","The Journey (The Horse's Kick), from Reynard the Fox, Chapter 8 by J.W. von Goethe. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.011l,"Reynard and the Ape, from Reynard the Fox, Chapter 8 by J.W. von Goethe.","Reynard and the Ape, from Reynard the Fox, Chapter 8 by J.W. von Goethe. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.011m,"The Advocacy (Before the Judge), from Reynard the Fox, Chapter 9 by J.W. von Goethe.","The Advocacy (Before the Judge), from Reynard the Fox, Chapter 9 by J.W. von Goethe. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.011n,"The Man and the Snake, from Reynard the Fox, Chapter 9 by J.W. von Goethe.","The Man and the Snake, from Reynard the Fox, Chapter 9 by J.W. von Goethe. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.011o,"The Defiance (Reynard among the Wolves), from Reynard the Fox, Chapter 11 by J.W. von Goethe.","The Defiance (Reynard among the Wolves), from Reynard the Fox, Chapter 11 by J.W. von Goethe. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.011p,"Reynard, the Winner, from Reynard the Fox, Chapter 12 by J.W. von Goethe.","Reynard, the Winner, from Reynard the Fox, Chapter 12 by J.W. von Goethe. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.012a,"Portrait of Dostoevsky, from The Idiot, Frontispiece by Fyodor Dostoevsky.","Portrait of Dostoevsky, from The Idiot, Frontispiece by Fyodor Dostoevsky. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.012aa,"Consoling the Murderer, from The Idiot, Chapter 11 by Fyodor Dostoevsky.","Consoling the Murderer, from The Idiot, Chapter 11 by Fyodor Dostoevsky. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.012b,"Vignette of St. Petersburg, from The Idiot, Part 1 by Fyodor Dostoevsky.","Vignette of St. Petersburg, from The Idiot, Part 1 by Fyodor Dostoevsky. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.012c,"In the Railroad Car, from The Idiot, Chapter 1 by Fyodor Dostoevsky.","In the Railroad Car, from The Idiot, Chapter 1 by Fyodor Dostoevsky. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.012d,"In the Anteroom, from The Idiot, Chapter 2 by Fyodor Dostoevsky.","In the Anteroom, from The Idiot, Chapter 2 by Fyodor Dostoevsky. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.012e,"Nastasya's Portrait, from The Idiot, Chapter 3 by Fyodor Dostoevsky.","Nastasya's Portrait, from The Idiot, Chapter 3 by Fyodor Dostoevsky. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.012f,"The Execution, from The Idiot, Chapter 6 by Fyodor Dostoevsky.","The Execution, from The Idiot, Chapter 6 by Fyodor Dostoevsky. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.012g,"Poor Marie, from The Idiot, Chapter 6 by Fyodor Dostoevsky.","Poor Marie, from The Idiot, Chapter 6 by Fyodor Dostoevsky. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.012h,"Burning the Money, from The Idiot, Chapter 16 by Fyodor Dostoevsky.","Burning the Money, from The Idiot, Chapter 16 by Fyodor Dostoevsky. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.012i,"Jesus Nazarenus (Vignette), from The Idiot, Part 2 by Fyodor Dostoevsky.","Jesus Nazarenus (Vignette), from The Idiot, Part 2 by Fyodor Dostoevsky. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.012j,"Rogozhin Kneels, from The Idiot, Chapter 3 by Fyodor Dostoevsky.","Rogozhin Kneels, from The Idiot, Chapter 3 by Fyodor Dostoevsky. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.012k,"Exchanging Crosses, from The Idiot, Chapter 4 by Fyodor Dostoevsky.","Exchanging Crosses, from The Idiot, Chapter 4 by Fyodor Dostoevsky. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.012l,"The Ambush, from The Idiot, Chapter 5 by Fyodor Dostoevsky.","The Ambush, from The Idiot, Chapter 5 by Fyodor Dostoevsky. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.012m,"The Poor Knight, from The Idiot, Chapter 7 by Fyodor Dostoevsky.","The Poor Knight, from The Idiot, Chapter 7 by Fyodor Dostoevsky. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.012n,"The Four Visitors, from The Idiot, Chapter 7 by Feodor Dostoevsky.","The Four Visitors, from The Idiot, Chapter 7 by Feodor Dostoevsky. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.012o,"The Dream (Vignette), from The Idiot, Part 3 by Fyodor Dostoevsky.","The Dream (Vignette), from The Idiot, Part 3 by Fyodor Dostoevsky. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.012p,"The Nurse and the General, from The Idiot, Chapter 1 by Fyodor Dostoevsky.","The Nurse and the General, from The Idiot, Chapter 1 by Fyodor Dostoevsky. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.012q,"Attempted Suicide, from The Idiot, Chapter 7 by Fyodor Dostoevsky.","Attempted Suicide, from The Idiot, Chapter 7 by Fyodor Dostoevsky. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.012r,"Asleep on the Bench, from The Idiot, Chapter 8 by Fyodor Dostoevsky.","Asleep on the Bench, from The Idiot, Chapter 8 by Fyodor Dostoevsky. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.012s,"Curtain Closed (VIgnette), from The Idiot, Part 4 by Fyodor Dostoyevsky.","Curtain Closed (VIgnette), from The Idiot, Part 4 by Fyodor Dostoyevsky. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.012t,"The General and Kolya, from The Idiot, Chapter 4 by Fyodor Dostoevsky.","The General and Kolya, from The Idiot, Chapter 4 by Fyodor Dostoevsky. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.012u,"The Chinese Vase, from The Idiot, Chapter 7 by Fyodor Dostoevsky.","The Chinese Vase, from The Idiot, Chapter 7 by Fyodor Dostoevsky. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.012v,"The Confrontation, from The Idiot, Chapter 8 by Fyodor Dostoevsky.","The Confrontation, from The Idiot, Chapter 8 by Fyodor Dostoevsky. From: Fritz Eichenberg, artist of the book : 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.012w,"Comforting Nastasya, from The Idiot, Chapter 8 by Fyodor Dostoevsky.","Comforting Nastasya, from The Idiot, Chapter 8 by Fyodor Dostoevsky. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.012x,"The Bride, from The Idiot, Chapter 10 by Fyodor Dostoevsky.","The Bride, from The Idiot, Chapter 10 by Fyodor Dostoevsky. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.012y,"Watching the House, from The Idiot, Chapter 11 by Fyodor Dostoevsky.","Watching the House, from The Idiot, Chapter 11 by Fyodor Dostoevsky. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.012z,"The Corpse, from The Idiot, Chapter 11 by Fyodor Dostoevsky.","The Corpse, from The Idiot, Chapter 11 by Fyodor Dostoevsky. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.013a,"Portrait of Tolstoy, from Resurrection, Frontispiece by Leo Tolstoy.","Portrait of Tolstoy, from Resurrection, Frontispiece by Leo Tolstoy. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.013b,"Vignette of Cross, from Resurrection, Title Page by Leo Tolstoy.","Vignette of Cross, from Resurrection, Title Page by Leo Tolstoy. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.013c,"Vignette of Eagle, from Resurrection, Book One by Leo Tolstoy.","Vignette of Eagle, from Resurrection, Book One by Leo Tolstoy. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.013d,"The Easter Service, from Resurrection, Chapter 15 by Leo Tolstoy.","The Easter Service, from Resurrection, Chapter 15 by Leo Tolstoy. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.013e,"The Prisoners' Mass, from Resurrection, Chapter 39 by Leo Tolstoy.","The Prisoners' Mass, from Resurrection, Chapter 39 by Leo Tolstoy. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.013f,"The Customers, from Resurrection, Chapter 44 by Leo Tolstoy.","The Customers, from Resurrection, Chapter 44 by Leo Tolstoy. From: Fritz Eichenberg, artist of the book : 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.013g,"Menshov's Cell, from Resurrection, Chapter 53 by Leo Tolstoy.","Menshov's Cell, from Resurrection, Chapter 53 by Leo Tolstoy. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.013h,"Overseer and Peasants (Vignette), from Resurrection, Book 2 by Leo Tolstoy.","Overseer and Peasants (Vignette), from Resurrection, Book 2 by Leo Tolstoy. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.013i,"The Poor Peasants, from Resurrection, Chapter 6 by Leo Tolstoy.","The Poor Peasants, from Resurrection, Chapter 6 by Leo Tolstoy. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.013j,"In the Brothel, from Resurrection, Chapter 13 by Leo Tolstoy.","In the Brothel, from Resurrection, Chapter 13 by Leo Tolstoy. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.013k,"The Generals, from Resurrection, Chapter 19 by Leo Tolstoy.","The Generals, from Resurrection, Chapter 19 by Leo Tolstoy. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.013l,"The Chains (Vignette), from Resurrection, Book 3 by Leo Tolstoy.","The Chains (Vignette), from Resurrection, Book 3 by Leo Tolstoy. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.013m,"The Sick Prisoner, from Resurrection, Chapter 20 by Leo Tolstoy.","The Sick Prisoner, from Resurrection, Chapter 20 by Leo Tolstoy. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.013n,"Three Heads (Vignette), from Resurrection, Colophon by Leo Tolstoy.","Three Heads (Vignette), from Resurrection, Colophon by Leo Tolstoy. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.014a,"The Family, from Childhood, Boyhood, Youth, Frontispiece by Leo Tolstoy.","The Family, from Childhood, Boyhood, Youth, Frontispiece by Leo Tolstoy. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.014b,"The Music Lesson, from Childhood, Boyhood, Youth, Childhood, Chapter 1 by Leo Tolstoy.","The Music Lesson, from Childhood, Boyhood, Youth, Childhood, Chapter 1 by Leo Tolstoy. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.014c,"Papa on Horseback, from Childhood, Boyhood, Youth, Childhood, Chapter 6 by Leo Tolstoy.","Papa on Horseback, from Childhood, Boyhood, Youth, Childhood, Chapter 6 by Leo Tolstoy. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.014d,"Turka Hunting (Vignette), from Childhood, Boyhood, Youth, Childhood, Chapter 7 by Leo Tolstoy.","Turka Hunting (Vignette), from Childhood, Boyhood, Youth, Childhood, Chapter 7 by Leo Tolstoy. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.014e,"Grisha Praying, from Childhood, Boyhood, Youth, Childhood, Chapter 12 by Leo Tolstoy.","Grisha Praying, from Childhood, Boyhood, Youth, Childhood, Chapter 12 by Leo Tolstoy. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.014f,"Mother and Child (Vignette), from Childhood, Boyhood, Youth, Childhood, Chapter 15 by Leo Tolstoy.","Mother and Child (Vignette), from Childhood, Boyhood, Youth, Childhood, Chapter 15 by Leo Tolstoy. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.014g,"Fun with Ilinka, from Childhood, Boyhood, Youth, Childhood, Chapter 19 by Leo Tolstoy.","Fun with Ilinka, from Childhood, Boyhood, Youth, Childhood, Chapter 19 by Leo Tolstoy. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.014h,"Mama's Death, from Childhood, Boyhood, Youth, Childhood, Chapter 27 by Leo Tolstoy.","Mama's Death, from Childhood, Boyhood, Youth, Childhood, Chapter 27 by Leo Tolstoy. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.014i,"On the Carriage, from Childhood, Boyhood, Youth, Boyhood, Chapter 1 by Leo Tolstoy.","On the Carriage, from Childhood, Boyhood, Youth, Boyhood, Chapter 1 by Leo Tolstoy. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.014j,"The Big Cannon (Vignette), from Childhood, Boyhood, Youth, Boyhood, Chapter 4 by Leo Tolstoy.","The Big Cannon (Vignette), from Childhood, Boyhood, Youth, Boyhood, Chapter 4 by Leo Tolstoy. From: Fritz Eichenberg, artist of the book : 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.014k,"The Chambermaid, from Childhood, Boyhood, Youth, Boyhood, Chapter 6 by Leo Tolstoy.","The Chambermaid, from Childhood, Boyhood, Youth, Boyhood, Chapter 6 by Leo Tolstoy. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.014l,"The Punishment, from Childhood, Boyhood, Youth, Boyhood, Chapter 14 by Leo Tolstoy.","The Punishment, from Childhood, Boyhood, Youth, Boyhood, Chapter 14 by Leo Tolstoy. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.014m,"Volodja's Homecoming (Vignette), from Childhood, Boyhood, Youth, Boyhood, Chapter 19 by Leo Tolstoy.","Volodja's Homecoming (Vignette), from Childhood, Boyhood, Youth, Boyhood, Chapter 19 by Leo Tolstoy. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.014n,"The Mirror (Vignette), from Childhood, Boyhood, Youth, Youth, Chapter 1 by Leo Tolstoy.","The Mirror (Vignette), from Childhood, Boyhood, Youth, Youth, Chapter 1 by Leo Tolstoy. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.014o,"At the Priest's, from Childhood, Boyhood, Youth, Youth, Chapter 8 by Leo Tolstoy.","At the Priest's, from Childhood, Boyhood, Youth, Youth, Chapter 8 by Leo Tolstoy. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.014p,"Insulting Strangers, from Childhood, Boyhood, Youth, Youth, Chapter 16 by Leo Tolstoy.","Insulting Strangers, from Childhood, Boyhood, Youth, Youth, Chapter 16 by Leo Tolstoy. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.014q,"Visiting the Ivins, from Childhood, Boyhood, Youth, Youth, Chapter 20 by Leo Tolstoy.","Visiting the Ivins, from Childhood, Boyhood, Youth, Youth, Chapter 20 by Leo Tolstoy. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.014r,"Dreaming in the Woods, from Childhood, Boyhood, Youth, Youth, Chapter 32 by Leo Tolstoy.","Dreaming in the Woods, from Childhood, Boyhood, Youth, Youth, Chapter 32 by Leo Tolstoy. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.014s,"The Classmates, from Childhood, Boyhood, Youth, Youth, Chapter 43 by Leo Tolstoy.","The Classmates, from Childhood, Boyhood, Youth, Youth, Chapter 43 by Leo Tolstoy. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2009.014t,"The Examination, from Childhood, Boyhood, Youth, Youth, Chapter 45 by Leo Tolstoy.","The Examination, from Childhood, Boyhood, Youth, Youth, Chapter 45 by Leo Tolstoy. From: Fritz Eichenberg, artist of the book: 248 selected wood engravings, 1938-1972, a portfolio edition of illustrations from twelve works of literature, 1979."
#2011.012a-b,Industry and Idleness: plate 1. The Fellow 'Prentices at their Looms. and Insutry and Idleness: plate 2. The Industrious 'Prentice performing the Duty of a Chairman.,Industry and Idleness: plate 1. The Fellow 'Prentices at their Looms. and Insutry and Idleness: plate 2. The Industrious 'Prentice performing the Duty of a Chairman.
#2011.012c-d,"Industry and Idleness: Plate 3. The Idle 'Prentice at Play in the Church Yard during Divine Service. and Industry and Idleness: Plate 4. The Industrious Prentice A Favourite, and entrusted by his Master.","Industry and Idleness: Plate 3. The Idle 'Prentice at Play in the Church Yard during Divine Service. and Industry and Idleness: Plate 4. The Industrious Prentice A Favourite, and entrusted by his Master."
#2011.012e-f,"Industry and Idleness: Plate 5. The Idle 'Prentice trun'd away and sent to Sea. and Industry and Idleness: Plate 6. The Industrious 'Prentice out of his Time, Married to the Master's daughter.","Industry and Idleness: Plate 5. The Idle 'Prentice trun'd away and sent to Sea. and Industry and Idleness: Plate 6. The Industrious 'Prentice out of his Time, Married to the Master's daughter."
#2011.012g-h,"Industry and Idleness: Plate 7. The Idle 'Prentice return'd from Sea, & In a Garret with a common Prostitute. and Industry and Idleness: Plate 8. The Industrious 'Prentice Grown Rich and Sheriff of London","Industry and Idleness: Plate 7. The Idle 'Prentice return'd from Sea, & In a Garret with a common Prostitute. and Industry and Idleness: Plate 8. The Industrious 'Prentice Grown Rich and Sheriff of London"
#2011.012i-j,"Industry and Idleness: plate 9. The Idle 'Prentice betray'd by his Whore, & taken in a Night Cellar with his Accomplice. and Industry and Idleness: plate 10. The Industrious 'Prentice Alderman of London, the Idle one brought before him & Impeach'd by his Accomplice","Industry and Idleness: plate 9. The Idle 'Prentice betray'd by his Whore, & taken in a Night Cellar with his Accomplice. and Industry and Idleness: plate 10. The Industrious 'Prentice Alderman of London, the Idle one brought before him & Impeach'd by his Accomplice"
#2012.002,"Prospetto del Lastricato e de'margini dell' antica via Appia, delineato cosi come si vede verso Roma poco piu' in qua' della citta' d'Albano","Prospetto del Lastricato e de'margini dell' antica via Appia, delineato cosi come si vede verso Roma poco piu' in qua' della citta' d'Albano from Antichità d'Albano e di Castel Gandolfo, plate XXV (A view of the Paving and curb of the Via Appia Antica, from ""Antiquities of Albano and of Castel Gandolfo"")"
#2015.075.32,"Responsible parents protect their children from HIV infection before, during and after birth. They seek MTCT services to know their HIV status to avoid passing the virus to their babies. Protect your child from HIV. Be a responsible and caring parent.","Responsible parents protect their children from HIV infection before, during and after birth. They seek MTCT services to know their HIV status to avoid passing the virus to their babies. Protect your child from HIV. Be a responsible and caring parent."
#2015.075.36,Do not let embarrassment prevent you from seeking prompt STI treatment. Remember that a number of STIs are related to HIV. Protect your health and that of your loved ones. Visit your nearest health facility and request for STI and HIV tests.,Do not let embarrassment prevent you from seeking prompt STI treatment. Remember that a number of STIs are related to HIV. Protect your health and that of your loved ones. Visit your nearest health facility and request for STI and HIV tests.
#2015.075.37,Trusted partners use Condoms to prevent HIV and unwanted Pregnancies. They know that everyone is at risk and they cannot take chances. Be a trusted partner. Use Condom each time you have sex.,Trusted partners use Condoms to prevent HIV and unwanted Pregnancies. They know that everyone is at risk and they cannot take chances. Be a trusted partner. Use Condom each time you have sex.
#2015.075.48,Love Life. Stop Aids. 1. Eindringen immer mit Gummi. (Penetration always with a condom) 2. Sperma und Blut nicht in den Mund. (Sperm and blood not in the mouth),Love Life. Stop Aids. 1. Eindringen immer mit Gummi. (Penetration always with a condom) 2. Sperma und Blut nicht in den Mund. (Sperm and blood not in the mouth)
#2015.075.49,Maendeleo Yawanawake Organisation (MYWO) HIV/AIDS Project A happy family takes control of AIDS This is what to expect if you let AIDS take control over your family,Maendeleo Yawanawake Organisation (MYWO) HIV/AIDS Project A happy family takes control of AIDS This is what to expect if you let AIDS take control over your family
#2016.011.21,"A Zairean soldier looks alert while on patrol in Goma, where thousands of Rwandan refugees had come to escape the civil war in Rwanda, Goma, Democratic Republic of the Congo","A Zairean soldier looks alert while on patrol in Goma, where thousands of Rwandan refugees had come to escape the civil war in Rwanda, Goma, Democratic Republic of the Congo"
#1993.041,"Inro with a design of bush clover (hagi) with agate drawstring bead (ojime) and carved wood netsuke with inlaid mother of pearl with a design of Camellia flowers, with an ivory","Inro with a design of bush clover (hagi) with agate drawstring bead (ojime) and carved wood netsuke with inlaid mother of pearl with a design of Camellia flowers, with an ivory"
#1993.043,"Leather drawstring pouch with cloth lining, oval drawstring bead with a design of a horse and pine tree on both sides, netsuke with a design of a noh mask Okina (Old man)","Leather drawstring pouch with cloth lining, oval drawstring bead with a design of a horse and pine tree on both sides, netsuke with a design of a noh mask Okina (Old man)"
#1994.018,Soba-choko (noodle sauce cup) with a design in blue underglaze of two floral motifs contained in two cartouches separated by a solid background of overlapping flower petals,Soba-choko (noodle sauce cup) with a design in blue underglaze of two floral motifs contained in two cartouches separated by a solid background of overlapping flower petals
#1994.086,Soma-yaki ware tea cup with fluted rim and a crackle green glaze and a design of waves with a design of a galloping horse on the bottom of the cup in gold glaze,Soma-yaki ware tea cup with fluted rim and a crackle green glaze and a design of waves with a design of a galloping horse on the bottom of the cup in gold glaze
#1994.112,"Kakiemon ware sauce dish with a design in blue, green and red underglaze of abstract patterns in six circles with gold enamel and an outside border in a design of flowers and tendrils.","Kakiemon ware sauce dish with a design in blue, green and red underglaze of abstract patterns in six circles with gold enamel and an outside border in a design of flowers and tendrils."
#1994.113,"Kakiemon ware sauce dish with a design in blue, green and red underglaze of abstract patterns in six circles with gold enamel and an outside border in a design of flowers and tendrils.","Kakiemon ware sauce dish with a design in blue, green and red underglaze of abstract patterns in six circles with gold enamel and an outside border in a design of flowers and tendrils."
#1994.114,"Kakiemon ware sauce dish with a design in blue, green and red underglaze of abstract patterns in six circles with gold enamel and an outside border in a design of flowers and tendrils.","Kakiemon ware sauce dish with a design in blue, green and red underglaze of abstract patterns in six circles with gold enamel and an outside border in a design of flowers and tendrils."
#1994.115,"Kakiemon ware sauce dish with a design in blue, green and red underglaze of abstract patterns in six circles with gold enamel and an outside border in a design of flowers and tendrils.","Kakiemon ware sauce dish with a design in blue, green and red underglaze of abstract patterns in six circles with gold enamel and an outside border in a design of flowers and tendrils."
#1994.119,"Bowl with a design of two peaches and leaves in pink and green enamel glazes on the inside; on the outside designs of chrysanthemum, lotus, peony, and plum blossoms in pink","Bowl with a design of two peaches and leaves in pink and green enamel glazes on the inside; on the outside designs of chrysanthemum, lotus, peony, and plum blossoms in pink"
#1994.129,"Kutani ware brush holder with a design of two Taoist Chinese immortals in red, gold, and black enamel glazes with three feet in the shape of three children","Kutani ware brush holder with a design of two Taoist Chinese immortals in red, gold, and black enamel glazes with three feet in the shape of three children"
#1994.155,Snuff bottle with a carved glass design in blue with an interior painting of a landscape on one side and flowers and butterflies on the other side with a green stopper,Snuff bottle with a carved glass design in blue with an interior painting of a landscape on one side and flowers and butterflies on the other side with a green stopper
