RecordNumber,DateUpdated,DateCreated,LocationCountry,MaterialMedium,Description,RelScriptureChapter,CopyrightStatement,BibliographyLink,StaffNotes,DateCreation,RelScriptureBook,LectionaryLink,CopyrightStatus,RelICANumber,RelScripture,SubjectBuildingName,ImageLink,Unit,Title,SubjectLC,RelScriptureVerse,Subject,ImageAvailable,ObjectFunction,CreatorArtist,SubjectName,LocationCreationSite,LocationState,IconClassNumber,OriginalLocation,BCAD,SortDate,LectionaryRank,CopyrightPermission
56025,2020-12-03 18:50:02.0,2015-05-01 13:04:58.0,United States,,Wax crayon and graphite on paper mounted on canvas.,||||,http://commons.wikimedia.org/wiki/File:Brooklyn_Museum_-_Christ_in_Glory_(Salvator_Mundi)_-_Sir_Edward_Coley_Burne-Jones_-_overall.jpg,,,ca. 1874,||||,CAdvt01,,,Luke 21:25-36,Brooklyn Museum,Christ_in_Glory29478676,,Christ in Glory,,||||,Glory,on,Drawing,"Burne-Jones, Edward Coley, 1833-1898",Son of Man (Biblical figure) ,New York,NY,,,2,,9,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
56027,2021-09-07 19:01:49.0,2015-05-01 13:17:13.0,France,,"The text is ""It will be at the hour you don't think than the Son of Man (=Jesus) will come back"". [Wikimedia]  Photographer is Tangopaso.",||||,http://commons.wikimedia.org/wiki/File:Eglise_de_Samoens_(Sundial).jpg,,,,||||,BAdvt01|ANYDy|CAdvt01|AAdvt01,,,Mark 13:24-37|Matthew 25:31-46|Luke 21:25-36, L'église de l'Assomption à Samoëns (rectory),Eglise_de_Samoens293874675,,Sundial of the rectory of the Assumption church of Samoëns,,||||,Last Judgment|Time,on,,Unidentified,Son of Man (Biblical figure) ,Samoëns,,,,2,,1,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
56029,2020-12-18 19:47:03.0,2015-09-23 11:09:22.0,Belgium,Metal,"""The font is a major masterpiece of Mosan art, remarkable for the classicism of its style, whose origin has been the subject of great debate among art historians. The Meuse River valley in modern Belgium and France, roughly coterminous with the Diocese of Liège, was the leading 12th-century centre of Romanesque metalwork, which was still the most prestigious medium in art."" [from Wikipedia] -- Photographer: Jean-Pol Grandmont",||||,https://commons.wikimedia.org/wiki/File:Renier_de_Huy_JPG04.jpg,,,1107-1118,||||,CAdvt02,,,Luke 3:1-6,St Bartholomew's Church,Renier_de_Huy_JPG04,,John preaching from the baptismal font of Renier de Huy,,||||,Font|Preaching,on,Baptismal font,,"John, the Baptist (Biblical figure) ",Liège,,,,2,1107,2,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
56030,2021-09-09 05:41:31.0,2015-09-23 11:22:41.0,,,,||||,https://commons.wikimedia.org/wiki/File:Saint_John_the_Baptist_Preaching_to_the_Masses_in_the_Wilderness_oil_on_oak_panel_by_Pieter_Brueghel_the_Younger.jpg,,,1601,||||,CAdvt02|AAdvt02|BEpip01,,,Luke 3:1-6|Matthew 3:1-12|Mark 1:4-11,Private Collection,Brueghel-Younger-John382-0572,,Saint John the Baptist Preaching to the Masses in the Wilderness,,||||,Preaching|Wilderness,on,Painting,"Bruegel, Pieter, 1564-1638","John, the Baptist (Biblical figure) ",,,,,2,1601,1,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
56034,2020-11-25 09:03:24.0,2015-09-28 13:27:34.0,United States,,"""In the absence of computers and calculators, a highly elaborate system of finger-counting and gestural sign-language developed in the Middle Ages for representing numbers and facilitating conceptual reasoning. These are often represented graphically in medieval manuscripts and provide an insight into teaching and learning practices in this period... <br><br>[A] prominent use of hand diagrams in the Middle Ages is for the study of music. In the early tenth century, a monk called Guido of Arezzo derived the solfège method to aid monks to learn how to sight-sing with ease, assigning each note of a six-note scale a syllable (in Guido’s case, ut, re, mi, fa, sol, and la). The ‘Guidonian hand’ elaborated this system by assigning a note to each part of the hand. This allowed singers to understand how notes related to each other... <br><br> The versatility of the hand, with its nineteen ‘common locations’ meant that it could be used to represent a number of different things – dates, music, and even...to facilitate prayer, with each location on the hand given a different contemplative value for ‘meditatio nocturna per manum’.""<br><br> -- from the project blog of “Turning Over a New Leaf: Manuscript Innovation in the Twelfth Century” based at the Institute for Cultural Disciplines, Universiteit Leiden.",||||,"https://commons.wikimedia.org/wiki/File:Simon_Marmion_(Flemish,_active_1450_-_1489)_-_The_Martyrs_and_the_Pure_Sing_Praises_to_God_-_Google_Art_Project.jpg",,,1475,||||,CAdvt03,,,Isaiah 12:2-6,J. Paul Getty Museum,sing-praises20909167,,Martyrs and the Pure Sing Praises to God,,||||,Singing|Hands|Martyrs|Music,on,Books and manuscripts,"Marmion, Simon, 1420-1489",,Malibu,CA,,,2,1475,2,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
56035,2020-09-27 10:19:51.0,2015-10-02 10:42:01.0,France,,,||||,https://commons.wikimedia.org/wiki/File:Alexandre_Antigna_-_The_Lightning_-_WGA00733.jpg,,,1848,||||,CAdvt01,,,Luke 21:25-36,Musée des Augustins de Toulouse,Alexandre_Antigna_-_The_Lightning_-_WGA00733,,Lightening,,||||,Lightning,on,Painting,"Antigna, Jean Pierre Alexandre, 1817-1878",,Toulouse,,,,2,1848,2,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
56036,2021-01-25 08:14:35.0,2015-10-02 10:45:55.0,United Kingdom,,,||||,https://commons.wikimedia.org/wiki/File:Allen_Choir_boys_singing.jpg,,,ca. 1943,||||,CAdvt03,,,Zephaniah 3:14-20,Hampshire County Council Arts and Museums Service,Allen_Choirl874n69f,,Choir Boys Singing,,||||,Singing|Children|Choir,on,Painting,"Allen, William Herbert, 1863-1943",,Winchester,,,,2,1940,2,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
56037,2021-01-22 08:07:59.0,2015-10-02 11:49:47.0,France,Ivory,,||||,https://commons.wikimedia.org/wiki/File:Angel_ivory_Louvre_OA5839213922.jpg,,,ca. 1275-1300,||||,CAdvt01,,,"Thessalonians I, 3:9-13",Louvre ,Angel_ivory_Louvre_OA5839213922,,Angel,,||||,Prayer|Thanksgiving|Angels,on,Carving,Unknown,,Paris,,,,2,1275,6,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
56038,2020-09-27 10:19:18.0,2015-10-02 12:00:53.0,Portugal,,Photograph by H. Zell,||||,https://commons.wikimedia.org/wiki/File:ArT_of_opEN_doors_project_Funchal_01.jpg,,,2012,||||,CAdvt03,,,Luke 3:7-18,,ArT_of_opEN_o27538o5,,One door in the ArT of opEN doors project,,||||,Door,on,,Unidentified,,Funchal,,,,2,2012,2,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
56041,2021-01-25 07:49:57.0,2015-10-04 09:32:59.0,,,"The Golden Legend, a collection of the lives of saints written by Jacobus de Voragine, was popular during the later Middle Ages.",||||,https://commons.wikimedia.org/wiki/File:Chorus_from_Legenda_Aurea.jpg,,,ca. 1300,||||,CAdvt03,,,Zephaniah 3:14-20,,Chorus_kw47f65h038d,, Chorus illustration from Legenda aurea ,,||||,Singing,on,Books and manuscripts,,,,,,,2,1300,2,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
56044,2020-11-27 04:11:59.0,2015-10-04 09:52:26.0,,,,||||,https://commons.wikimedia.org/wiki/File:Eduard_von_Gr%C3%BCtzner_Lekt%C3%BCre.jpg,,,1889,||||,CAdvt01,,,"Thessalonians I, 3:9-13",,Eduard_von_Grützner_Lektüre,,Reading,,||||,Joy|Reading,on,Painting,"Grützner, Eduard von, 1846-1925",,,,,,2,1889,6,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
56045,2021-01-08 08:29:23.0,2015-10-04 09:57:56.0,Austria,,Gaudia. Illustration to a text about joy. Page from the Tacuinum the Austrian National Library (Codex Vindobonensis Series nova 2644) fol. 104v.,||||,https://commons.wikimedia.org/wiki/File:Gaudia_(Cod._Vind._ser._nov._2644).jpg,,,ca. 1390,||||,CAdvt03,,,Isaiah 12:2-6,Österreichische Nationalbibliothek,gaudia7716354,,Joy,,||||,Joy,on,Books and manuscripts,,,Vienna,,,,2,1390,2,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
56048,2020-09-27 10:18:12.0,2015-10-04 13:59:10.0,Italy,,"""The Tacuinum (sometimes Taccuinum) Sanitatis[1] is a medieval handbook mainly on health, based on the Taqwim al‑sihha تقويم الصحة (""Maintenance of Health""), an eleventh-century Arab medical treatise by Ibn Butlan of Baghdad.[2] Aimed at a cultured lay audience, the text exists in several variant Latin versions, the manuscripts of which are characteristically so profusely illustrated that one student called the Taccuinum ""a trecento picture book,"" only ""nominally a medical text"".[3]...The Taccuinum was very popular in Western Europe in the Late Middle Ages; an indication of that popularity is the use of the word taccuino in modern Italian to mean any kind of pocket handbook, guide, notebook.""  [from Wikipedia]",||||,"https://commons.wikimedia.org/wiki/File:55-aspetti_di_vita_quotidiana,_gioia,Taccuino_Sanitatis,_Cas.jpg",,,14th century,||||,CAdvt03,,,Isaiah 12:2-6,Biblioteca Casanatense,gioia-hands998024,,"Joy, from Aspects of Daily Life",,||||,Joy,on,Books and manuscripts,,,Rome,,,,2,1300,2,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
56049,2021-07-12 15:15:15.0,2015-10-04 14:06:47.0,Italy,,"A monk representing Franciscans ""marries"" Poverty, dressed in colorless rags, briars at her feet.",||||,https://commons.wikimedia.org/wiki/File:Giotto_di_Bondone_-_Franciscan_Allegories_-_Allegory_of_Poverty_(detail)_-_WGA09094.jpg,,,ca. 1330,||||,CAdvt03,,,Luke 3:7-18,"San Francesco (Church : Assisi, Italy)",giotte1120468,,Allegory of Poverty -- Franciscan Allegories,,||||,Poverty|Marriage,on,Fresco,"Bondone, Giotto di, 1266?-1337","Francis, of Assisi, 1182-1226 ",Assisi,,,,2,1330,2,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
56050,2021-01-06 15:52:03.0,2015-10-04 14:14:22.0,United States,,"""...every tree therefore that does not bear good fruit is cut down and thrown into the fire."" -- Luke 3:9",||||,https://commons.wikimedia.org/wiki/File:Childe_Hassam_-_Woodchopper_-_Google_Art_Project.jpg,,,1902,||||,CAdvt03,,,Luke 3:7-18,"Museum of Fine Arts, Houston",hassam-wood062874511,,Woodchopper,,||||,Tree,on,Drawing,"Hassam, Childe, 1859-1935",,Houston,TX,,,2,1902,2,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
56051,2021-01-22 09:24:54.0,2015-10-05 13:28:01.0,Russia,,,||||,https://commons.wikimedia.org/wiki/File:Ivan_Yermenyov._Singing_beggars.jpg,,,ca. 1760-1775,||||,CAdvt03,,,Zephaniah 3:14-20,Russian Museum,Ivan_Yermenyov19472526l,,Singing Beggars,,||||,Singing|Poverty,on,Watercolor,"Ermenev, Ivan Alekseevich, 1746-",,St. Petersburg,,,,2,1760,3,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
56053,2020-09-27 10:17:27.0,2015-10-05 13:42:19.0,,,,||||,"https://commons.wikimedia.org/wiki/File:L%27Orage_(The_Storm),_by_William-Adolphe_Bouguereau.jpg",,,1874,||||,CAdvt01,,,Luke 21:25-36,Private collection,LOrage_2738465,,Storm,,||||,Storm,on,Painting,"Bouguereau, William Adolphe, 1825-1905",,,,,,2,1874,2,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
56054,2021-01-25 07:51:06.0,2015-10-05 13:51:55.0,United Kingdom,,From manuscript  Royal 16 G VI f. 422.,||||,https://commons.wikimedia.org/wiki/File:Louis9%2BPoor.jpg,,,ca. 1332-1350,||||,CAdvt03,,,Luke 3:7-18,British Library,Louis9Poor71528,," Louis IX of France washing a poor man's feet, and feeding the poor",,||||,Footwashing|Generosity|Poverty|Sharing|Poor,on,Books and manuscripts,,,London,,,,2,1340,2,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
56055,2020-12-03 19:32:47.0,2015-10-06 11:35:54.0,,,Image by Nevit Dilmen.,||||,https://commons.wikimedia.org/wiki/File:Music_01754.jpg,,,ca. 2005,||||,CAdvt03,,,Zephaniah 3:14-20,,Music_01754sk58,,Neon Music Sign,,||||,Music,on,Mixed media,Unidentified,,,,,,2,2005,3,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
56056,2020-12-14 16:22:23.0,2015-10-06 11:41:03.0,United States,,,||||,https://commons.wikimedia.org/wiki/File:The_New_Song_-_Google_Art_Project.jpg,,,ca. 1255-1260,||||,CAdvt03,,,Isaiah 12:2-6,J. Paul Getty Museum,new-song15465764,,New Song,,||||,Music|Singing,on,Books and manuscripts,Unknown,Isaiah (Biblical figure) ,Malibu,CA,,,2,1255,2,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
56058,2020-09-27 10:16:42.0,2015-10-06 11:53:05.0,Russia,, ,||||,"https://commons.wikimedia.org/wiki/File:Poverty_by_B.Grigoriev_(1925,_Heritage_gallery).jpg - shakko",,,1925,||||,CAdvt03,,,Luke 3:7-18,Heritage International Art Gallery,Poverty-grig8264211,,Poverty,,||||,Poverty,on,Painting,"Grigorʹev, Boris, 1886-1939",,Moscow,,,,2,1925,3,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
56060,2020-11-25 16:52:42.0,2015-10-06 12:13:02.0,United Kingdom,,"""Soup Kitchen for the Jewish Poor, Brune Street, London Inscription above the doorway of the Soup Kitchen for The Jewish Poor. Set up to feed the poor Jewish immigrants who had fled from Tsarist Russian persecution and pogroms following the anti-Semitic May Laws in the 1880s. Over the main door is a sculpture showing a large soup tureen, and below this is the Jewish year date and the Gregorian year of the opening of the building. If one only reads the inscriptions to the left of the date, they read: ""Way Out Soup Kitchen.""...The building has been subdivided to make flats."" [from Wikimedia source]",||||,"https://commons.wikimedia.org/wiki/File:Soup_Kitchen_for_the_Jewish_Poor,_Brune_Street,_London_-_geograph.org.uk_-_984504.jpg",,,1902,||||,CAdvt03,,,Luke 3:7-18,,soup-jewish301988467,,Soup Kitchen for the Jewish Poor,,||||,Poverty|Food|Hunger|Poor,on,Architecture,,,London,,,,2,1902,2,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
56062,2021-07-30 07:06:15.0,2015-10-06 13:11:34.0,Russia,,"The father of John the Baptist, Zechariah, is usually depicted in the birth scene writing the name ""John"", as he had been made silent during Elizabeth's pregnancy.  In this painting, however, he is speaking his prophecy, recorded in Luke 1:68-79.",||||,https://commons.wikimedia.org/wiki/File:Jacopo_Tintoretto_-_The_Birth_of_John_the_Baptist_(detail)_-_WGA22442.jpg,,,ca. 1554,||||,,,,,Gosudarstvennyĭ Ėrmitazh (Russia),tintoretto-johnbap210298648,,Birth of John the Baptist (detail),,||||,Birth|Birth of John the Baptist,on,Painting,"Tintoretto, Jacopo, 1518-1594","Elizabeth (Biblical figure) |Zechariah, (Biblical figure, New Testament) |John, the Baptist (Biblical figure) ",St. Petersburg,,,,2,1554,2,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
56063,2020-09-27 10:16:02.0,2015-10-06 13:18:38.0,United States,,,||||,"https://commons.wikimedia.org/wiki/File:Two_Angels_Singing_by_Benjamin_West,_PRA.jpg",,,1783,||||,CAdvt03,,,Zephaniah 3:14-20,Berger Collection,Two_Angels_Sing2045u37,,Two Angels Singing,,||||,Angels|Music|Singing,on,Drawing,"West, Benjamin, 1738-1820",,Denver,CO,,,2,1783,2,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
56064,2021-09-10 05:53:58.0,2015-12-13 14:09:03.0,United States,,,||||,"https://commons.m.wikimedia.org/wiki/File:Mesrop_of_Khizan_(Armenian,_active_1605_-_1651)_-_The_Baptism_of_Christ_-_Google_Art_Project.jpg",,,1615,||||,CEpip01|AEpip01|BEpip01,,,"Luke 3:15-17, 21-22|Matthew 3:13-17|Mark 1:4-11",J. Paul Getty Museum,Mesrop_of_Khizanbd83k683,,Baptism of Christ,,||||,Baptism of Christ,on,Books and manuscripts,"Mesrop of Khizan, active 1605-1651",,Los Angeles,CA,,,2,1615,3,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
56065,2021-07-30 06:31:11.0,2015-12-13 14:28:45.0,United States,,Black ink and watercolors on paper,||||,https://commons.m.wikimedia.org/wiki/File:The_Baptism_of_Christ_-_Google_Art_Project.jpg,,,1386,||||,CEpip01|AEpip01|BEpip01,,,"Luke 3:15-17, 21-22|Matthew 3:13-17|Mark 1:4-11",J. Paul Getty Museum,bapt3kk69872h,,Baptism of Christ,,||||,Baptism of Christ|Hand of God,on,Books and manuscripts,Unknown illuminator,,Los Angeles,CA,,,2,1386,1,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
56069,2021-01-25 08:33:49.0,2015-12-18 14:41:08.0,Greece,,,||||,"https://commons.wikimedia.org/wiki/File:Hosios_Loukas_Katholikon_(nave,_South-West_squinch)_-_Baptism_-_detail_02.jpg",,,11th century,||||,CEpip01,,,"Luke 3:15-17, 21-22",Hosios Loukas Monastery,Hosios_Loukass9830,,Angels Attending the Baptism of Christ,,||||,Baptism of Christ|Angels,on,Mosaic,Unknown,,Hosios Loukas,,,,2,1000,2,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
56070,2021-09-10 05:57:53.0,2015-12-18 14:47:17.0,Greece,,,||||,"https://commons.wikimedia.org/wiki/File:Hosios_Loukas_Katholikon_(nave,_South-West_squinch)_-_Baptism_01.jpg",,,11th century,||||,AEpip01|BEpip01|CEpip01,,,"Matthew 3:13-17|Mark 1:4-11|Luke 3:15-17, 21-22",Hosios Loukas Monastery,Hosios_Loukas844hg27,,Baptism of Christ,,||||,Baptism of Christ,on,Mosaic,Unknown,"John, the Baptist (Biblical figure) |Jesus Christ (Biblical figure) ",Hosios Loukas,,,,2,1000,3,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
56071,2021-09-10 05:58:04.0,2015-12-18 14:54:52.0,Italy,,,||||,https://commons.wikimedia.org/wiki/File:Momo_Chiesa_SS_Trinit%C3%A0_Battesimo.jpg,,,ca. 15th-16th centuries,||||,CEpip01|AEpip01|BEpip01,,,"Luke 3:15-17, 21-22|Matthew 3:13-17|Mark 1:4-11",Church of the Holy Trinity,Momo_Chiesa-2kh9snn,,Baptism of Christ,,||||,Baptism of Christ,on,Fresco,"Cagnola, Giovanni and Francesco",,Momo,,,,2,1480,3,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
56073,2021-09-10 05:58:15.0,2015-12-19 15:37:43.0,Germany,Ivory,,||||,https://commons.wikimedia.org/wiki/File:Relieftafel_Szenen_aus_dem_Leben_Christi.jpg,,,5th century,||||,CEpip01|AEpip01|BEpip01,,,"Luke 3:15-17, 21-22|Matthew 3:13-17|Mark 1:4-11",Bode-Museum,Relieftafel_8838ghv,,Baptism of Christ,,||||,Baptism of Christ,on,Carving,,,Berlin,,,,2,400,3,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
56074,2021-01-22 08:39:53.0,2015-12-19 15:46:31.0,United States,,Dates are approximate,||||,https://commons.wikimedia.org/wiki/File:Master_Of_The_Catholic_Kings_-_The_Marriage_at_Cana_(detail)_-_WGA14520.jpg,,,ca. 1495-1497,||||,CEpip02,,,John 2:1-11,National Gallery of Art (U.S.),Master_kings0kb238,,Marriage at Cana (detail),,||||,Marriage at Cana,on,"Painting, panel",Master of the Catholic Kings,,Washington,DC,,,2,1495,1,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
56075,2020-12-02 12:15:44.0,2015-12-20 14:54:19.0,Netherlands,,,||||,https://commons.wikimedia.org/wiki/File:Jan_Cornelisz._Vermeyen_006.jpg,,,ca. 1530-1532,||||,CEpip02,,,John 2:1-11,Bonnefanten Museum,Jan_Cornelisz-309b65,,Calling of John During the Marriage at Cana,,||||,Marriage at Cana,on,"Painting, panel","Vermeyen, Jan Cornelisz, 1500-1559",,Maastricht,,,,2,1530,2,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
56076,2021-09-18 16:51:24.0,2015-12-20 15:02:37.0,Senegal,,,||||,https://commons.wikimedia.org/wiki/File:KeurMoussaAutel.jpg,,,1963,||||,CEpip02|CEpip01|BDiv|BAdvt04|AXmas01|AVis|ANatv,,,"John 2:1-11|Luke 3:15-17, 21-22|Luke 1:26-38|Matthew 2:13-23|Luke 1:39-57",Abbaye de Keur Moussa,KeurMoussaAutel78c6l,,Altar of Keur Moussa Abbey,,||||,Marriage at Cana|Visitation|Flight into Egypt|Presentation of Jesus at the Temple|Annunciation to Mary|Teaching|Abbey|Culture: African|Culture: Black,on,Mural,"Saget, Father George",,Keur Moussa,,,,2,1963,1,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
56080,2020-09-27 10:13:14.0,2015-12-23 13:36:25.0,France,,,||||,https://commons.wikimedia.org/wiki/File:Jan_Cossiers_-_St_Nicolas_rescuing_captives_or_St_Nicolas_halting_the_arms_of_an_executioner_about_to_behead_a_captive.jpg,,,1660,||||,CEpip03,,,Luke 4:14-21,Palais des Beaux-Arts de Lille,cossiers-captive7jdsn692,,St Nicolas rescuing captives,,||||,Prisoners,on,Painting,"Cossiers, Jan, 1600-1671",,Lille,,,,2,1660,2,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
56081,2020-12-02 19:40:20.0,2015-12-23 13:56:45.0,United Kingdom,,,||||,https://commons.wikimedia.org/wiki/File:Captive_-_Vancouver.jpg,,,ca. 1775,||||,CEpip03,,,Luke 4:14-21,Derby Museum and Art Gallery,derby-captive6u3b88,,Captive from Sterne,,||||,Prisoners,on,Painting,"Wright, Joseph, 1734-1797",,Derby,,,,2,1775,4,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
56082,2021-01-14 14:08:24.0,2015-12-24 14:24:44.0,Bulgaria,,,||||,https://commons.wikimedia.org/wiki/File:RillaMonasteryExternalMuralsLunetteMartyrsFaithHopeLoveSofia.jpg,,,20th century,||||,CEpip04,,,"Corinthians I, 13:1-13",Rila Monastery,RillaMon-48bsx7,,"Faith, Hope, Love and Sophia",,||||,Love|Faith|Hope|Sophia,on,Mural,Unidentified,,Rila,,,,2,1900,1,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
56083,2021-08-16 08:46:48.0,2015-12-24 14:32:58.0,France,,"""According to Jewish law, Jesus is presented in the temple by his parents. Marie receives Simeon dressed old man, and the high priest wearing the miter, the child Jesus, naked and loosely covered with a diaper standing on the pink credenza which occupies the center of the composition. During this ceremony the holy announces the Messiah foretold by the prophets, singing the hymn: ""Nunc dimittis, Domine ..."" (Luke 2: 29-32). Besides Joseph, the prophetess Anna, and two servants, a subsequent holding in one hand a lighted candle and in the other a small wicker basket with doves as a sign of offering."" The miniature manuscript painting is from the Livre d'heures de la Famille Des Fours.  [from Wikimedia]",||||,https://commons.wikimedia.org/wiki/File:La_Purification_ou_la_Pr%C3%A9sentation_au_Temple.jpg,,,,||||,BXmas01,,,Luke 2:22-40,Bibliothèque-médiathèque de Nancy,La_Purification-23nx78,,Purification and the Presentation in the Temple,,||||,Presentation of Jesus at the Temple|Purification,on,,,,Nancy,,,,2,,1,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
56089,2021-01-26 13:36:24.0,2015-12-26 14:34:30.0,Germany,,Jan Hus was executed in Konstanz in 1415.,||||,https://commons.wikimedia.org/wiki/File:Konstanz_2012-09-08_Batch_(155).JPG,,,19th-20th centuries,||||,CEpip03,,,Luke 4:14-21,Archaeological Museum of Baden-Württemberg,Hus-prison-2nr9a34,,Hus in Prison,,||||,Prison,on,Mural,"Haeberlin, Carl von, 1832-1911","Hus, Jan, ca.1372-1415 ",Konstanz,,,,2,1870,1,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
56090,2021-01-26 13:36:32.0,2015-12-26 15:00:13.0,Czech Republic,,Mathauser was a Czech painter of religious and historical subjects.,||||,"https://commons.wikimedia.org/wiki/File:Mathauser,_Josef_-_Hus_ve_vlhk%C3%A9m_a_tmav%C3%A9m_v%C4%9Bzen%C3%AD.jpg",,,19th-20th centuries,||||,CEpip03,,,Luke 4:14-21,,Mathauser-s587672b,,Hus in the Damp and Dark Prison,,||||,Prison,on,Painting,"Mathauser, Josef (1846-1917)","Hus, Jan, ca.1372-1415 ",,,,,2,1880,4,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
56093,2020-09-27 10:11:04.0,2015-12-26 15:53:22.0,Sweden,,,||||,https://commons.wikimedia.org/wiki/File:Carl_d%C2%B4Unker-Gipsy_Family_in_Prison.jpg,,,1864,||||,CEpip03,,,Luke 4:14-21,National Museum of Fine Arts,Carl_dUnker-Gipsy_2fo95,,Gipsy Family in Prison,,||||,Prison,on,Painting,"d'Unker, Carl (1828-1866)",,Stockholm,,,,2,1864,1,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
56094,2021-04-08 09:26:55.0,2015-12-26 16:17:50.0,Germany,,From the Museum for Monastic Culture-- a devotion image from Upper Swabia.,||||,https://commons.wikimedia.org/wiki/File:Andachtsbild_Gefesselter_Christus_c1720_MfK_Wgt.jpg,,,ca. 1720,||||,CEpip03,,,Luke 4:14-21,Museum fur Klosterkultur,Christ-in-prison-294hjd698dg,,Jailed Christ,,||||,Lamb|Prison,on,Painting,,Jesus Christ (Biblical figure) ,Weingarten,,,,2,1720,1,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
56095,2020-11-30 18:18:41.0,2015-12-28 12:11:57.0,Spain,,,||||,https://commons.wikimedia.org/wiki/File:Isidre_Nonell_-_Poor_Woman_Praying_-_Google_Art_Project.jpg,,,1898,||||,CAshW,,,"Matthew 6:1-6, 16-21",Museu Nacional d'Art de Catalunya,Isidre-Nonell- 78cnw,,Poor Woman Praying,,||||,Prayer|Poor|Woman,on,Drawing,"Nonell, Isidre, 1873-1911",,Barcelona,,,,2,1898,1,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
56096,2021-01-25 08:37:23.0,2015-12-28 12:26:32.0,United States,,,||||,"https://commons.wikimedia.org/wiki/File:Willem_Vrelant_(Flemish,_died_1481,_active_1454_-_1481)_-_A_Man_Praying_to_the_Holy_Spirit_-_Google_Art_Project.jpg",,,ca. 1460-1469,||||,CAshW|AEpip05,,,"Matthew 6:1-6, 16-21",J. Paul Getty Museum,pray-vrelant-2n3h7k4b89,,Man Praying to the Holy Spirit,,||||,Prayer|Holy Spirit,on,Books and manuscripts,"Vrelant, Guillaume, -1481",,Los Angeles,CA,,,2,1460,1,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
56097,2020-09-27 10:10:14.0,2015-12-28 12:45:05.0,Austria,,Photograph by Rama.,||||,https://commons.wikimedia.org/wiki/File:Pieter_Bruegel_II-Combat_de_Carnaval_et_Careme_IMG_1462.JPG,,,1559,||||,CAshW,,,"Matthew 6:1-6, 16-21",Kunsthistorisches Museum,carnival-v-lent-28udj,,Battle of Carnival and Lent (detail),,||||,Lent,on,"Painting, panel","Bruegel, Pieter, approximately 1525-1569",,Vienna,,,,2,1559,1,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
56098,2020-09-27 10:10:02.0,2015-12-29 11:51:33.0,Iceland,Fabric,,||||,https://commons.wikimedia.org/wiki/File:Oskudagspokar.jpg,,,2011,||||,CAshW,,,"Matthew 6:1-6, 16-21",,Oskudagspokar-2jf7,,"Ash Wednesday bags, for ashes",,||||,Ashes,on,Liturgical object,Soley and Friends Organization,,Reykjavik,,,,2,2011,1,Please visit the URL in the Copyright Source field on this page for details about reusing this image.
