qid,type,label,object_description,form_description,design_description,includes
Q106582791,work of art,One of a Pair of Carved Oval Wooden Picture Frames,One of a Pair of Carved Oval Wooden Picture Frames,,,
Q104032206,ceramics,One of a pair of porcelain lidded sang de boeuf glazed vases,One of a pair of porcelain lidded sang de boeuf glazed vases,,,
Q104032207,ceramics,One of a pair of porcelain lidded sang de boeuf glazed vases,One of a pair of porcelain lidded sang de boeuf glazed vases,,,
Q104032208,ceramics,One of two sauce cups with a design of rabbits and waves and a lozenge border on inner rim,One of two sauce cups,,of rabbits and waves and a lozenge border on inner rim,
Q104032209,ceramics,One of two sauce cups with a design of rabbits and waves and a lozenge border on inner rim,One of two sauce cups,,of rabbits and waves and a lozenge border on inner rim,
Q106582792,work of art,One of two urns,One of two urns,,,
Q102969318,ceramics,Open bowl with red and orange slip,Open bowl,,,red and orange slip
Q104032210,work of art,Opium weights,Opium weights,,,
Q104032212,work of art,Opium weights,Opium weights,,,
Q104032214,work of art,Opium weights,Opium weights,,,
Q104032215,work of art,Opium weights,Opium weights,,,
Q104032216,work of art,Opium weights,Opium weights,,,
Q102969358,ceramics,Oribe ware beaker with design of leaves,Oribe ware beaker,,of leaves,
Q102969364,ceramics,Oribe ware bowl with a impressed design of flying birds,Oribe ware bowl,,,a impressed design of flying birds
Q102969370,ceramics,Oribe ware bowl with green and blue glazes with an incised leaf design,Oribe ware bowl,,,green and blue glazes with an incised leaf design
Q102969376,ceramics,Oribe ware flower vase with a design of green and brown abstract pattern,Oribe ware flower vase,,of green and brown abstract pattern,
Q102969381,ceramics,Oribe ware oil-drip horse-eye plate with a design of a flying bird,Oribe ware oil-drip horse-eye plate,,of a flying bird,
Q102969387,ceramics,Oribe ware oil-drip plate with a design of chrysanthemums,Oribe ware oil-drip plate,,of chrysanthemums,
Q102969393,ceramics,Oribe ware plate with a design in brown slip of a bridge,Oribe ware plate,,in brown slip of a bridge,
Q102969398,ceramics,Oribe ware tea cup with a design of three chrysanthemum flowers,Oribe ware tea cup,,of three chrysanthemum flowers,
Q102969418,work of art,"Ornament with a carved design of a dragon, tiger and hero with attached corn and bead",Ornament,,,"a carved design of a dragon, tiger and hero with attached corn and bead"
Q102969408,work of art,Ornament in a design of a vase with plants and sacred fungus,Ornament in a design of a vase,,,plants and sacred fungus
Q102969457,work of art,Oval mirror with an urn on top,Oval mirror,,,an urn on top
Q102969462,sculpture,Overdoor Panel,Overdoor Panel,,,
Q102969473,work of art,Painted bowl,Painted bowl,,,
Q102969478,ceramics,Painted bowl (very light decoration with traces of mud),Painted bowl (very light decoration,,,traces of mud)
Q102969484,ceramics,Painted lidded jar (sawankhalok ware),Painted lidded jar (sawankhalok ware),,,
Q103306231,ceramics,Painted vase,Painted vase,,,
Q102969488,sculpture,Pair of bi discs with a grain pattern design,Pair of bi discs,,,a grain pattern design
Q102969500,work of art,Pair of dolls,Pair of dolls,,,
Q102969510,ceramics,"Pair of dwarfs, one with green glaze, the other with three-color glaze in green, brown, and white","Pair of dwarfs, one",,,"green glaze, the other with three-color glaze in green, brown, and white"
Q106568659,earring,Pair of earrings,Pair of earrings,,,
Q103306236,sculpture,Pair of female golden pheasants,Pair of female golden pheasants,,,
Q103306250,ceramics,Pair of jars for tea or ginger with a design of swallows and acanthus and other blooms (Kutani ware),Pair of jars for tea or ginger,,of swallows and acanthus and other blooms (Kutani ware),
Q105095763,work of art,"Pair of lacquer ear (erbei) cups with painted designs in reds, cinnabar, and light yellow of large birds",Pair of lacquer ear (erbei) cups,,,"painted designs in reds, cinnabar, and light yellow of large birds"
Q102969516,work of art,Pair of lidded lacquer bowls with chopsticks to be presented to a married couple,Pair of lidded lacquer bowls,,,chopsticks to be presented to a married couple
Q103306260,sculpture,Pair of male golden pheasants,Pair of male golden pheasants,,,
Q106568663,work of art,Pair of opium weights in the form of lions,Pair of opium weights,lions,,
Q102969526,work of art,Pair of painted wooden dolls,Pair of painted wooden dolls,,,
Q106568666,doll,Pair of painted wooden dolls,Pair of painted wooden dolls,,,
Q103306268,sculpture,Pair of Signature Seals with Five Columns of Inscription,Pair of Signature Seals,,,Five Columns of Inscription
Q103306274,sculpture,"Pair of Signature Seals, Each With a Lion Dog With a Sphere Beneath One Paw","Pair of Signature Seals, Each",,,a Lion Dog with a Sphere Beneath One Paw
Q102969533,sculpture,"Pair of Signature Seals, Square with Arched Handles","Pair of Signature Seals, Square",,,Arched Handles
Q103306279,ceramics,"Pair of tiles with a design of peonies, plum blossoms, and asters (Kinkozan ware)",Pair of tiles,,"of peonies, plum blossoms, and asters (Kinkozan ware)",
Q102969541,work of art,Paired carp,Paired carp,,,
Q103306285,textile,Paisley textile in reds and browns,Paisley textile in reds and browns,,,
Q106582793,ceramics,"Pale blue-green, grey and white bowl","Pale blue-green, grey and white bowl",,,
Q102969567,work of art,Pale brown bottle,Pale brown bottle,,,
Q106582794,work of art,Pale brown bottle,Pale brown bottle,,,
Q106582795,work of art,Pale green and white glass bottle,Pale green and white glass bottle,,,
Q103306299,work of art,Pale green bottle,Pale green bottle,,,
Q106582796,work of art,Pale green bottle with design of an eagle,Pale green bottle,,of an eagle,
Q106582798,work of art,Pale green glass bowl on a stem,Pale green glass bowl on a stem,,,
Q103306305,ceramics,Pale grey-green celadon ware bowl with incised decoration,Pale grey-green celadon ware bowl,,,incised decoration
Q102969572,ceramics,Pale grey-green celadon ware cup,Pale grey-green celadon ware cup,,,
Q103306316,work of art,Palm Wine Cup with incised design of Royal Insignia,Palm Wine Cup,,,incised design of Royal Insignia
Q103306352,work of art,Part of a Kogai (Dagger Handle) with a Design of Two Kirin (Mythical Beasts),Part of a Kogai (Dagger Handle),,of Two Kirin (Mythical Beasts),
Q105092013,sculpture,Patina Man Holding Head,Patina Man Holding Head,,,
Q103306399,sculpture,Pax (baiser de paix) depicting the Crucifixion with the Virgin and Saint John the Evangelist,Pax (baiser de paix),,the Crucifixion with the Virgin and Saint John the Evangelist,
Q103306404,sculpture,"Pax, depicting the Crucifixion with the Virgin raising her hands, Saint John the Evangelist, and two angels","Pax,",,"the Crucifixion with the Virgin raising her hands, Saint John the Evangelist, and two angels",
Q103306426,sculpture,Peacock,Peacock,,,
Q102969643,ceramics,Pedestal bowl with celadon glaze and gold leaf repair,Pedestal bowl,,,celadon glaze and gold leaf repair
Q102969655,ceramics,Pedestal dish with incised design,Pedestal dish,,,incised design
Q102969661,ceramics,Pedestal dish with lid with incised and punched designs,Pedestal dish,,,lid with incised and punched designs
Q102969670,work of art,Pen and ink holder,Pen and ink holder,,,
Q102969689,sculpture,Percussion,Percussion,,,
Q106582799,sculpture,Perfumer,Perfumer,,,
Q103306485,ceramics,Phallic bead with skull,Phallic bead,,,skull
Q106582800,work of art,"Pi disc, with center hole carved in antique design style. The verso is carved with Dao designs.","Pi disc,",,,center hole carved in antique design style. The verso is carved with Dao designs.
Q104032234,textile,Piece of fabric,Piece of fabric,,,
Q104032235,textile,Piece of fabric,Piece of fabric,,,
Q103306514,work of art,"Pierced cylinder case, marriage scroll holder. Carving after painting of Li Pu descending the mountain hermitage, after the death of his companion.","Pierced cylinder case, marriage scroll holder. Carving after painting of Li Pu descending the mountain hermitage, after the death of his companion.",,,
Q106582801,work of art,Pierced Ojime (Closing Bead) in the Form of a Warrior's Head Wearing a Helmet,Pierced Ojime (Closing Bead),a Warrior's Head Wearing a Helmet,,
Q105092021,sculpture,Piesterion: Diasematon 2,Piesterion: Diasematon 2,,,
Q102969744,sculpture,Pietà,Pietà,,,
Q103306530,sculpture,Pilgrim's flask,Pilgrim's flask,,,
Q106567536,ceramics,"Pillow with a design in blue and brown underglaze of vase with flowers, bowl with narcissus and a branch of plum blossoms with the characters of ‘good luck’ on either end",Pillow,,"in blue and brown underglaze of vase with flowers, bowl with narcissus and a branch of plum blossoms with the characters of ‘good luck’ on either end",
Q103306536,ceramics,"Pillow for a child with ch'i-lin (mythical guardian animal) playing with ball, phoenixes and double coin design",Pillow for a child,,,"ch'i-lin (mythical guardian animal) playing with ball, phoenixes and double coin design"
Q103306549,sculpture,Pioneer Woman and Boy,Pioneer Woman and Boy,,,
Q103306555,ceramics,Pipe bowl in the shape of a seated human,Pipe bowl,a seated human,,
Q102969763,work of art,Pipe case with a carved design of vines and leaves,Pipe case,,,a carved design of vines and leaves
Q103306569,ceramics,Pipe decorated with a leopard's face,Pipe decorated,,,a leopard's face
Q102969769,work of art,Pitcher,Pitcher,,,
Q102969774,work of art,Pitcher with stamped abstract signs,Pitcher,,,stamped abstract signs
Q102969782,ceramics,Pitcher with temmoku glaze,Pitcher,,,temmoku glaze
Q104032236,ceramics,Pitcher,Pitcher,,,
Q104032237,ceramics,Pitcher,Pitcher,,,
Q104032238,ceramics,Pitcher,Pitcher,,,
Q104032240,work of art,Pitcher,Pitcher,,,
Q106568670,container,Pitcher,Pitcher,,,
Q106582802,ceramics,Pitcher,Pitcher,,,
Q102969791,ceramics,"Pitcher, black glazed pottery","Pitcher, black glazed pottery",,,
Q102969797,work of art,Place mats (four in total),Place mats (four in total),,,
Q103306591,ceramics,Plaque with two lovers in relief,Plaque,,,two lovers in relief
Q102969801,ceramics,Plate  with a design in blue underglaze of a vase of flowers,Plate,,in blue underglaze of a vase of flowers,
Q102969805,ceramics,Plate with a design in blue underglaze of a Chinese-style landscape,Plate,,in blue underglaze of a Chinese-style landscape,
Q102969811,ceramics,Plate with a design in blue underglaze of a radish,Plate,,in blue underglaze of a radish,
Q102969817,ceramics,Plate with a design in blue underglaze of a wagtail,Plate,,in blue underglaze of a wagtail,
Q102969821,ceramics,Plate with a design of three warriors,Plate,,of three warriors,
Q102969831,work of art,Plate With Carved Clematis Flower,Plate,,,Carved Clematis Flower
Q102969847,ceramics,Plate with design in blue underglaze of mouse eating a turnip,Plate,,in blue underglaze of mouse eating a turnip,
Q106582804,ceramics,Plate with a design of a crane (Ko-Kutani ware),Plate,,of a crane (Ko-Kutani ware),
Q106582805,ceramics,Plate with a flower and bird design (Satsuma ware),Plate,,,a flower and bird design (Satsuma ware)
Q103306803,ceramics,Porcelain candle stick,Porcelain candle stick,,,
Q102969909,ceramics,"Porcelain dish with a design in  blue under glaze of a written character of happiness, five bats, and a key fret rim, with three bats on underside",Porcelain dish,,"in  blue under glaze of a written character of happiness, five bats, and a key fret rim, with three bats on underside",
Q105092025,sculpture,"Portrait Head of Seymore Samuels, Jr.","Portrait Head of Seymore Samuels, Jr.",,,
Q103306914,sculpture,Portrait of a Man,Portrait of a Man,,,
Q102969975,ceramics,Pot with decoration in brown around upper rim,Pot,,,decoration in brown around upper rim
Q102969980,ceramics,Pot with Round Base and Cylindrical Neck,Pot,,,Round Base and Cylindrical Neck
Q103307195,ceramics,Pot with bear effigy,Pot,,,bear effigy
Q106582806,work of art,Pot,Pot,,,
Q106582807,work of art,Pot,Pot,,,
Q104032264,ceramics,Pot shard,Pot shard,,,
Q104032265,ceramics,Pot shard,Pot shard,,,
Q102969988,ceramics,Pottery bowl with pale greenish glaze,Pottery bowl,,,pale greenish glaze
Q105092050,ceramics,Pottery urn,Pottery urn,,,
Q106582808,work of art,Poutos (a stringed instrument),Poutos (a stringed instrument),,,
Q103307201,work of art,Powder Horn,Powder Horn,,,
Q103307207,ceramics,Priest of Xipe-Totec,Priest of Xipe-Totec,,,
Q106577411,printing block,"Printing block containing Confucian text, book 21, pages 29-30","Printing block containing Confucian text, book 21, pages 29-30",,,
Q103307217,printing block,"Printing block containing Confucian text, book 3, pages 7-8","Printing block containing Confucian text, book 3, pages 7-8",,,
Q102970141,textile,"Purse With Three Monkeys in a Pine Tree on One Side, & a Dragon in Waves on the Other",Purse,,,"Three Monkeys in a Pine Tree on One Side, & a Dragon in Waves on the Other"
Q106582809,ceramics,Putting Our Heads Together,Putting Our Heads Together,,,
Q102970149,ceramics,Qingbai celadon ware bowl,Qingbai celadon ware bowl,,,
Q102970156,ceramics,Qingbai ware bowl,Qingbai ware bowl,,,
Q102970164,ceramics,Qingbai ware bowl with flower designs,Qingbai ware bowl,,,flower designs
Q103307255,ceramics,Qingbai ware ewer,Qingbai ware ewer,,,
Q102970171,ceramics,Quail-shaped box on a wooden stand (2 parts),Quail-shaped box on a wooden stand (2 parts),,,
Q94971052,quilt,Quilt with blue & red star pattern,Quilt,,,blue & red star pattern
Q103307280,textile,Raffia fiber textile,Raffia fiber textile,,,
Q102970212,sculpture,Rain Drum (reproduction),Rain Drum (reproduction),,,
Q102970276,ceramics,Reclining ox with brown glaze,Reclining ox,,,brown glaze
Q105095896,ceramics,Rectangular bottle vase with a floral design on one side and an abstract design on the other,Rectangular bottle vase,,,a floral design on one side and an abstract design on the other
Q103307311,work of art,Rectangular Mirror with a Design of a Branch of Blossoming Plum,Rectangular Mirror,,of a Branch of Blossoming Plum,
Q103307318,work of art,Rectangular Mirror with a Design of a Branch with Leaves and Berries,Rectangular Mirror,,of a Branch with Leaves and Berries,
Q103307332,work of art,Rectangular Mirror with a Design of a Cherry Blossom and a Meander Pattern,Rectangular Mirror,,of a Cherry Blossom and a Meander Pattern,
Q103307342,work of art,Rectangular Mirror with a Design of a Nandina Bush and Bamboo Grass,Rectangular Mirror,,of a Nandina Bush and Bamboo Grass,
Q103307355,work of art,Rectangular Mirror with a Design of One Large Character and a Stream with Flowers,Rectangular Mirror,,of One Large Character and a Stream with Flowers,
Q103307367,work of art,"Rectangular Mirror with a Design of Pines, a Rock, and Bamboo",Rectangular Mirror,,"of Pines, a Rock, and Bamboo",
Q103307376,work of art,"Rectangular Mirror with a Design of Two Leaves, a Bamboo Blind, and a Cloud or Mist Motif",Rectangular Mirror,,"of Two Leaves, a Bamboo Blind, and a Cloud or Mist Motif",
Q103307383,work of art,"Rectangular Mirror with Two Characters for Long Life (takasago),  and Pine Trees",Rectangular Mirror,,,"Two Characters for Long Life (takasago),  and Pine Trees"
Q103307388,work of art,Rectangular Pi Ring (fang pi) with display stand,Rectangular Pi Ring (fang pi),,,display stand
Q103307395,textile,Red and blue coverlet,Red and blue coverlet,,,
Q103307400,textile,Red and blue fabric,Red and blue fabric,,,
Q102970280,textile,Red and gold fabric,Red and gold fabric,,,
Q102970289,ceramics,Red bowl with a black band,Red bowl,,,a black band
Q103307407,ceramics,Red glazed vase,Red glazed vase,,,
Q103307414,ceramics,Red gourd-shaped bottle,Red gourd-shaped bottle,,,
Q106582811,ceramics,Red Pot,Red Pot,,,
Q104032273,work of art,Red vase,Red vase,,,
Q104032275,work of art,Red vase,Red vase,,,
Q105092067,ceramics,Red-figure bell krater,Red-figure bell krater,,,
Q94971493,kylix,Red-figure kylix,Red-figure kylix,,,
Q103307431,textile,"Red, green, and yellow textile with purple fringe","Red, green, and yellow textile",,,purple fringe
Q102970324,sculpture,Relief of Five Arhats (disciples of Buddha),Relief of Five Arhats (disciples of Buddha),,,
Q103307478,sculpture,Relief Portrait of a Boy,Relief Portrait of a Boy,,,
Q103307508,sculpture,Replica of an Eighteenth-Century Mask,Replica of an Eighteenth-Century Mask,,,
Q102970335,work of art,Repoussé bowl with farm scenes,Repoussé bowl,,,farm scenes
Q106582812,work of art,Reproduction of a Menuki (Sword Hilt Ornament) with a Design of a Praying Mantis,Reproduction of a Menuki (Sword Hilt Ornament),,of a Praying Mantis,
Q106582814,work of art,Reproduction of a Menuki (Sword Hilt Ornament) with a Design of a Praying Mantis,Reproduction of a Menuki (Sword Hilt Ornament),,of a Praying Mantis,
Q106582815,work of art,Reproduction of a Menuki (Sword Hilt Ornament) with a Design of a Warrior on Horseback,Reproduction of a Menuki (Sword Hilt Ornament),,of a Warrior on Horseback,
Q106582816,work of art,Reproduction of a Menuki (Sword Hilt Ornament) with a Design of an Insect,Reproduction of a Menuki (Sword Hilt Ornament),,of an Insect,
Q106582817,work of art,Reproduction of a Menuki (Sword Hilt Ornament) with a Design of an Insect,Reproduction of a Menuki (Sword Hilt Ornament),,of an Insect,
Q106582818,work of art,Reproduction of a Menuki (Sword Hilt Ornament) with a Design of Two Armored Warriors,Reproduction of a Menuki (Sword Hilt Ornament),,of Two Armored Warriors,
Q106582820,sculpture,Reproduction of an Ancient Chinese Horse,Reproduction of an Ancient Chinese Horse,,,
Q106582821,sculpture,Reproduction of an Ancient Chinese Horse,Reproduction of an Ancient Chinese Horse,,,
Q102970348,work of art,"Reproductions of Samurai Swords, (Set of two) with Lacquered Stand","Reproductions of Samurai Swords, (Set of two)",,,Lacquered Stand
Q103307533,sculpture,Restored effigy figure of a Persian merchant,Restored effigy figure of a Persian merchant,,,
Q103307545,sculpture,Rhenish Pietà,Rhenish Pietà,,,
Q104032287,ceramics,Rice bowl with blue and white designs,Rice bowl,,,blue and white designs
Q104032288,ceramics,Rice bowl with blue and white designs,Rice bowl,,,blue and white designs
Q102970411,work of art,Rice Cake Mold with a Circular Design of Three Wisteria Blossoms,Rice Cake Mold,,,a Circular Design of Three Wisteria Blossoms
Q102970419,work of art,Rice Cake Mold with a Cucumber,Rice Cake Mold,,,a Cucumber
Q102970425,work of art,Rice Cake Mold with a Design of a Bamboo Shoot,Rice Cake Mold,,of a Bamboo Shoot,
Q102970430,work of art,Rice Cake Mold with a Design of a Basket of Peaches and Pomegranates,Rice Cake Mold,,of a Basket of Peaches and Pomegranates,
Q102970438,work of art,Rice Cake Mold with a Design of a Peony,Rice Cake Mold,,of a Peony,
Q102970446,work of art,Rice Cake Mold with a Design of a Pine Tree and Bamboo Grass,Rice Cake Mold,,of a Pine Tree and Bamboo Grass,
Q102970454,work of art,"Rice Cake Mold with a Design of a Tortoise on One Side, a Crane on the Other",Rice Cake Mold,,"of a Tortoise on One Side, a Crane on the Other",
Q102970459,work of art,Rice Cake Mold with a Design of a Twelve-Petalled Chrysanthemum and a Peach,Rice Cake Mold,,of a Twelve-Petalled Chrysanthemum and a Peach,
Q102970464,work of art,Rice Cake Mold with a Design of Five Drinking Gourds,Rice Cake Mold,,of Five Drinking Gourds,
Q102970468,work of art,Rice Cake Mold with a Design of Five Squares with Five Variations of the Character for Good Fortune (Fuku),Rice Cake Mold,,of Five Squares with Five Variations of the Character for Good Fortune (Fuku),
Q102970472,work of art,Rice Cake Mold with a Design of Five Tortoises,Rice Cake Mold,,of Five Tortoises,
Q102970480,work of art,"Rice Cake Mold with a Design of Mt. Fuji, Pine, a Bird, Two Fruits, and Clouds",Rice Cake Mold,,"of Mt. Fuji, Pine, a Bird, Two Fruits, and Clouds",
Q102970490,work of art,"Rice Cake Mold with a Design of Two Deer on One Side, Pine Trees on the Other",Rice Cake Mold,,"of Two Deer on One Side, Pine Trees on the Other",
Q102970496,work of art,"Rice Cake Mold with a Design on one Side of Two Stylized Flowers, Another Flower on the Other Side",Rice Cake Mold,,"on one Side of Two Stylized Flowers, Another Flower on the Other Side",
Q103307552,work of art,Rice Cake Mold with Geometrical Designs,Rice Cake Mold,,,Geometrical Designs
Q102970390,work of art,Rice Cake Mold (2 parts) with a Design of a Diamond-Shaped Flower,Rice Cake Mold (2 parts),,of a Diamond-Shaped Flower,
Q102970395,work of art,Rice Cake Mold (2 parts) with a Design of an Open Folding Fan,Rice Cake Mold (2 parts),,of an Open Folding Fan,
Q102970401,work of art,Rice Cake Mold (2 parts) with a Design of Pine Branches Against a Full Moon,Rice Cake Mold (2 parts),,of Pine Branches Against a Full Moon,
Q102970406,work of art,Rice Cake Mold (2 parts) with a Design of Thirteen Bamboo Shoots,Rice Cake Mold (2 parts),,of Thirteen Bamboo Shoots,
Q103307579,sculpture,Rip Van Winkle at Home,Rip Van Winkle at Home,,,
Q106582822,textile,Robe in K'o-ssu silk tapestry weave,Robe in K'o-ssu silk tapestry weave,,,
Q102970556,ceramics,Rockingham Pottery Brown Cookie Jar,Rockingham Pottery Brown Cookie Jar,,,
Q103307608,work of art,Rockingham Pottery Brown Cookie Jar,Rockingham Pottery Brown Cookie Jar,,,
Q103307639,sculpture,Roman Bust of an Emperor,Roman Bust of an Emperor,,,
Q102970594,coin,Roman Republic coin,Roman Republic coin,,,
Q103307643,sculpture,Roman warrior in full battle dress,Roman warrior in full battle dress,,,
Q106577418,work of art,Round lidded box with design of flowers,Round lidded box,,of flowers,
Q103307703,work of art,Round Mirror with a Design of a Chrysanthemum and a Bird in a Tree,Round Mirror,,of a Chrysanthemum and a Bird in a Tree,
Q103307720,work of art,Royal guard doll,Royal guard doll,,,
Q103307743,work of art,Ruler (Old Measurements),Ruler (Old Measurements),,,
Q103307748,work of art,Ruler (Old Measurements) with writing on the reverse,Ruler (Old Measurements),,,writing on the reverse
Q103307754,textile,Runner with a design of diamond and stylized flowers with grey border,Runner,,of diamond and stylized flowers with grey border,
Q94830050,sculpture,Running Bear Effigy,Running Bear Effigy,,,
Q103307797,sculpture,Saint Barbara (reliquary),Saint Barbara (reliquary),,,
Q94543371,stained glass,"Saint Barbara, in the shape of a roundel, with the four corners of the work added at a later date","Saint Barbara,","a roundel, with the four corners of the work added at a later date",,
Q103307803,sculpture,Saint Roch,Saint Roch,,,
Q102970696,ceramics,Sake bottle with inscription,Sake bottle,,,inscription
Q102970706,ceramics,Sake cup with a design in blue underglaze of a gourd and vines,Sake cup,,in blue underglaze of a gourd and vines,
Q102970719,ceramics,Sake cup with a design of a flying crane in blue glaze,Sake cup,,of a flying crane in blue glaze,
Q102970729,ceramics,Sake cup with a square foot and an inscription on the outside rim,Sake cup,,,a square foot and an inscription on the outside rim
Q102970735,ceramics,"Sake flask with a combination of abstract and floral patterns in green, yellow and red",Sake flask,,,"a combination of abstract and floral patterns in green, yellow and red"
Q102970740,ceramics,Sake flask with a design in blue and brown underglaze of fish with a thin overglaze,Sake flask,,in blue and brown underglaze of fish with a thin overglaze,
Q102970749,ceramics,Sake flask with a design in blue underglaze of abstract floral motif,Sake flask,,in blue underglaze of abstract floral motif,
Q102970757,ceramics,Sake flask with green and glaze with abstract line design,Sake flask,,,green and glaze with abstract line design
Q102970763,ceramics,Sake flask with ochre and green glazes with incised abstract floral motif,Sake flask,,,ochre and green glazes with incised abstract floral motif
Q102970768,textile,San Blas Embroidery,San Blas Embroidery,,,
Q102970864,work of art,Sashi with leather coin purse,Sashi,,,leather coin purse
Q104032298,work of art,Sashi with geometric design,Sashi,,,geometric design
Q104032300,work of art,Sashi with geometric design,Sashi,,,geometric design
Q106582823,sculpture,Satyr Head,Satyr Head,,,
Q102970872,ceramics,Sauce pot with a design in blue and brown underglaze of flowers,Sauce pot,,in blue and brown underglaze of flowers,
Q102970879,ceramics,Sauce pot with design of a white camellia blossom,Sauce pot,,of a white camellia blossom,
Q102970890,ceramics,Sauce pot with lid with a design in blue underglaze of flowers,Sauce pot with lid,,in blue underglaze of flowers,
Q102970904,ceramics,Sawankhalok war lidded jar with abstract designs in brown underglaze,Sawankhalok war lidded jar,,,abstract designs in brown underglaze
Q106582824,work of art,Scales from Salonica,Scales from Salonica,,,
Q102971120,work of art,Scroll weight with an inlaid chrysanthemum design in mother of pearl,Scroll weight,,,an inlaid chrysanthemum design in mother of pearl
Q102971125,work of art,Scroll weight with an inlaid floral design in silver and gold,Scroll weight,,,an inlaid floral design in silver and gold
Q102971132,work of art,Scroll weight with an inlaid tree peony design in gold and silver,Scroll weight,,,an inlaid tree peony design in gold and silver
Q102971141,work of art,Scroll weight with inscription,Scroll weight,,,inscription
Q104032303,work of art,Scroll weights,Scroll weights,,,
Q104032304,work of art,Scroll weights,Scroll weights,,,
Q103307955,sculpture,Sculpture,Sculpture,,,
Q103307961,sculpture,Sculpture fragment,Sculpture fragment,,,
Q103307969,sculpture,Sculpture of a head,Sculpture of a head,,,
Q102971179,sculpture,Seal with Herman D. Doochin's personal seal reading Ha-man,Seal,,,Herman D. Doochin's personal seal reading Ha-man
Q104032305,sculpture,Seal in the shape of a Chinese Lion Dog,Seal,a Chinese Lion Dog,,
Q104032306,sculpture,Seal in the shape of a Chinese Lion Dog,Seal,a Chinese Lion Dog,,
Q102971169,work of art,Seal case with a design of a dragon on both sides,Seal case,,of a dragon on both sides,
Q103308004,sculpture,Seated Bodhisattva,Seated Bodhisattva,,,
Q102971191,sculpture,Seated Buddha with reversed swastika on chest in meditation,Seated Buddha,,,reversed swastika on chest in meditation
Q103308012,sculpture,Seated Buddha,Seated Buddha,,,
Q103308021,work of art,"Seated Buddha with reliquary, in dhyna pose",Seated Buddha,,,"reliquary, in dhyna pose"
Q102971215,ceramics,Seated female figure with fan with green glaze,Seated female figure,,,fan with green glaze
Q103308029,sculpture,Seated Female Figure,Seated Female Figure,,,
Q103308038,ceramics,Seated female figure with cloth skirt,Seated female figure,,,cloth skirt
Q103308044,ceramics,Seated female figure with hand on cheek,Seated female figure,,,hand on cheek
Q104032311,ceramics,Seated female figure,Seated female figure,,,
Q104032312,ceramics,Seated female figure,Seated female figure,,,
Q104032313,ceramics,Seated female figure,Seated female figure,,,
Q104032314,ceramics,Seated female figure with child,Seated female figure,,,child
Q104032315,ceramics,Seated female figure with child,Seated female figure,,,child
Q102315563,ceramics,Seated female funerary figure,Seated female funerary figure,,,
Q104032316,ceramics,Seated figure,Seated figure,,,
Q104032317,ceramics,Seated figure,Seated figure,,,
Q103308054,sculpture,Seated funerary figure,Seated funerary figure,,,
Q103308059,ceramics,Seated funerary figure with headdress,Seated funerary figure,,,headdress
Q104032320,ceramics,Seated funerary figure,Seated funerary figure,,,
Q104032323,ceramics,Seated funerary figure,Seated funerary figure,,,
Q103308072,sculpture,Seated Hunchback,Seated Hunchback,,,
Q103308083,sculpture,Seated Lakshmi,Seated Lakshmi,,,
Q103308094,sculpture,Seated Luohan (Arhat),Seated Luohan (Arhat),,,
Q103308101,ceramics,Seated male,Seated male,,,
Q103308110,ceramics,Seated male figure,Seated male figure,,,
Q102971222,ceramics,Seated man with green glaze,Seated man,,,green glaze
Q103308130,ceramics,Seated mother with child,Seated mother,,,child
Q94701366,sculpture,Seated Warrior,Seated Warrior,,,
Q103308164,textile,Section of an Obi with a design of Kirin (mythical beast) and clouds,Section of an Obi,,of Kirin (mythical beast) and clouds,
Q103308171,textile,"Section of kimono with a design of maple leaves, chrysanthemums, baskets, water and pink needles",Section of kimono,,"of maple leaves, chrysanthemums, baskets, water and pink needles",
Q103308177,textile,"Section of Kimono with a design of snow covered chrysanthemums, nandina and water",Section of Kimono,,"of snow covered chrysanthemums, nandina and water",
Q103308192,textile,Section of kimono with a design of treasure ships,Section of kimono,,of treasure ships,
Q102971244,textile,Section of obi with a design of Mt. Fuji and fishermen,Section of obi,,of Mt. Fuji and fishermen,
Q103308197,textile,Section of Obi with a design of deer and pine trees,Section of Obi,,of deer and pine trees,
Q103308203,textile,"Section of obi with design of silver, gold, black and grey pine trees",Section of obi,,"of silver, gold, black and grey pine trees",
Q103308265,sculpture,Sepik Ancestral Mask,Sepik Ancestral Mask,,,
Q103308278,sculpture,Sepik Figurine,Sepik Figurine,,,
Q103308296,work of art,Serving Tray with a Design of a Bat and a Peach,Serving Tray,,of a Bat and a Peach,
Q102971296,work of art,Set of Eight Ink Sticks With Relief Designs of Landscapes & Calligraphy,Set of Eight Ink Sticks,,,Relief Designs of Landscapes & Calligraphy
Q102971305,work of art,Set of five incense cases with individual designs in cotton pouch,Set of five incense cases,,,individual designs in cotton pouch
Q102971310,work of art,Set of five incense cases with individual designs in cotton pouch (Bouquet of Irises for the Boy's Festival design),Set of five incense cases,,,individual designs in cotton pouch (Bouquet of Irises for the Boy's Festival design)
Q102971317,work of art,Set of five incense cases with individual designs in cotton pouch (Emperor and Empress for the Girl's Doll Festival design),Set of five incense cases,,,individual designs in cotton pouch (Emperor and Empress for the Girl's Doll Festival design)
Q102971327,work of art,Set of five incense cases with individual designs in cotton pouch (Leaf and inscribed poem papers for the Tanabata Festival design),Set of five incense cases,,,individual designs in cotton pouch (Leaf and inscribed poem papers for the Tanabata Festival design)
