,accession_number,locale,description,qid,label_en,ratio,partial_ratio,prop,category,type,title
346,2012.008z,en,"85/100 positions maj dny, 19",Q102969958,"positions, from american abstract artists 60th anniversary print portfolio",31,36,0.861,,print,"Positions, from American Abstract Artists 60th Anniversary Print Portfolio"
347,1999.141h,en,schmeng رار eichenborg وسكسoils an,Q106567663,"the follies of the court, from in praise of folly ",31,35,0.886,,print,"The Follies of the Court, from In Praise of Folly (Encomium Moriae)"
348,1982.088,en,sickle who will harm me? chu day -82,Q102966453,"internal sound, from the revolutions per minute ",31,31,1,,print,"Internal Sound, from the Revolutions Per Minute (The Art Record)"
349,2001.113,en,in person vassar clements and the little big band opening act green genes friday july 16 doors open at 8:30 show starts at 9:30 tickets are $8.00 info call 255-6614 388 lynagh's woodland ave. coming soon march show morsd,Q105092332,vassar clements and the little big band,30,100,0.3,,poster,Vassar Clements and the Little Big Band
350,2001.142,en,"the ryman presents charles dickens' a musical christmas carol f november december 23. through 23 tues. & thurs. - sat.8:00, sun.3:00 c-1999 ",Q105091580,a musical christmas carol,30,100,0.3,,poster,A Musical Christmas Carol
351,2017.001.045,en,eichenberg the new adam. a.p. fritz eichenberg,Q103305804,new adam,30,100,0.3,,print,New Adam
352,2001.172,en,the ryman presents a new edition of cumberland co. playhouse production of * on the* mok e mountain sept. 9-oct.31 thursday - saturday 8 p.m. sun. 3 p.m. ryman auditorium presented by first usa copyright 1000 ,Q105092212,"the ryman presents ""smoke on the mountain""",30,62,0.484,,poster,"The Ryman presents ""Smoke on the Mountain"""
353,1999.150,en,"the carolina's own hootie blowfish presents musical chairs for your listęnjng pleasure  zel sept. 15, 98 ",Q105092038,poster for hootie and the blowfish,30,59,0.508,,poster,Poster for Hootie and the Blowfish
354,1999.145,en,coming soon xx pete droge get n spacey shakin april 7 * 1998 at a store nearest you! copyright 1998 ,Q105092055,promotional poster for pete droge,30,55,0.545,,poster,Promotional poster for Pete Droge
355,2017.001.017,en,and mo,Q103305160,mechano - marvel of the age,30,50,0.6,,print,Mechano - Marvel of the Age
356,2007.061,en,royal dutch air lines hi jokker klm jan wiza the flying dutchman fiction becomes fact copyright kunstdr. lui &c adam,Q102976794,vintage poster for royal dutch airlines,30,46,0.652,,poster,Vintage poster for Royal Dutch Airlines
357,2012.008x,en,it di e ø i clement ! at meadhmore. 1997,Q102975609,"two identical units joined eight ways, from american abstract artists 60th anniversary print portfolio",30,40,0.75,,print,"Two Identical Units Joined Eight Ways, from American Abstract Artists 60th Anniversary Print Portfolio"
358,2004.062,en,21 iwvein somehow now лоиd эинтуиа hobe desire possible becowine actual together этги insteal always wiгие ebevl onder итәиано,Q103551189,"windowpiece for peninsula, stadskantoor eindhoven",30,39,0.769,,poster,"Windowpiece for Peninsula, Stadskantoor Eindhoven"
359,2015.038cc,en,the ~abend de wa end 15 nig ad 58. sine w the boy are go star over d up nothy on منها mary berry for swiming lasy to we have mothers nel مے کے انمل evey nigh are you fine & have abo,Q102964827,"every night, from american abstract artists 75th anniversary print portfolio",30,38,0.789,,print,"Every Night, from American Abstract Artists 75th Anniversary Print Portfolio"
360,1997.111a,en,39/50 awed copies,Q103300461,"geminis, from a suite of four prints",30,35,0.857,,print,"Geminis, from a suite of four prints"
361,2016.007.4,en,a.p. raphael smer.,Q103300576,girl with crossed arms,30,33,0.909,,print,Girl with Crossed Arms
362,2004.027,en,1st state 351hgcr,Q103309578,the black cloak ,30,31,0.968,,print,The Black Cloak (Mrs. Paul Mellon)
363,1964.014,en,www.w glowin mmm interm,Q105092124,"st. john's church, richmond, virginia",30,26,1.154,,poster,"St. John's Church, Richmond, Virginia"
364,2001.123,en,gillian welch time *the revelator* the new release on acony records ******** ,Q105091829,gillian welch,29,100,0.29,,poster,Gillian Welch
365,2003.051,en,when you are far from the sea within closed horizons you can look again and again at its absence,Q102964931,far from the sea,29,100,0.29,,poster,Far from the Sea
366,2005.029,en,attraction $44 s it's more than good looks brandcancan.com,Q105091623,attraction,29,100,0.29,,poster,Attraction
367,2015.075.03,en,elizabeth me govern curtis hanson. das schlafzimmerfenster in einem kriminalfilm. aus den usa isabelle huppert und steve juttenberg handichick 88,Q105095830,das schlafzimmer fenster ,29,96,0.302,,poster,Das Schlafzimmer Fenster (The Bedroom Window)
368,2000.042,en,¹*- amper cher june *29* 1999 *** nashville arena *** copyright 1999 ,Q105091694,"cher, june 29",29,92,0.315,,poster,"Cher, June 29"
369,2000.033,en,faust un- acknown hinson wabon the king of country & western troubadours... ordainedy wed. may 26 douglas corner cafe 2106-a 8th ave. south ,Q105092218,the un-known hinson may 26,29,73,0.397,,poster,The Un-known Hinson May 26
370,2000.082,en,"ryman auditorium presents: jeff collins melissa england john mckay co-starring in matrimonial bliss s and supporting cast: jay collins robin amesoeder kim waldon caroline hasley bobby hensley robin davis keith clark oct. 29, 1999",Q105095757,"matrimonial bliss, jeff collins, melisa england, ",29,73,0.397,,poster,"Matrimonial Bliss, Jeff Collins, Melisa England, Hatch Show Print Poster"
371,1988.043,en,baskin,Q103304970,man with spring plants,29,50,0.58,,print,Man with Spring Plants
372,2017.001.048,en,hast sunset. m ming dist's proof au 旅 miami eichinlery rkenburg ziz. einken,Q103299032,dance of death - last sunset,29,39,0.744,,print,Dance of Death - Last Sunset
373,2000.059,en,damn cool! hank iii  trisini πανκ ι outlaws meet the honky tonking apunk-rocking ♬ grandson of a legend rolling stone ,Q105091728,damn cool! hank iii,28,100,0.28,,poster,Damn Cool! Hank III
374,2016.005.01,en,vitality tone up your typographic skills! enroll in vis co 2015 lift lead! add muscle to your computer savvy! saic typography shop under the direction of cathie ruggie saunders now relocated to columbia college chicago center for book and paper arts,Q105092341,vitality: tone up your typographic skills!,28,98,0.286,,poster,Vitality: Tone up your typographic skills!
375,2001.126,en,"1*1*1* got a kick out of music city a nashville. tn june 23. 2001 * ""and a good time was had by all"" *l*l* l * hartch show priest-noshuillo, with much love and thanks, amy & tim",Q105091862,i got a kick out of music city,28,97,0.289,,poster,I got a kick out of Music City
376,2005.020,en,"01 1 nite only a cold empty feelin ruby green - 514 5th ave, so. 6152447179 sal. dec. 16th 8pm isle of printing 615-244-6677",Q105091575,a cold empty feeling,28,95,0.295,,poster,A Cold Empty Feeling
377,2000.012,en,* belmont university curb music business program best 1999 the best showcase april 28 7pm $10 ryman auditorium of  featuring performances from the '98-'99 showcase series special appearance lumtimi  gospel pop-rock writer's ,Q105091650,"best of the best showcase april 28,1999",28,77,0.364,,poster,"Best of the best showcase April 28,1999"
378,2016.005.19,en,"hand made &bound (big minds. small presses sept.306-9pm zines oct. 10-5pm books admission free artists' watkins college of art.design & film www.handmadeboundnashville.com watkinscollege metro arts of art, design & film dan nash co the art watkins college of an. design & film receives funding under an changing lives! at with the metropolitan nashville arts commission, the tennessee, the ame c.2011 ",Q105091843,"hand made & bound nashville -watkins college of art, design, and film",28,77,0.364,,poster,"Hand Made & Bound Nashville (Big Minds. Small Presses)-Watkins College of Art, Design, and Film"
379,2000.084,en,live coluntry punk cowslingers m bask in the glory drink like a god copyright 1999 ,Q105092170,"the cowslingers, ",28,76,0.368,,poster,"The Cowslingers, Hatch Show Print Poster"
380,2017.001.052,en,"oxoxor richard # 2 وسكس32 لا 2 colors, artist, broot, (unique",Q102970508,richard iii,28,73,0.384,,print,Richard III
381,2000.030,en,"✰✰✰  *w busted rock' for country : * 5 * 5 x mu (hall of fame 3 nas um official groundbreaking ceremonies for the new * country music hall of fame and museum 5 × 4 june 17, 1999 nashville, tennessee   haton show print nashville, tn - med",Q105092350,"we busted rock for country, june 17, 1999",28,68,0.412,,poster,"We Busted Rock For Country, June 17, 1999"
382,1999.159,en,"10 seconds sat. march 13, 1999 7:30-10 p.m. nancy littlejohn fine art art, tattoos, and music benefitting the escape family resource center musical guests: romeo dogs ""true sounds of texas"" match show print nashville, tn-j.m.",Q105092034,poster for 10 seconds at nancy littlejohn fine art,28,62,0.452,,poster,Poster for 10 Seconds at Nancy Littlejohn Fine Art
383,2001.091,en,f. esant spongebath records presents rd annual excus 3h1 **** halloween st asii self katies features free beer 8-9 sat. oct. 30 527 mainst 8-9 free beer ,Q105092224,third annual halloween bash,28,52,0.538,,poster,Third Annual Halloween Bash
384,1982.083,en,107/500 british isles l ireland den cclear lon and english change loira bordeaux a cicl shend orkney se trond cald bergen an siamanger oslod göteborg edinburgh denmark copenhag northe schnung v r gdańisk cand th shima,Q102974537,"the louis xiv deterrent, from the revolutions per minute ",28,42,0.667,,print,"The Louis XIV Deterrent, from the Revolutions Per Minute (The Art Record)"
385,2004.058,en,thomas a. clark the world brought near,Q102965122,five colours,28,42,0.667,,artist’s book,Five Colours
386,2004.070,en,"th t n price marture the main alan t and bacha wee ho 11 tast can't lits met it's not weten ins! ses 304, reaction chut with wie",Q102975585,"two doors, from the portfolio travaux publics ",28,39,0.718,,artist’s book,"Two Doors, from the portfolio Travaux Publics (Public Works)"
387,2017.001.050,en,sm (1@ gim fritz eichenberg,Q103299105,daylight began to forsake the red-room from jane eyre,28,37,0.757,,print,Daylight began to forsake the red-room from Jane Eyre
388,1999.141f,en,inri ketzer frizz eichmburg ng,Q106567664,"the follies of the monks, from in praise of folly ",28,33,0.848,,print,"The Follies of the Monks, from In Praise of Folly (Encomium Moriae)"
389,1999.141c,en,gichenberg 04 88 76661 ******** siv cocco fritz eichenberg,Q106567667,"the follies of worshiping idols, from in praise of folly ",28,29,0.966,,poster,"The Follies of Worshiping Idols, from In Praise of Folly (Encomium Moriae)"
390,1995.049,en,"i need your skill in a warkob! if you know one of these trades and are not now in real war work, you are badly needed airplane skin man airplane subassembler ammunition inspector assembler, ship bench hand, metal work bus driver flanging press operator internal precision grinder machinist, outside metal chipper milling machine operator milling machine operator, all-round mixer operator, explosives radio chassis assembler painter, ship, rough or finish plate hanger cylindrical grinder operator driller, ship electrician, ship screw machine operator tack welder see your nearest u.s. employment service carpenter, ship cord wood cutter crane rigger owl poe no. 11 address be on the def public is off of war imaton washington, d.c",Q103301368,"i need your skill in a war job! if you know one of these trades and are not now in real war work, you are badly needed",27,98,0.276,,poster,"I Need Your Skill in a War Job! If You Know One Of These Trades and Are Not Now In Real War Work, You Are Badly Needed"
391,2017.001.021,en,در هر pre fe winth blour hiritywachenburg ap 2/10,Q103305886,ninth hour,27,80,0.338,,print,Ninth Hour
392,2000.037,en,coming soon mount -mckinleys **new release* stacked up & get it) live from detroit town! bantam rooster may 21st 31 ast street pub c-1999 hatoh show print,Q105091977,"mount mckinleys, may 21st",27,68,0.397,,poster,"Mount McKinleys, May 21st"
393,1989.026,en,"case w. wise after wb, richmond,",Q103310432,title unknown,27,38,0.711,,print,Title Unknown
394,1979.0919P,en,guercino ins. f. bartolozt feulp longroise,Q102962721,brawl with knives,27,35,0.771,,print,Brawl with Knives
395,1979.0060,en,75/110 florida duane hanson,Q103304581,les hyperréalistes,27,33,0.818,,print,Les Hyperréalistes
396,2012.008mm,en,85/100 sounch pm man wells '97,Q102973066,"sound-pm, from american abstract artists 60th anniversary print portfolio",27,33,0.818,,print,"Sound-PM, from American Abstract Artists 60th Anniversary Print Portfolio"
397,1999.141j,en,800 gichenberg iritz eschenberg,Q106567666,"the follies of war, from in praise of folly ",27,32,0.844,,print,"The Follies of War, from In Praise of Folly (Encomium Moriae)"
398,2012.008n,en,85/100 multilift pheald 1997,Q104017117,"multilift, from american abstract artists 60th anniversary print portfolio",27,32,0.844,,print,"Multilift, from American Abstract Artists 60th Anniversary Print Portfolio"
399,2000.025,en,svend nastal pick it up *** bill monroe live from mountain stage blue plate music ***** mountain stage is produced by west virginia public radio & can be heard nation wide on public radio international. bpm-400 1.800.521.2112 www.ohboy.com ,Q105091654,bill monroe live from mountain stage,26,100,0.26,,poster,Bill Monroe Live From Mountain Stage
400,2004.077,en,holk be being in the moment walking down the road ahead and to the end of the day with 15 days on the road behind dat how the a,Q102962043,being in the moment,26,100,0.26,,poster,Being in the Moment
401,2015.075.35,en,"anti-retroviral therapy slomatk rafiki yangu, don't forget to take your arvs. jijenge. chagua maisha. your health means a lot to those around you. following your course of treatment requires a lot of dedication from you, but taking your medicine exactly as prescribed, means choosing to live and have a bright future with those you love. ministries of health for more information, visit your nearest health facility. meza dawa. chunga afya yako. jijenge! maisha! &",Q103307285,"rafiki yangu, don't forget to take your arvs. jijenge. chagua maisha.",26,100,0.26,,poster,"Rafiki yangu, don't forget to take your ARVs. Jijenge. Chagua Maisha."
402,2015.075.25,en,"schrei nach freiheit leben und tod des steve biko darsteller: kevin kline, denzel washington, kevin mcnally, penelope wilton, u. v. a. kate hardie, john thaw, thimothy west richard attenboroughs und, asking for trouble"" kamera: ronnie taylor produktion: nach den büchern, großbritannien buch: john briley ""biko"" von donald woods progressin",Q105095869,schrei nach freiheit: leben und tod des steve biko ,26,98,0.265,,poster,Schrei nach Freiheit: Leben und Tod des Steve Biko (Cry Freedom)
403,1980.010,en,chicago society gelchen 193 night new york 0006y fot cool sunbur martin lewis martin lewis-,Q102969009,night in new york,26,82,0.317,,print,Night in New York
404,2004.059,en,i'm not laughing. i'm cryingnidquel ml gain son m'li i'm not crying. i'm laughingniy m'lgaidlqual son m'l,Q102967917,laughing - crying,26,76,0.342,,poster,Laughing - Crying
405,2000.031,en,"pace concerts southeast, cellar door, & gaylord entertainment presents ben folds five jude w/ special guest sunday may 30 8p.m. ryman auditorium charge-by-:615-255 9600 ",Q105091647,"ben folds five, jude, may 30",26,75,0.347,,poster,"Ben Folds Five, Jude, May 30"
406,2006.002,en,"jeff tweedy playing a benefit for letters to santa january 21, 2005-7pa hotel sis 1624 7. momart chicago judyta 2015 o for",Q105091876,jeff tweedy poster,26,72,0.361,,poster,Jeff Tweedy poster
407,1999.156,en,"psychorockabillyswing on the r & b tif the blue moon boys nic kenny a jerry n flava p.. coltrane  cd out now  ""live in new york"" beattime 3401 featuring ""spank me"" & ""red on the line"" copyright 1988 ",Q105092057,promotional poster for the blue moon boys,26,68,0.382,,poster,Promotional poster for the Blue Moon Boys
408,1988.044,en,the olympian pierce you! rockwell ein of het kent.,Q103312146,waldo pierce,26,67,0.388,,print,Waldo Pierce
409,2000.051,en,ted mahovlich in association with blues for a big town presents digfest '99 3 sensational nights with =  the sidemen ***** sept featuring very special guests thur at 8 deanna bogart ***** fri at 10 new orleans guitar legend 23 24 25 ray bonneville earl king *** sat at 10 soulful folk blues the silver dollar room 486 spadina avenue onn *** house rockin' piano special advance ticket-gift package info: 416.975.0909 ,Q105091739,"digfest '99  the sidemen, deanna bogart, earl king, and ray bonneville",26,51,0.51,,poster,"Digfest '99  The Sidemen, Deanna Bogart, Earl King, and Ray Bonneville"
410,1982.097,en,real-time coronal section through the brain showing the structures delineated on the accompanying diagram. 1 moet romotive forces jense al14 trimalantical redictions invasive sector unghe for ale de sempr,Q102974989,"think twice, from the ""revolutions per minute ",26,50,0.52,,print,"Think Twice, from the ""Revolutions Per Minute (The Art Record)"
411,2000.067,en,sew m 59 ********** available now on chula vista records www.classictrash.com ,Q105091792,flair sew your wings on,26,43,0.605,,poster,Flair Sew Your Wings On
412,2005.024,en,of the thi ambie hhhh ateinen 000 hillsboro village * ca,Q105091733,day of the dog,26,36,0.722,,poster,Day of the Dog
413,1976.013,en,ed.150* autor,Q102961521,afterglow ,26,32,0.812,,poster,"Afterglow (also called Geddington, England)"
414,1964.015,en,albur a rash: pitt oskast,Q106577412,quaker bridge,26,31,0.839,,print,Quaker Bridge
415,1979.0761P,en,10/70 army -john piper,Q102965231,foliate heads ii,26,31,0.839,,print,Foliate Heads II
416,1999.141b,en,a iittinen tunt eichenberg zritz eichenberg,Q106567660,"the follies of old age, from in praise of folly ",26,28,0.929,,print,"The Follies of Old Age, from In Praise of Folly (Encomium Moriae)"
417,2005.022,en,gillian welch oooooo. with old crow medicine show bremald isle of printing winting ●.com.,Q105091828,gillian welch,25,100,0.25,,poster,Gillian Welch
418,2001.085,en,"coming soon buddy ghy an american blues legend knoxville, tn raleigh, nc charlotte, nc virginia beach, va pompano beach, fl lake buena vista, fl austin, tx spring, tx dallas, tx chicago, il i □□ | music city merchandise and ",Q105091680,"buddy guy, an american blues legend",25,94,0.266,,poster,"Buddy Guy, an American Blues Legend"
419,2001.148,en,"sock monkey musicandart festival featuring charlie hall, radial angel seven local bands, artists $10 june 30.11am-9pm att bridgeway church broadway ext. and hefner 722-6304 www.sockmonkeymagazine.com bater show print co. nashville, tn",Q105092107,sock monkey music and art festival,25,94,0.266,,poster,Sock Monkey Music and Art Festival
420,2000.043,en,"annual wrangler city of hope celebrity softball challenge bryan white lee ann womack gary chapman montgomery-gentry the wilkinsons shane minor wsix & wsm-fm presents 9th ricochet lonestar kenny rogers rick trevino naron snow print-nashwille, tn - j.d.m. neal mccoy mark wills jessica andrews cledus t. judd and many more! sun. greer june 131pm stadium call 615.255.9600 for ticket information",Q105091572,9th annual wrangler city of hope celebrity softball challenge,25,93,0.269,,poster,9th Annual Wrangler City of Hope Celebrity Softball Challenge
421,2001.110,en,**levi's fuse '99 presents**  the goo goo *dolls* *sugar ray*  fastball fri. sept.  τη 10th 43-4 at alltel pavilion at walnut creek call now for tickets 919-834-4000 www.ticketmaster.com * tickets available at all ticketmaster outlets featuring schoolkids records c-1999 ,Q105092179,"the goo goo dolls, sugar ray, and fastball",25,88,0.284,,poster,"The Goo Goo Dolls, Sugar Ray, and Fastball"
422,2005.019,en,"raingstone ruckus 8:00 midnite february 19, 2005 the frist for the lat frete gr 75 haratis saturday oxob",Q105092072,rhinestone ruckus,25,88,0.284,,poster,Rhinestone Ruckus
423,2001.017,en,"in person king road shows inc. blues recording artist b.b. king the king the blues world wide! north american tour 2000  sarasota, fl * naples, fl clearwater, fl coral springs, fl melbourne, fl ⋆ myrtle beach, fl  hattiesburg, ms ⋆ westbury, ny ⋆ philadelphia, pa * ann arbor, mi milwaukee, wi ✶ minneapolis, mn fayetteville, ar * ✰ merrilville, in cleveland, oh  kalamazoo, mi mt. pleasant, mi solomons, md * 2000 krs inc under license to music city merchandise created by hatch tennessee show print nashville,",Q103301546,"in person blues recording artist b.b. king, the king of the blues world wide!",25,87,0.287,,poster,"In Person Blues Recording Artist B.B. King, The King of the Blues World Wide!"
424,2000.009,en,"bluegrass festival may 7-8-9 1999 may 7-8-9 1999 ryman auditorium ✰ ✰ ✰ ✰ ricky skaggs and kentucky thunder tim o'brien the whites in person illrd tyme out nickel creek & more jerry douglas on stage fri&sat 7-11 pm sun 9-11 am & on friday, 5 pm & saturday all day, bluegrass jams in the ryman alley. bring an instrument copyright 1999 ",Q105091660,"blue grass festival ryman auditorium, may 7-8-9 1999, ",25,70,0.357,,poster,"Blue grass Festival Ryman Auditorium, May 7-8-9 1999, Hatch Show Print Poster"
425,2000.034,en,house of blues proudly presents ibonnie rafft with special guest june 15 16 & 1999 doors at 7 pm **** show at 8pm absolute monster gentlemen jon cleary & the house of blues-225 decatur - 529-blue www.hob.com ticketmaster,Q105091675,"bonnie raitt, house of blues, june 15 & 16,1999",25,66,0.379,,poster,"Bonnie Raitt, House of Blues, June 15 & 16,1999"
426,1970.034,en,phar 大道 ronald thing,Q103297957,burlesque ii,25,33,0.758,,print,Burlesque II
427,2015.037r,en,7/ho haiku chars देउडा 1984,Q105095820,"haiku clouds, from american abstract artists 50th anniversary print portfolio",25,33,0.758,,print,"Haiku Clouds, from American Abstract Artists 50th Anniversary Print Portfolio"
428,2017.001.059,en,exbe frizz eichenberg,Q102975128,til eulenspiegel: cardinals at altar,25,29,0.862,,print,Til Eulenspiegel: Cardinals at Altar
429,2003.005e,en,"sidney jordin ""/75",Q102976444,"untitled, from: 10 west coast artists",25,28,0.893,,print,"Untitled, from: 10 West Coast Artists"
430,2001.096,en,"1 real buckin' good tour! hear! turry and the tellico militia with special guest the rooster run boys duff sat. tavern may 29 hwy 64-polk county, tin p m 1999 8:30  $5.00 rain or shine! call 338-2408 for details ",Q105092238,turry and the tellico militia,24,100,0.24,,poster,Turry and the Tellico Militia
431,2004.065,en,a cloudless walk an eastward walk of 121 miles in 32 days from the mouth of the loire to the first cloud france 1995,Q102961211,a cloudless walk,24,100,0.24,,artist’s book,A Cloudless Walk
432,2016.005.24,en,"a well regulated militia, being necessary to the security of a free state, the right & the people to bear and keep arms shall not be infringed. amend the second amendment springtide press 2015",Q103296729,amend the second amendment,24,100,0.24,,poster,Amend the Second Amendment
433,2000.021,en,"the walk for the homeless committee presents the 14th annual walk homeless for the saturday may park center 801 12th ave. south nashville, tn 8 am registration & info call ann barker - 321-3919 ",Q105092345,walk for the homeless may 8,24,85,0.282,,poster,Walk For The Homeless May 8
434,2001.084,en,"kenny in person dooudo rogers 1 with special guest linda davis **** salem civic center sun. october 15,2000 in salem, virginia at 7:30 p. m. tickets available at: salem civic center box office and all ticketmaster outlets or charge by phone at 343-8100 or 951-8427 blacksburg or 846-8100 lynchburg produced by outback concerts mxxxs ",Q105091887,kenny rogers in person with special guest linda davis,24,77,0.312,,poster,Kenny Rogers in person with special guest Linda Davis
435,2012.008o,en,across cel 92,Q102961498,"across, from american abstract artists 60th anniversary print portfolio",24,62,0.387,,print,"Across, from American Abstract Artists 60th Anniversary Print Portfolio"
436,1982.099,en,107/500 david eryth,Q105092243,"typewriter in d, from the revolutions per minute ",24,37,0.649,,print,"Typewriter in D, from the Revolutions Per Minute (The Art Record)"
437,2012.008a,en,85/100 glin adames 10/97,Q102971112,"screen, from american abstract artists 60th anniversary print portfolio 1997",24,34,0.706,,print,"Screen, from American Abstract Artists 60th Anniversary Print Portfolio 1997"
438,2017.001.029,en,< > co,Q103301115,"her son, #1",24,33,0.727,,print,"Her Son, #1"
439,1979.0704P,en,811 $100 po in foles koe/imp. rosalyn dregler,Q102977186,woman and man,24,31,0.774,,print,Woman and Man
440,2015.037ii,en,"nimity trellis"" 79/140 com 87",Q102975384,"trellis, from american abstract artists 50th anniversary print portfolio",24,31,0.774,,print,"Trellis, from American Abstract Artists 50th Anniversary Print Portfolio"
441,2001.152,en,reprise at the ryman a fund raising reception for  nashville's next mayor  bill purcell monday aug. 23 9 9 9 ryman auditorium 6:00-7:30 copyright 1999 ,Q105092070,reprise at the ryman,23,100,0.23,,poster,Reprise at the Ryman
442,2000.087,en,y'all come! 6pm-8pm each & every sunday the backstabbers country stringband at the cameron house 408 queen st. west toronto c-1999 ,Q105092158,"the backstabbers, ",23,94,0.245,,poster,"The Backstabbers, Hatch Show Print Poster"
443,2001.032,en,"in concert one night only marty stuart emmylou harris patty loveless sam bush steve earle gail davies larry cordle & lonesome standard time patty mitchell thebluebloods sonya isaacs kathy chiavola cluster pluckers jamie hartford band tim o'brien john hartford wild & blue mel besher lorianna pomeroy & an all star house band ryman auditorium friday.march 17,2000 7:30p.m. tickets:$20 & $25* all proceeds benefit the roy huskey jr-randy howard-charles sawtelle memorial music scholarship presented psi iota xi, nashville chapter iota pi by call call 615.385.9010 for info. for info. ",Q106566897,"in concert - one night only - marty stuart, emmylou harris, patty loveless, sam bush ",23,92,0.25,,poster,"In Concert - One Night Only - Marty Stuart, Emmylou Harris, Patty Loveless, Sam Bush (and more)"
444,2001.054,en,"concert kaia *for* benefit for kaia jergenson presented by nashville's community of rock n roll pioneers & legends ƒ featuring dobie gray ""drift away"" ray peterson ""tell laura i love her"" ene hughes the casinos ""then you can tell me goodbye' or clifford curry ""she shot hole in my soul"" e"" el dickey lee ""patches"" sonny curtis and 1. allison the crickets ""peggy sue"" steve cropper blues bros. band ""dock of the bay"" writer admission: $io donation souvenir poster sponsored by dennis cost ƒ ""traces"" buzz cason ""look for a sta larry henle the newbeats ""bread and butter"" troy shondell ""this time"" freddy weller michael mcdonald of r&r's top songwriters minute by minute"" steve jarrell & the sons of the beach coyote mccloud master of ceremonies thursday, march 9*showtime 7:30 willard collins alumni auditorium lipscomb university, nashville, tenn. ",Q105091710,"concert for kaia - benefit for kaia jergenson, presented by nashville's community of rock 'n roll pioneers and legends",23,92,0.25,,poster,"Concert for Kaia - Benefit for Kaia Jergenson, presented by Nashville's community of Rock 'n Roll pioneers and legends"
445,2001.104,en," phil's records & magus productions  present fri. sept. 10, 1999 ✰✰✰ * * * * * * * * phil's records 10th anniversary bash ✰✰✰✰✰✰✰✰✰✰✰✰ moonlight gardens in concert coney island 7:00 pm shaver thev-roys with and duane jarvis free!!! free tickets at any phil's location m by his w t b",Q105092097,shaver with the v-roys and duane jarvis,23,85,0.271,,poster,Shaver with the V-Roys and Duane Jarvis
446,2012.008gg,en,crescendo 1997,Q102963962,"crescendo, from american abstract artists 60th anniversary print portfolio",23,71,0.324,,print,"Crescendo, from American Abstract Artists 60th Anniversary Print Portfolio"
447,2000.083,en,truths confessions & observations of an ordinary white anglo-saxon catholic heterosexual republican male or please don't sue me. by samuel miller copyright 1999 ,Q105092232,"truths, samuel miller, ",23,65,0.354,,poster,"Truths, Samuel Miller, Hatch Show Print Poster"
448,2005.026,en,dog day afte cheese novembekl noon! hillsboro village,Q105091743,dogzilla!,23,56,0.411,,poster,Dogzilla!
449,1982.091,en,107/200 marka manjares ha alfoxden 20 january 1798. the green patas down the hillsides are channels for streams the silver lines 7 water. але gathered together yours what is streaked by sunning between the sidges the sheep on the slopes. dorothy wordswoith.,Q102965087,"first lines, from the revolutions per minute ",23,49,0.469,,print,"First Lines, from the Revolutions Per Minute (The Art Record)"
450,2017.001.046,en,eichenberg chl760- nilito inri auschwitz stutthof maidanek treblinka theresien stadt buchenwald dachau sachsenhausen ravensbrück bergen-belsen go lg atha fritz eichenburg,Q103299038,dance of death - the crucifixion,23,44,0.523,,print,Dance of Death - The Crucifixion
451,2017.001.039,en,in fishenkerz,Q103297827,brothers karamazov: nude female dreaming,23,38,0.605,,print,Brothers Karamazov: Nude Female Dreaming
452,1979.0083,en,h.c. dine becker,Q103298908,courtesean,23,30,0.767,,print,Courtesean
453,2001.144,en,bone pony fri. may 18th exitain 18 and over show hateh show print on the,Q105091673,bone pony,22,100,0.22,,poster,Bone Pony
454,2015.075.39,en,"we are all at risk of hiv infection. don't take risk!! 6. +ve -ve adult youth +ve ve -ve ave adults ve +ve fighting women mids in kenya. youth +ve -ve youth -ve ve wofak take steps to avoid hiv; know your hiv status; know your partner's hiv status and avoid multiple sexual partners. adult this poster was developed and printed with funds from nacc -towa ii, 2010 and approved for community use by national aids control council (nacc).",Q103312221,we are all at risk of hiv infection. don't take risk!!,22,100,0.22,,poster,We are all at risk of HIV infection. Don't take risk!!
455,2017.001.030,en,call one radiation authorized personnel only the watchman. { s l cichenberg©i90 fritz eichenberg,Q103310243,the watchman,22,100,0.22,,print,The Watchman
456,2001.109,en,"nalls from sea level to the with guests chuck leavell, jack pearson, mike henderson, wayne jackson, lee roy parnell mrl records nighthawks to his first solo release jimmy nalls aint no stranger ain't no stranger available & here ",Q105091881,jimmy nails: ain't no stranger,22,90,0.244,,poster,Jimmy Nails: Ain't No Stranger
457,2001.087,en,live! ttee lone star lounge a cd compilation featuring premium texas music available now in stores a compadre records project a portion of the proceeds will benefit kcti-fm and the lone star lounge radio program hatoh show print-jdm,Q105091932,live at the lone star lounge,22,89,0.247,,poster,Live at the Lone Star Lounge
458,2003.053,en,1999 franklack and the catholics m reid paley at sapphire supper club,Q106568558,frank black,22,82,0.268,,print,Frank Black
